date,open,max,min,close,volume,y
20020402,1.99,1.99,1.6,1.68,27313000,[0 0]
20020403,1.5,1.52,1.3,1.3,11740000,[0 0]
20020404,1.3,1.3,1.3,1.3,13130000,[0 1]
20020405,1.3,1.3,1.3,1.3,14690000,[0 1]
20020408,1.3,1.3,1.3,1.3,6240000,[0 1]
20020409,1.3,1.3,1.27,1.28,14653000,[1 0]
20020410,1.28,1.29,1.24,1.29,41535000,[1 0]
20020411,1.3,1.3,1.27,1.27,36763000,[0 0]
20020412,1.29,1.3,1.29,1.3,44576000,[0 0]
20020415,1.3,1.35,1.3,1.3,12128000,[1 0]
20020416,1.35,1.36,1.32,1.36,79659000,[0 1]
20020417,1.4,1.4,1.39,1.39,21688000,[0 0]
20020418,1.37,1.37,1.34,1.35,45408000,[1 0]
20020419,1.35,1.38,1.35,1.38,4491000,[1 0]
20020422,1.34,1.37,1.34,1.37,1615000,[1 1]
20020423,1.3,1.36,1.3,1.36,4096000,[0 0]
20020424,1.35,1.37,1.34,1.36,4761000,[0 1]
20020425,1.32,1.32,1.31,1.32,2495000,[0 1]
20020426,1.32,1.32,1.29,1.29,4690000,[0 0]
20020429,1.27,1.32,1.26,1.32,11824000,[0 0]
20020430,1.35,1.36,1.3,1.3,13319000,[1 0]
20020502,1.3,1.3,1.29,1.29,5840000,[1 0]
20020503,1.3,1.3,1.3,1.3,260000,[0 0]
20020506,1.28,1.28,1.27,1.27,382000,[1 0]
20020507,1.3,1.3,1.27,1.27,4378000,[0 1]
20020508,1.27,1.3,1.27,1.3,9212000,[0 0]
20020509,1.25,1.25,1.22,1.22,8737000,[0 1]
20020510,1.24,1.27,1.24,1.25,32648000,[0 0]
20020513,1.29,1.29,1.23,1.23,47563000,[0 0]
20020514,1.3,1.3,1.3,1.3,2340000,[1 0]
20020515,1.29,1.33,1.29,1.33,521000,[0 1]
20020516,1.33,1.34,1.28,1.32,8948000,[1 1]
20020517,1.29,1.29,1.25,1.29,7205000,[0 1]
20020520,1.3,1.3,1.28,1.28,8509000,[0 0]
