date,open,max,min,close,volume,y
20020403,1.5,1.5,1.39,1.39,53630,[0 1]
20020404,1.16,1.16,1.16,1.16,4176,[0 1]
20020411,1.25,1.25,1.25,1.25,69375,[0 0]
20020412,1.25,1.25,1.25,1.25,35125,[0 0]
20020416,1.35,1.35,1.35,1.35,8910,[0 1]
20020426,1.3,1.3,1.3,1.3,39000,[0 1]
20020429,1.3,1.3,1.3,1.3,2730,[0 1]
20020430,1.3,1.3,1.3,1.3,13000,[1 0]
20020507,1.24,1.24,1.24,1.24,86800,[0 1]
20020509,1.24,1.24,1.24,1.24,37076,[0 0]
20020513,1.25,1.25,1.25,1.25,3750,[0 0]
20020516,1.25,1.25,1.22,1.22,24700,[1 1]
20020520,1.23,1.27,1.23,1.27,14914,[0 1]
20020522,1.23,1.29,1.22,1.22,94689,[1 0]
20020523,1.29,1.29,1.29,1.29,118809,[1 0]
20020524,1.3,1.3,1.3,1.3,26000,[0 0]
20020604,1.3,1.3,1.29,1.29,45350,[0 0]
20020606,1.24,1.24,1.24,1.24,18600,[1 1]
20020610,1.29,1.29,1.29,1.29,25800,[0 0]
20020612,1.29,1.29,1.29,1.29,12900,[1 1]
20020620,1.27,1.27,1.27,1.27,44450,[0 0]
20020621,1.24,1.24,1.24,1.24,37200,[0 1]
20020710,1.21,1.21,1.21,1.21,48400,[1 1]
20020715,1.28,1.28,1.28,1.28,1152,[0 1]
20020729,1.29,1.29,1.29,1.29,61533,[1 1]
20020731,1.15,1.15,1.15,1.15,2530,[1 0]
20020807,1.2,1.2,1.2,1.2,16920,[1 0]
20020902,1.36,1.36,1.36,1.36,108800,[0 1]
20020906,1.2,1.2,1.2,1.2,8280,[1 0]
20020913,1.23,1.23,1.23,1.23,36900,[1 1]
20020918,1.21,1.21,1.21,1.21,12100,[0 0]
20020919,1.2,1.2,1.2,1.2,20040,[1 1]
20020925,1.17,1.17,1.17,1.17,9477,[1 1]
20021011,1.12,1.12,1.12,1.12,7504,[1 0]
20021015,1.15,1.15,1.01,1.01,42564,[1 1]
20021022,1.05,1.15,1.02,1.15,86383,[0 1]
20021024,1.2,1.22,1.1,1.22,73378,[1 0]
20021028,1.1,1.1,1.1,1.1,11000,[1 1]
20021029,1.04,1.04,1.04,1.04,10400,[0 0]
20021101,1.12,1.12,1.12,1.12,11200,[1 1]
20021104,1.24,1.24,1.24,1.24,35216,[0 0]
20021105,1.2,1.24,1.2,1.24,45040,[1 1]
20021106,1.22,1.22,1.22,1.22,24400,[0 0]
20021107,1.25,1.25,1.18,1.18,61100,[1 0]
20021108,1.28,1.28,1.2,1.2,43152,[0 1]
20021119,1.47,1.47,1.47,1.47,4410,[0 1]
20021120,1.4,1.5,1.4,1.5,9950,[0 1]
20021209,1.32,1.32,1.25,1.25,114850,[0 1]
20021210,1.27,1.27,1.27,1.27,12700,[0 1]
20021211,1.32,1.32,1.32,1.32,11880,[0 0]
20021213,1.4,1.4,1.4,1.4,17780,[1 0]
20021216,1.43,1.43,1.43,1.43,3003,[0 1]
20021217,1.43,1.43,1.43,1.43,14300,[1 0]
20021218,1.55,1.55,1.55,1.55,155,[1 1]
20021219,1.42,1.42,1.42,1.42,28400,[1 1]
20021223,1.36,1.36,1.21,1.21,170443,[1 1]
20021226,1.4,1.4,1.4,1.4,28560,[0 1]
20021230,1.44,1.44,1.44,1.44,72000,[0 0]
20030310,1.36,1.36,1.16,1.16,58760,[1 0]
20030319,1.39,1.39,1.39,1.39,64218,[0 1]
20030320,1.41,1.41,1.41,1.41,56400,[0 0]
20030324,1.4,1.4,1.4,1.4,24360,[1 0]
20030325,1.4,1.4,1.4,1.4,1260,[1 0]
20030326,1.45,1.45,1.45,1.45,116000,[0 1]
20030328,1.49,1.49,1.49,1.49,53193,[0 1]
20030401,1.43,1.55,1.43,1.55,73975,[0 0]
20030403,1.57,1.57,1.57,1.57,6280,[0 1]
20030407,1.65,1.65,1.65,1.65,99000,[0 1]
20030409,1.5,1.5,1.5,1.5,74850,[0 1]
20030410,1.57,1.57,1.53,1.53,39154,[0 0]
20030422,1.72,1.72,1.72,1.72,1548,[1 1]
20030425,1.7,1.7,1.6,1.6,64400,[1 1]
20030429,1.74,1.79,1.74,1.79,174045,[0 1]
20030515,1.85,1.85,1.85,1.85,27750,[0 1]
20030526,1.71,1.71,1.7,1.7,102388,[1 0]
20030602,1.88,1.88,1.88,1.88,204168,[1 1]
20030603,1.94,1.94,1.9,1.9,85908,[0 1]
20030604,1.88,1.9,1.88,1.9,131800,[0 0]
20030117,1.4,1.4,1.4,1.4,45500,[0 1]
20030605,1.85,1.85,1.85,1.85,96015,[0 0]
20030606,1.87,1.95,1.87,1.95,56900,[1 1]
20030609,1.83,1.88,1.83,1.88,168871,[0 1]
20030121,1.4,1.4,1.4,1.4,24560,[0 1]
20030610,1.84,1.84,1.81,1.81,146124,[1 0]
20030611,1.85,1.85,1.85,1.85,37000,[1 1]
20030123,1.41,1.41,1.41,1.41,22560,[1 1]
20030127,1.3,1.3,1.3,1.3,115570,[0 0]
20030618,1.85,1.85,1.85,1.85,37000,[0 0]
20030620,1.85,1.85,1.85,1.85,74000,[0 0]
20030130,1.2,1.2,1.2,1.2,15720,[1 0]
20030624,1.88,1.88,1.88,1.88,18800,[1 1]
20030131,1.29,1.29,1.29,1.29,30315,[0 0]
20030627,1.84,1.84,1.84,1.84,55200,[1 0]
20030207,1.22,1.22,1.22,1.22,24400,[1 0]
20030708,1.89,1.89,1.8,1.8,218700,[0 1]
20030213,1.21,1.21,1.21,1.21,12100,[0 1]
20030715,1.85,1.85,1.85,1.85,4625,[1 0]
20030214,1.21,1.21,1.21,1.21,24200,[0 0]
20030716,1.85,1.85,1.85,1.85,67710,[1 1]
20030717,1.85,1.85,1.85,1.85,3145,[0 1]
20030721,1.79,1.79,1.79,1.79,6086,[1 1]
20030722,1.84,1.86,1.84,1.86,173028,[1 0]
20030801,1.81,1.81,1.8,1.8,174080,[0 0]
20030228,1.28,1.3,1.28,1.3,161220,[1 0]
20030805,1.85,1.85,1.85,1.85,119880,[1 1]
20031230,3.0,3.1,3.0,3.1,30250,[1 1]
20030814,1.78,1.78,1.73,1.73,69816,[0 0]
20030815,1.8,1.81,1.8,1.8,104780,[1 1]
20030818,1.85,1.85,1.85,1.85,37000,[1 1]
