date,open,max,min,close,volume,y
20050504,40.0,40.0,40.0,40.0,380000,[1 0]
20050512,44.9,44.9,44.9,44.9,4490,[0 0]
20050516,44.9,44.9,44.9,44.9,8980,[0 1]
20050607,22.49,22.49,21.7,21.7,147096,[1 1]
20050610,21.5,21.5,21.0,21.0,44350,[0 1]
20050614,18.0,18.05,17.5,17.5,17338393,[0 0]
20050615,18.0,18.05,17.51,17.79,2063939,[0 1]
20050616,18.05,18.09,17.95,17.95,1179965,[0 0]
20050617,18.2,18.3,18.0,18.22,1653118,[0 0]
20050620,18.1,18.15,18.0,18.0,659285,[0 0]
20050621,18.15,18.15,17.99,18.05,340760,[1 0]
20050622,18.0,18.0,17.86,17.99,729201,[1 1]
20050623,18.0,18.0,17.79,17.79,549023,[1 1]
20050624,17.79,17.79,17.21,17.41,650289,[1 1]
20050627,17.55,17.55,17.32,17.45,594375,[1 1]
20050628,17.0,17.97,17.0,17.12,1308733,[1 0]
20050629,17.93,17.93,16.75,17.0,425640,[0 1]
20050630,15.5,16.9,15.5,16.9,513680,[1 1]
20050701,16.0,16.8,16.0,16.8,545405,[0 1]
20050704,16.8,16.8,16.51,16.77,384763,[1 1]
20050705,16.5,16.51,16.01,16.51,607459,[1 1]
20050706,16.77,16.77,16.59,16.59,264093,[1 1]
20050707,16.12,16.12,15.0,15.0,1140568,[1 0]
20050711,15.0,16.8,15.0,16.05,1085711,[0 1]
20050712,16.85,17.1,16.85,17.1,127450,[0 1]
20050713,17.51,17.85,17.51,17.85,1170828,[0 1]
20050714,17.99,18.09,17.9,18.09,1582087,[1 0]
20050715,17.81,18.25,15.01,18.25,1132548,[0 1]
20050718,18.34,18.48,18.1,18.4,1374320,[0 0]
20050719,18.21,18.5,18.21,18.45,2401949,[1 0]
20050720,18.49,19.2,18.46,19.2,7118989,[0 0]
20050721,19.0,20.43,19.0,19.9,3276627,[1 0]
20050722,19.5,19.8,19.4,19.58,800485,[0 1]
20050725,18.5,19.44,18.5,19.0,715573,[0 1]
20050726,18.53,19.05,18.53,19.03,321994,[1 1]
20050727,18.5,19.1,18.41,19.1,594140,[0 1]
20050728,17.5,19.25,17.5,19.25,1464495,[1 0]
20050729,19.2,19.2,18.8,18.8,167200,[0 1]
20050801,19.0,19.3,19.0,19.3,467960,[0 1]
20050802,19.2,20.18,19.2,20.18,3768123,[0 1]
20050803,20.0,22.99,20.0,21.8,4256423,[0 1]
20050804,22.0,22.45,20.19,22.3,2833828,[1 0]
20050805,22.5,24.0,22.0,24.0,2646166,[1 0]
20050808,23.74,24.5,23.0,24.24,1368627,[0 1]
20050809,24.8,24.99,24.66,24.8,911231,[1 1]
20050810,24.98,25.15,24.7,25.0,1906115,[0 1]
20050811,25.0,25.1,22.6,25.0,943362,[1 1]
20050812,24.5,25.01,23.35,24.7,1383781,[0 0]
20050815,24.0,25.0,24.0,24.9,1048257,[0 1]
20050816,24.9,24.9,24.5,24.5,870257,[1 1]
20050817,24.5,24.99,24.5,24.99,793215,[1 1]
20050818,24.51,24.99,24.51,24.99,291919,[0 1]
20050819,24.6,25.5,24.6,25.5,1535868,[1 1]
20050822,26.0,26.0,25.61,25.61,666343,[1 0]
20050823,25.0,25.79,25.0,25.0,534068,[1 0]
20050824,24.0,25.4,24.0,24.8,439800,[0 0]
20050825,25.0,26.0,25.0,26.0,447850,[0 1]
20050826,25.7,25.7,25.59,25.59,69203,[1 0]
20050829,24.0,25.0,24.0,24.0,38700,[1 0]
20050830,25.51,25.97,25.51,25.8,412616,[1 1]
20050831,25.8,26.3,25.66,25.66,363640,[1 0]
20050901,26.0,26.29,25.0,25.0,1083963,[1 0]
20050902,25.35,25.35,23.01,24.67,326120,[0 1]
20050905,25.0,25.0,25.0,25.0,105000,[0 1]
20050906,24.9,25.0,24.59,25.0,162789,[1 1]
20050908,23.9,24.05,23.45,24.05,1092629,[0 1]
20050909,24.05,25.0,24.05,25.0,751806,[1 1]
20050912,23.11,24.5,23.11,23.5,260855,[1 0]
20050913,24.4,25.0,23.1,25.0,621690,[1 0]
20050914,24.8,25.05,23.16,25.05,392010,[0 0]
20050915,25.05,26.35,25.05,26.34,1224663,[1 0]
20050916,25.5,25.9,25.5,25.9,715402,[1 0]
20050919,25.02,26.0,25.02,26.0,458577,[1 1]
20050920,26.0,27.5,25.01,27.5,714116,[1 1]
20050921,26.0,26.64,25.7,26.0,675047,[1 1]
20050922,25.0,25.01,22.85,22.85,379645,[1 0]
20050923,22.72,24.7,22.72,24.7,171504,[1 0]
20050926,25.5,25.5,24.01,24.01,779044,[0 0]
20050927,25.0,25.0,24.07,25.0,429874,[0 1]
20050928,26.5,26.5,24.29,24.29,200039,[1 1]
20050929,24.99,24.99,24.32,24.32,63677,[0 0]
20051003,25.7,26.1,24.32,24.32,539376,[1 0]
20051004,25.51,25.9,25.51,25.9,306689,[0 0]
20051005,25.0,26.0,25.0,26.0,277670,[1 0]
20051006,24.7,24.7,24.4,24.65,655320,[0 1]
20051007,25.5,26.0,25.5,26.0,256000,[0 1]
