date,open,max,min,close,volume,y
20050621,11.4,11.6,11.3,11.6,103680,[0 0]
20050622,10.92,11.0,10.87,11.0,109355,[0 0]
20050623,10.9,10.95,10.87,10.87,81725,[1 0]
20050624,10.87,10.87,10.8,10.8,43242,[1 0]
20050627,10.43,10.43,10.43,10.43,53193,[1 0]
20050628,11.2,11.3,10.95,10.95,145405,[1 1]
20050629,11.2,11.2,10.95,10.95,142756,[0 1]
20050701,11.65,11.94,11.65,11.94,25978,[0 1]
20050705,10.7,10.7,10.7,10.7,24610,[0 1]
20050706,10.35,10.35,9.89,9.89,114975,[0 0]
20050707,9.25,9.25,9.25,9.25,46250,[1 1]
20050708,9.01,9.35,9.01,9.35,63750,[0 1]
20050712,10.0,10.0,9.5,9.5,158739,[0 1]
20050713,10.0,10.5,10.0,10.5,115200,[0 1]
20050714,11.1,11.2,11.1,11.2,55600,[0 0]
20050715,10.11,10.11,10.11,10.11,20220,[0 1]
20050718,11.49,11.5,11.49,11.5,257611,[0 0]
20050719,11.34,11.34,10.5,10.5,163310,[1 1]
20050720,11.34,11.77,11.34,11.77,71254,[0 1]
20050721,10.16,10.5,10.16,10.5,98742,[1 0]
20050725,10.13,10.13,10.13,10.13,2026,[1 0]
20050726,10.0,10.7,10.0,10.7,10630,[0 0]
20050727,11.0,11.0,11.0,11.0,12100,[1 0]
20050728,11.0,13.01,10.75,10.75,311286,[0 1]
20050729,11.99,12.0,11.99,12.0,80347,[1 0]
20050801,12.0,14.69,11.02,11.99,346141,[1 1]
20050802,13.0,14.45,11.5,14.45,961060,[1 0]
20050803,12.98,12.98,11.35,12.0,270204,[1 1]
20050804,13.4,13.4,13.4,13.4,127300,[0 1]
20050805,13.38,13.38,13.38,13.38,8028,[1 1]
20050808,12.0,12.0,10.86,10.86,122744,[1 1]
20050809,10.88,11.12,10.22,10.22,374666,[0 0]
20050810,10.63,11.05,10.63,11.05,105341,[1 0]
20050811,11.05,11.05,10.21,10.21,341146,[1 0]
20050812,9.81,10.12,9.81,10.05,78396,[1 0]
20050815,10.45,10.6,10.35,10.35,212315,[0 1]
20050816,10.7,10.7,10.7,10.7,5350,[1 0]
20050817,10.8,10.96,10.04,10.04,225908,[1 1]
20050818,10.04,10.2,10.04,10.05,90017,[0 0]
20050819,9.79,9.79,9.79,9.79,78320,[1 1]
20050822,9.78,10.26,9.78,10.26,221510,[0 1]
20050823,9.92,9.92,9.92,9.92,86304,[1 0]
20050824,9.9,9.9,9.9,9.9,43560,[0 1]
20050825,10.37,10.55,10.37,10.55,106723,[0 0]
20050826,10.4,10.4,10.4,10.4,3120,[1 1]
20050829,10.05,11.0,10.05,11.0,213740,[1 0]
20050830,10.83,10.83,10.83,10.83,2166,[0 0]
20050831,10.68,10.68,10.45,10.5,472408,[0 0]
20050901,10.52,10.9,10.52,10.9,239086,[1 0]
20050902,10.59,10.59,9.85,9.85,104225,[1 0]
20050906,10.4,10.59,10.0,10.5,223303,[0 1]
20050908,10.5,10.6,10.5,10.6,211486,[0 1]
20050909,10.7,10.85,10.7,10.85,215869,[0 0]
20050912,10.75,11.27,10.75,11.27,216907,[1 0]
