date,open,max,min,close,volume,y
20070201,14.3,14.49,13.5,13.5,18921569900,[1 0]
20070202,13.59,13.85,13.13,13.51,1545285700,[0 0]
20070205,13.46,13.58,13.2,13.5,1502811500,[0 1]
20070206,13.48,13.55,13.32,13.45,1822730000,[0 1]
20070207,13.5,13.52,12.9,13.16,1337549900,[0 0]
20070208,13.08,13.18,12.99,13.0,1973569300,[0 0]
20070209,13.13,13.15,12.92,13.05,1454639300,[0 1]
20070212,13.0,13.1,12.41,12.65,1917415400,[1 0]
20070213,12.7,12.75,12.6,12.7,1036948900,[0 1]
20070214,12.7,12.8,12.25,12.55,1769559900,[0 0]
20070215,12.52,12.52,12.0,12.3,1356684100,[1 0]
20070216,12.4,12.4,11.9,12.3,1026845200,[0 0]
20070221,12.15,12.3,11.9,12.0,1294476900,[0 0]
20070222,12.1,12.17,11.87,12.0,1263782500,[1 0]
20070223,11.95,12.19,11.72,12.19,2448877100,[1 0]
20070226,12.2,12.9,12.2,12.45,1862104800,[0 1]
20070227,11.9,12.2,11.3,11.35,3383589600,[0 0]
20070228,11.59,11.8,11.25,11.35,2260375300,[1 0]
20070301,11.25,12.09,10.77,12.09,2039655100,[0 1]
20070302,11.85,11.9,11.11,11.65,2220888200,[1 0]
20070305,11.25,11.51,10.9,11.45,353207800,[0 1]
20070306,11.35,11.94,11.35,11.78,557272600,[0 0]
20070307,11.97,11.97,11.36,11.37,388932600,[0 0]
20070308,11.65,11.65,10.7,10.95,670956100,[0 1]
20070309,11.05,11.1,10.5,10.8,621111200,[1 1]
20070312,10.81,11.0,10.45,10.75,991100800,[1 1]
20070313,10.61,10.81,10.26,10.27,312612500,[1 1]
20070314,10.2,10.6,10.12,10.35,783756900,[0 0]
20070315,10.3,10.5,10.18,10.2,348546200,[1 1]
20070316,10.25,10.3,9.65,9.7,523986000,[0 0]
20070319,9.8,10.0,9.3,9.32,1136077800,[1 0]
20070320,9.4,10.2,9.33,10.16,2702917000,[0 0]
20070321,10.2,10.43,9.81,9.99,1405403700,[1 1]
20070322,10.15,10.35,10.0,10.14,1123285500,[1 0]
20070323,10.13,10.38,9.98,10.12,447374100,[1 1]
20070326,10.34,10.49,10.01,10.45,335994200,[0 1]
20070327,10.41,10.6,10.1,10.16,349424700,[0 0]
20070328,10.11,10.19,10.0,10.15,728205700,[0 1]
20070329,9.91,10.39,9.91,10.39,842786900,[1 0]
20070330,10.16,10.8,10.16,10.75,568612900,[0 0]
20070402,10.49,10.76,10.4,10.6,324055200,[0 0]
20070403,10.8,10.8,10.45,10.6,640310900,[1 0]
20070404,10.75,11.1,10.6,10.91,610485900,[0 0]
20070405,11.0,11.0,10.6,10.8,420783900,[0 1]
20070409,10.89,11.1,10.4,10.6,322135100,[0 1]
20070410,10.55,10.55,10.05,10.15,395997500,[0 0]
20070411,10.16,10.4,10.05,10.1,940096100,[1 1]
20070412,10.2,10.2,10.0,10.03,108558200,[0 1]
20070413,10.2,10.2,9.95,10.19,1094450600,[1 1]
20070416,10.19,10.39,10.14,10.35,1149254700,[0 0]
20070427,11.25,11.35,11.02,11.1,352165800,[1 1]
20070430,11.15,11.4,11.1,11.26,530217500,[1 1]
20070502,11.3,11.68,11.25,11.59,228459400,[0 1]
20070503,11.59,11.75,11.34,11.65,243946100,[0 1]
