date,open,max,min,close,volume,y
20070201,14.13,14.46,13.22,13.49,378477664,[1 0]
20070202,13.59,13.79,13.14,13.5,22445683,[1 0]
20070205,13.31,13.55,13.21,13.31,14131225,[0 0]
20070206,13.49,13.52,13.3,13.39,15713382,[0 1]
20070207,13.45,13.5,12.89,13.2,12687967,[0 0]
20070208,13.1,13.1,12.92,12.92,5275898,[1 0]
20070209,13.0,13.16,12.85,12.85,5596110,[1 1]
20070212,13.0,13.1,12.42,12.5,5154244,[1 0]
20070213,12.5,12.8,12.5,12.67,2423758,[1 1]
20070214,12.71,12.76,12.21,12.25,4516794,[0 0]
20070215,12.52,12.52,12.02,12.06,5284447,[1 0]
20070216,12.3,12.3,11.9,12.25,5648663,[0 0]
20070221,12.3,12.3,11.51,11.8,3759495,[0 0]
20070222,11.81,12.0,11.8,11.93,3881895,[1 0]
20070223,11.95,12.1,11.85,12.1,3162201,[1 0]
20070226,12.06,12.89,12.06,12.21,3640235,[0 1]
20070227,11.6,12.44,10.01,10.01,3109438,[0 0]
20070228,11.2,11.6,11.0,11.0,1671167,[1 0]
20070301,11.3,11.98,10.78,11.98,2334727,[0 1]
20070302,11.5,11.75,11.12,11.35,740864,[1 0]
20070305,11.0,11.46,10.77,11.2,2819287,[1 1]
20070306,10.24,11.99,10.24,11.65,2258084,[0 0]
20070307,11.37,12.0,10.45,11.5,1165255,[0 0]
20070308,11.4,11.4,10.52,11.01,1615001,[1 1]
20070309,11.0,11.0,10.51,10.51,1584419,[1 1]
20070312,10.8,10.81,10.4,10.51,1864257,[0 1]
20070313,10.5,10.7,10.18,10.18,650508,[1 1]
20070314,10.05,10.5,10.03,10.39,1785160,[1 0]
20070315,10.3,10.44,10.05,10.25,1351580,[1 1]
20070316,10.2,10.25,9.51,9.75,1569048,[0 1]
20070319,9.65,9.94,9.3,9.3,1514713,[0 1]
20070320,9.4,10.19,9.3,10.08,2252498,[0 0]
20070321,10.2,10.35,9.83,9.89,1019197,[1 1]
20070322,10.0,10.29,9.84,10.15,1081753,[0 0]
