date,open,max,min,close,volume,y
20090612,0.38,0.39,0.37,0.39,1522300,[0 1]
20090615,0.38,0.38,0.36,0.36,2335800,[0 0]
20090616,0.37,0.37,0.36,0.37,131100,[0 1]
20090617,0.36,0.37,0.36,0.37,39700,[0 1]
20090618,0.37,0.38,0.35,0.36,654800,[0 0]
20090619,0.37,0.37,0.36,0.36,727400,[1 0]
20090622,0.37,0.37,0.37,0.37,3700,[0 0]
20090623,0.36,0.37,0.35,0.35,1970900,[0 1]
20090624,0.36,0.38,0.36,0.38,547600,[1 0]
20090625,0.35,0.36,0.35,0.36,7100,[0 0]
20090626,0.35,0.35,0.35,0.35,94500,[0 0]
20090629,0.35,0.37,0.35,0.37,808700,[0 0]
20090630,0.36,0.37,0.34,0.37,1316300,[1 0]
20090701,0.36,0.36,0.36,0.36,14400,[0 1]
20090703,0.37,0.37,0.35,0.36,295300,[0 0]
20090706,0.37,0.4,0.36,0.36,7729900,[1 0]
20090707,0.38,0.39,0.37,0.38,2906100,[0 0]
20090708,0.39,0.39,0.38,0.39,49700,[1 0]
20090713,0.4,0.4,0.37,0.39,744200,[0 0]
20090714,0.39,0.39,0.35,0.39,5519300,[0 0]
20090715,0.36,0.39,0.35,0.39,5565800,[0 0]
20090716,0.39,0.39,0.36,0.39,1807800,[0 1]
20090717,0.38,0.38,0.35,0.37,3558800,[1 0]
20090720,0.35,0.38,0.35,0.37,727000,[0 1]
20090721,0.37,0.37,0.35,0.35,1883400,[0 0]
20090722,0.36,0.37,0.36,0.37,230500,[0 0]
20090723,0.37,0.37,0.36,0.36,586300,[1 0]
20090724,0.36,0.36,0.35,0.35,2880000,[1 1]
20090727,0.36,0.37,0.36,0.36,2827400,[0 0]
20090728,0.35,0.35,0.35,0.35,3500,[0 0]
20090730,0.35,0.35,0.35,0.35,7000,[0 0]
20090731,0.36,0.36,0.36,0.36,1044000,[0 0]
20090803,0.36,0.36,0.36,0.36,36000,[0 1]
20090804,0.36,0.36,0.36,0.36,3600,[0 0]
20090805,0.35,0.35,0.35,0.35,1172500,[0 0]
20090806,0.37,0.47,0.36,0.41,56713300,[0 1]
20090807,0.41,0.42,0.37,0.4,10609800,[0 1]
20090810,0.4,0.4,0.38,0.4,3581700,[0 1]
20090811,0.39,0.39,0.38,0.38,957000,[0 0]
20090812,0.38,0.38,0.37,0.37,518100,[0 0]
20090813,0.37,0.37,0.37,0.37,159100,[1 0]
20090814,0.36,0.39,0.36,0.37,8090900,[0 0]
