date,open,max,min,close,volume,y
20110204,10.99,11.0,10.31,10.45,355439300,[0 0]
20110207,10.46,10.79,10.4,10.45,221305100,[1 1]
20110208,10.43,10.44,10.0,10.0,205726200,[0 0]
20110209,9.96,9.96,9.53,9.58,407966100,[1 1]
20110210,9.58,9.89,9.58,9.89,224146200,[0 1]
20110211,10.05,10.47,10.04,10.11,349444200,[0 0]
20110214,10.35,10.35,10.05,10.06,97147500,[0 0]
20110215,10.2,10.2,9.97,9.97,170842500,[0 0]
20110216,9.99,10.06,9.91,9.98,152110600,[0 1]
20110217,9.98,9.98,9.69,9.7,207722400,[1 0]
20110218,9.71,9.84,9.68,9.79,223069600,[0 0]
20110221,9.95,10.28,9.7,9.7,1237726800,[1 0]
20110222,9.75,9.95,9.33,9.45,342867300,[0 0]
20110223,9.5,9.64,9.36,9.4,182486200,[1 1]
20110224,9.42,9.57,9.37,9.37,86608900,[0 0]
20110225,9.41,9.45,9.05,9.09,122699200,[1 0]
20110228,9.18,9.18,8.5,8.5,427946900,[0 0]
20110301,8.55,8.55,7.76,7.85,805399200,[1 0]
20110302,7.97,8.3,7.77,8.25,424197500,[1 1]
20110303,8.32,8.85,8.3,8.7,377270500,[0 0]
20110304,8.71,8.73,8.2,8.3,209421200,[0 0]
20110309,8.2,8.2,7.99,8.05,144264700,[1 0]
20110310,8.05,8.05,7.85,7.85,113846100,[0 1]
20110311,7.85,8.28,7.85,8.0,214835800,[0 1]
20110314,8.0,8.18,7.9,7.97,61842400,[0 1]
20110315,7.83,7.98,7.7,7.9,126432800,[0 0]
20110316,7.95,8.02,7.71,7.71,264647100,[0 0]
20110317,7.85,8.14,7.78,7.83,176715900,[0 1]
20110318,7.96,8.01,7.84,7.84,217214700,[0 0]
20110321,8.0,8.0,7.81,7.81,234502000,[1 0]
20110322,7.85,7.85,7.69,7.8,114922200,[1 0]
20110323,7.8,7.89,7.7,7.85,67592200,[0 0]
20110324,7.9,7.92,7.77,7.78,32642800,[1 1]
20110325,7.77,7.83,7.63,7.65,77452600,[1 0]
20110328,7.65,7.82,7.55,7.55,72208700,[0 0]
20110329,7.56,7.8,7.56,7.6,88129700,[0 0]
20110330,7.63,7.66,7.55,7.55,51237000,[1 1]
20110331,7.6,8.89,7.57,8.89,541802600,[1 1]
20110401,9.1,9.34,8.78,8.9,1250808800,[1 1]
20110404,9.2,9.21,8.81,8.88,234043700,[0 1]
20110405,8.88,8.88,8.45,8.5,347343500,[1 0]
20110406,8.37,8.38,7.92,8.0,282985300,[1 1]
20110407,7.81,8.0,7.81,7.93,174456300,[0 0]
20110408,7.96,8.4,7.96,8.01,191392200,[1 0]
20110411,7.95,7.99,7.79,7.82,119794200,[0 0]
20110412,7.81,7.97,7.69,7.74,84880700,[1 0]
20110413,7.8,7.89,7.73,7.77,97460900,[1 1]
20110414,7.78,7.85,7.7,7.7,38173300,[0 0]
20110415,7.78,7.81,7.64,7.74,46281900,[1 1]
20110418,7.74,7.76,7.59,7.61,227914800,[0 1]
20110419,7.64,7.87,7.58,7.79,41952100,[1 0]
20110420,7.79,7.84,7.65,7.66,74318700,[0 1]
20110425,7.64,7.66,7.5,7.5,131442500,[0 0]
20110426,7.5,7.5,6.81,7.03,331440300,[0 1]
20110427,7.03,7.03,6.55,6.56,161924100,[0 1]
20110428,6.5,6.53,6.08,6.1,193106100,[0 0]
20110429,6.04,6.92,5.85,6.48,251826000,[1 1]
20110502,6.6,6.76,6.31,6.31,87576400,[0 0]
20110503,6.35,6.45,6.27,6.28,66169900,[0 0]
20110504,6.37,6.55,6.28,6.3,73716100,[0 0]
20110505,6.34,6.45,5.94,6.08,107696600,[1 0]
20110506,6.17,6.25,6.02,6.11,75503000,[0 0]
20110509,6.11,6.19,5.98,5.98,42462800,[0 0]
20110510,6.01,6.07,5.91,5.94,43687900,[1 1]
20110511,5.97,6.0,5.7,5.7,55408300,[1 1]
20110512,5.68,5.95,5.51,5.72,80151100,[0 0]
20110513,5.79,5.91,5.71,5.82,180806600,[1 0]
20110516,6.03,6.15,5.91,6.02,185925100,[1 1]
20110517,6.02,6.13,5.96,5.97,70203100,[1 1]
20110518,6.02,6.07,5.86,5.93,28439500,[0 1]
20110519,5.94,6.05,5.79,5.79,18939200,[0 0]
20110520,5.82,5.82,5.6,5.66,29491700,[0 1]
20110523,5.55,5.65,5.38,5.52,65926100,[0 0]
20110524,5.52,5.8,5.52,5.7,54244900,[1 0]
20110525,5.7,5.79,5.65,5.73,36049800,[0 1]
20110526,5.8,5.99,5.73,5.81,96232600,[0 1]
20110527,5.8,5.94,5.8,5.94,29858200,[1 1]
20110530,5.95,6.35,5.87,6.34,109151300,[0 1]
20110531,6.28,6.77,6.28,6.5,242334700,[1 1]
20110601,6.5,6.7,6.11,6.11,140876100,[0 1]
20110602,6.1,6.25,5.97,6.21,79040500,[1 1]
20110603,6.1,6.45,6.1,6.25,49121500,[0 1]
20110606,6.35,6.35,5.9,5.92,41522600,[0 0]
20110607,6.06,6.08,5.95,6.0,25813300,[1 1]
20110608,6.05,6.3,6.0,6.2,115634200,[0 1]
20110609,6.2,6.38,6.16,6.17,40280300,[0 0]
20110610,6.18,6.2,6.06,6.12,27577300,[0 0]
20110613,6.17,6.31,6.12,6.16,182341300,[1 0]
20110614,6.2,6.25,6.05,6.15,42360800,[1 1]
20110615,6.05,6.12,5.92,5.92,49643400,[0 0]
20110616,6.0,6.13,5.82,5.87,33264900,[0 1]
20110617,5.94,5.97,5.82,5.97,24468300,[0 0]
20110620,6.0,6.07,5.85,5.85,28516500,[0 1]
20110621,5.91,5.99,5.9,5.97,25522200,[1 0]
20110622,5.95,6.1,5.9,5.99,26240000,[0 0]
20110624,5.92,6.05,5.85,5.86,33784000,[1 1]
20110627,5.89,5.94,5.73,5.74,50243600,[0 0]
20110628,5.9,6.06,5.65,5.85,85174400,[0 1]
20110629,5.87,5.99,5.8,5.87,48928600,[0 1]
20110630,5.94,5.99,5.83,5.83,31836000,[1 1]
20110701,5.97,8.9,5.96,7.7,2942020800,[1 1]
20110704,8.05,8.36,7.73,7.9,1425116600,[1 1]
20110705,7.9,8.04,7.2,7.2,762687600,[0 0]
20110706,7.3,7.5,7.0,7.18,456808100,[0 1]
20110707,7.4,7.44,7.15,7.21,172894800,[0 0]
20110708,7.3,7.38,6.85,6.9,220091500,[1 0]
20110711,6.72,6.75,6.31,6.31,234365000,[1 0]
20110712,6.32,6.4,6.1,6.13,183419200,[0 1]
20110713,6.75,7.38,6.59,6.73,683193200,[0 1]
20110714,6.8,6.93,6.2,6.25,261910100,[0 0]
20110715,6.27,6.45,6.27,6.35,127142700,[1 1]
20110718,6.3,6.31,6.24,6.3,47832000,[1 1]
20110719,6.32,6.39,6.15,6.15,115112400,[1 0]
20110720,6.17,6.37,6.1,6.16,103847800,[0 0]
20110721,6.16,6.78,6.16,6.28,167711800,[0 0]
20110722,6.35,6.55,6.13,6.13,93550600,[1 1]
20110725,6.12,6.2,6.06,6.11,28586400,[0 0]
20110726,6.14,6.14,5.95,5.97,66639200,[1 0]
20110727,5.96,5.96,5.83,5.9,48419500,[0 0]
20110728,6.0,6.08,5.85,5.9,54316700,[1 1]
20110729,5.86,5.93,5.8,5.86,31386000,[0 0]
20110801,6.09,6.15,5.87,5.88,73980100,[1 0]
20110802,5.88,5.9,5.72,5.75,40988400,[1 1]
20110803,5.7,5.72,5.5,5.56,70983700,[0 0]
20110804,5.5,5.5,4.76,5.01,113440200,[1 0]
20110805,4.91,4.91,4.6,4.9,138074500,[0 1]
20110808,4.56,4.58,4.06,4.3,178606200,[0 0]
20110809,4.35,4.8,4.3,4.41,124968600,[1 1]
20110810,4.66,4.75,4.41,4.5,136679900,[0 0]
20110811,4.85,4.85,4.59,4.79,91979200,[1 0]
20110812,4.92,6.5,4.92,6.22,531701700,[1 1]
20110815,6.6,6.89,6.02,6.1,510660200,[1 1]
20110816,5.9,6.0,5.64,5.8,176517900,[1 0]
20110817,5.88,5.98,5.72,5.85,94121300,[0 0]
20110818,5.71,5.76,5.52,5.52,98715600,[0 1]
20110819,5.5,6.55,5.35,6.39,1059194300,[0 0]
20110822,6.62,6.69,6.11,6.59,830509000,[0 0]
20110823,6.3,7.5,6.3,7.3,1013873000,[0 0]
20110824,7.4,8.19,7.4,7.8,1629185100,[0 1]
20110825,8.17,8.17,7.23,7.5,776835500,[1 1]
20110826,7.37,8.14,7.25,8.05,641890600,[1 1]
20110829,8.02,8.15,7.71,7.99,639391200,[0 0]
