date,open,max,min,close,volume,y
20071219,6.68,6.85,6.34,6.85,3094075100,[0 0]
20071220,6.9,6.9,6.55,6.8,569475500,[0 1]
20071221,6.6,6.71,6.43,6.7,392608200,[1 0]
20071226,6.6,6.7,6.49,6.6,206655200,[1 0]
20071227,6.45,6.7,6.45,6.7,188661500,[1 0]
20071228,6.7,7.1,6.63,7.1,213660400,[0 1]
20080102,7.0,7.04,6.84,6.98,54214800,[0 1]
20080103,7.0,7.14,6.8,7.05,113697100,[0 1]
20080104,7.05,7.1,6.52,6.8,315342500,[0 0]
20080107,6.6,7.0,6.6,7.0,174056300,[0 0]
20080108,6.75,7.0,6.7,6.95,27449300,[1 0]
20080109,6.95,7.0,6.61,6.8,998707200,[1 0]
20080110,6.8,6.98,6.7,6.98,412806200,[0 1]
20080111,6.76,6.94,6.61,6.8,228069500,[1 0]
20080114,6.7,6.85,6.7,6.82,26276600,[1 1]
20080115,6.8,6.85,6.65,6.8,73251000,[1 1]
20080116,6.6,6.99,6.5,6.99,357389900,[1 1]
20080117,6.8,6.99,6.5,6.99,383340600,[1 1]
20080118,6.56,6.75,6.4,6.6,29156500,[0 0]
20080121,5.5,6.2,5.5,6.0,4872600,[1 1]
20080122,5.4,5.9,5.25,5.25,3489800,[0 0]
20080123,5.4,5.45,5.3,5.3,32160300,[0 0]
20080124,5.6,5.64,5.2,5.2,45208800,[0 0]
20080128,5.2,5.29,5.1,5.29,33480800,[0 1]
20080129,5.29,5.34,5.03,5.15,28642900,[0 0]
20080130,5.14,5.25,5.01,5.15,83050700,[0 0]
20080131,5.01,5.21,5.01,5.19,105621600,[0 0]
20080201,5.21,5.5,5.21,5.3,154101300,[0 0]
20080206,5.15,5.15,5.05,5.05,28490100,[0 0]
20080207,5.01,5.15,4.95,5.13,38833900,[0 1]
20080208,5.13,5.15,5.13,5.15,2574700,[1 1]
20080211,5.14,5.3,5.1,5.3,18526200,[1 0]
20080212,5.35,5.65,5.35,5.55,18740500,[0 1]
20080213,5.55,6.0,5.55,5.8,277890300,[0 0]
20080214,5.85,6.0,5.85,6.0,238171600,[1 1]
20080215,6.1,6.3,6.0,6.3,13715100,[0 1]
20080218,6.35,6.75,6.35,6.75,23289400,[0 0]
20080219,6.75,6.84,6.75,6.75,122501300,[0 0]
20080220,6.65,6.7,6.65,6.7,512414300,[1 1]
20080221,6.7,6.8,6.45,6.8,24502700,[1 1]
20080222,6.8,7.05,6.75,7.05,11821900,[0 1]
20080225,7.0,7.05,6.85,7.05,259065600,[1 0]
20080226,7.0,7.05,6.9,6.99,654281000,[1 1]
20080227,6.99,6.99,6.85,6.9,4827400,[1 0]
20080228,6.9,6.9,6.85,6.85,13837500,[0 0]
20080229,6.75,6.75,6.5,6.6,78249300,[0 0]
20080303,6.6,6.6,6.25,6.3,94871000,[1 0]
20080304,6.3,6.3,6.15,6.19,5798700,[1 1]
20080305,6.25,6.25,6.0,6.2,27782500,[1 1]
20080306,6.2,6.2,6.0,6.09,56076400,[1 0]
20080307,6.05,6.05,5.85,6.0,70272300,[1 0]
20080310,6.0,6.0,5.73,5.73,8623800,[1 1]
20080311,5.85,5.85,5.43,5.49,53223300,[1 1]
20080312,5.48,5.48,5.15,5.3,143426900,[1 1]
20080313,5.2,5.2,4.85,5.0,241626700,[0 0]
20080314,5.2,5.2,4.9,5.0,275894900,[0 0]
20080317,4.95,4.95,4.85,4.85,6943000,[0 0]
20080318,4.9,4.95,4.7,4.7,36173800,[0 1]
20080319,4.79,4.79,4.38,4.4,64815400,[0 1]
20080320,4.45,4.45,4.32,4.4,225556700,[0 1]
20080324,4.4,4.6,4.4,4.55,136158800,[0 1]
20080325,4.75,4.99,4.75,4.91,681771600,[0 0]
20080326,5.02,5.15,4.98,5.08,219361400,[0 1]
20080327,5.15,5.3,5.05,5.15,70010300,[0 0]
20080328,5.2,5.29,5.15,5.15,52933800,[0 1]
20080331,5.15,5.15,5.04,5.15,102925700,[0 1]
20080401,5.28,5.38,5.16,5.35,95148100,[0 1]
20080402,5.35,5.37,5.25,5.3,161267700,[1 0]
20080403,5.28,5.3,5.2,5.26,152394700,[0 0]
20080404,5.28,5.4,5.2,5.27,186883300,[0 1]
20080407,5.2,5.38,5.2,5.38,11831600,[1 1]
20080408,5.3,5.3,5.2,5.25,2875100,[1 0]
20080409,5.24,5.4,5.2,5.3,65093500,[1 0]
20080410,5.3,5.3,5.25,5.3,5575000,[0 0]
20080411,5.3,5.3,5.15,5.2,3260100,[1 0]
20080414,5.15,5.15,4.82,4.88,36622800,[0 0]
20080415,4.89,4.89,4.55,4.72,27116100,[0 1]
20080416,4.75,4.86,4.7,4.75,131027200,[0 0]
20080417,4.76,4.91,4.75,4.91,1854300,[0 1]
20080418,4.91,5.0,4.78,5.0,5298100,[0 0]
20080422,5.0,5.14,5.0,5.14,11414800,[0 0]
20080423,5.2,5.2,5.0,5.0,36881500,[1 1]
20080424,5.05,5.1,5.05,5.1,1782500,[0 0]
20080425,5.1,5.27,5.1,5.27,39362600,[0 0]
20080428,5.25,5.27,5.2,5.27,31655300,[0 0]
20080429,5.32,5.58,5.3,5.5,101907000,[1 1]
20080430,5.5,5.9,5.5,5.9,38653000,[0 0]
20080502,5.95,6.16,5.7,6.0,216145500,[0 1]
20080505,6.0,6.0,5.8,5.9,225477900,[0 0]
20080506,5.92,5.95,5.75,5.8,173390000,[0 1]
20080507,5.8,5.81,5.4,5.5,166582600,[0 0]
20080508,5.52,5.52,5.2,5.32,212090600,[0 1]
20080509,5.31,5.32,5.21,5.32,26049300,[1 1]
20080512,5.35,5.7,5.35,5.4,105643600,[0 0]
20080513,5.4,5.6,5.35,5.4,18990900,[0 0]
20080514,5.38,5.7,5.35,5.59,605080000,[0 0]
20080515,5.59,5.85,5.59,5.8,74149600,[1 0]
20080516,5.87,6.3,5.87,6.3,145695900,[1 0]
20080519,6.24,6.58,6.24,6.52,72302700,[1 0]
20080520,6.5,6.65,6.49,6.65,8141700,[0 0]
20080521,6.52,6.6,6.5,6.6,7367900,[1 1]
20080523,6.55,6.65,6.35,6.65,39397200,[0 0]
20080526,6.5,6.65,6.5,6.65,16319000,[0 0]
20080527,6.6,6.75,6.56,6.75,12998900,[0 0]
20080528,6.75,6.99,6.7,6.95,373374200,[1 0]
20080529,6.95,7.1,6.85,7.0,181219800,[1 1]
20080530,7.11,7.35,7.11,7.35,747161400,[1 1]
20080602,7.35,7.74,7.32,7.67,81634600,[1 0]
20080603,7.67,8.0,7.67,7.85,146796500,[0 0]
20080604,7.7,7.9,7.63,7.8,110790700,[0 0]
20080605,7.9,7.93,7.3,7.59,53041000,[0 0]
20080606,7.6,7.61,7.28,7.5,425518800,[0 0]
20080609,7.6,7.6,7.05,7.35,67947700,[1 0]
20080610,7.3,7.3,7.0,7.0,127000500,[0 0]
20080611,7.05,7.05,6.85,6.85,50787600,[0 1]
20080612,6.75,6.85,6.7,6.8,28329000,[0 0]
20080613,6.8,6.85,6.7,6.85,9007400,[0 0]
20080616,6.85,6.85,6.8,6.85,226164200,[0 0]
20080617,6.9,7.13,6.9,7.1,38314900,[0 1]
