date,open,max,min,close,volume,y
20100813,4.4,4.49,4.24,4.3,146758300,[0 0]
20100816,4.31,4.31,4.1,4.18,495379900,[0 0]
20100817,4.18,4.23,4.07,4.07,607556700,[1 0]
20100818,4.07,4.12,3.97,3.98,929813900,[0 0]
20100819,3.99,4.0,3.87,3.87,372598100,[0 1]
20100820,3.9,4.0,3.88,3.96,368803700,[0 0]
20100823,3.98,4.04,3.91,3.91,193907400,[1 0]
20100824,3.88,3.92,3.75,3.75,410193200,[0 0]
20100825,3.77,3.8,3.61,3.75,602029800,[1 1]
20100826,3.8,3.83,3.65,3.65,247521300,[0 1]
20100827,3.73,3.73,3.63,3.67,374678700,[1 1]
20100830,3.68,3.75,3.65,3.65,198335200,[1 1]
20100831,3.69,3.7,3.61,3.62,289915800,[0 0]
20100901,3.67,3.79,3.63,3.74,550670400,[0 1]
20100902,3.77,3.83,3.72,3.73,226329900,[1 1]
20100903,3.79,3.8,3.67,3.68,191008800,[0 0]
20100906,3.7,3.72,3.66,3.67,66220600,[1 1]
20100908,3.68,3.76,3.65,3.73,206831400,[0 1]
20100909,3.76,3.89,3.76,3.88,450680100,[0 0]
20100910,3.91,3.94,3.79,3.82,260131100,[1 1]
20100913,3.85,4.0,3.82,4.0,628020600,[0 1]
20100914,3.98,4.22,3.98,4.18,1356241700,[0 1]
20100915,4.17,4.37,4.15,4.32,1652380600,[0 1]
20100916,4.3,4.5,4.23,4.47,1175781500,[0 0]
20100917,4.45,4.74,4.33,4.66,3690931800,[1 0]
20100920,4.61,4.69,4.46,4.46,688913900,[0 0]
20100921,4.43,4.43,4.25,4.34,454845600,[1 1]
20100922,4.33,4.41,4.26,4.29,308587500,[1 1]
20100923,4.27,4.37,4.27,4.35,176059400,[0 1]
20100924,4.39,4.41,4.29,4.36,318617300,[0 0]
20100927,4.33,4.46,4.29,4.44,216696200,[1 0]
20100928,4.46,4.55,4.32,4.35,191201400,[0 0]
20100929,4.37,4.41,4.32,4.32,166486800,[1 0]
20100930,4.39,4.45,4.32,4.35,223666600,[0 0]
20101001,4.4,4.4,4.33,4.4,131067200,[1 0]
20101004,4.35,4.42,4.33,4.39,137984000,[0 0]
20101005,4.4,4.44,4.36,4.41,149403100,[0 1]
20101006,4.39,4.43,4.33,4.33,206705500,[0 0]
20101007,4.37,4.37,4.12,4.2,252628700,[0 0]
20101008,4.18,4.24,4.15,4.24,175436900,[0 0]
20101011,4.28,4.35,4.24,4.35,115598800,[1 0]
20101013,4.3,4.4,4.3,4.32,294632700,[0 0]
20101014,4.31,4.38,4.26,4.37,177799100,[0 0]
20101015,4.35,4.36,4.29,4.31,123903100,[1 1]
20101018,4.3,4.35,4.3,4.32,33470800,[0 0]
20101019,4.29,4.31,4.17,4.17,94478500,[0 0]
20101020,4.2,4.26,4.17,4.19,82743300,[1 0]
20101021,4.17,4.27,4.12,4.13,78222800,[1 1]
20101022,4.15,4.16,3.98,4.01,206400600,[0 0]
20101025,4.35,4.35,4.16,4.17,361036700,[0 0]
20101026,4.2,4.21,4.08,4.14,269407000,[0 1]
20101027,4.14,4.19,4.11,4.13,127490300,[1 1]
20101028,4.16,4.17,4.08,4.09,267059600,[1 1]
20101029,4.11,4.22,4.09,4.16,268515100,[0 1]
20101101,4.16,4.29,4.16,4.28,227005000,[0 1]
20101103,4.35,4.43,4.28,4.29,530026100,[0 0]
20101104,4.33,4.42,4.26,4.36,304197100,[0 0]
20101105,4.37,4.4,4.26,4.29,274309600,[1 0]
20101108,4.32,4.39,4.27,4.39,351743800,[0 0]
20101109,4.38,4.4,4.29,4.3,240765500,[1 1]
20101110,4.3,4.32,4.23,4.3,224563600,[0 0]
20101111,4.3,4.39,4.26,4.35,380516400,[1 1]
20101112,4.28,4.33,4.25,4.26,139344200,[1 0]
20101116,4.2,4.2,3.87,3.87,810251800,[0 1]
20101117,3.93,3.95,3.83,3.87,312345800,[0 0]
20101118,3.93,3.97,3.86,3.89,340344500,[0 0]
20101119,3.89,3.9,3.84,3.86,148596300,[0 1]
20101122,3.87,3.9,3.76,3.77,164161600,[0 1]
20101123,3.73,3.75,3.67,3.67,156824400,[1 1]
20101124,3.71,3.82,3.7,3.79,111952700,[1 0]
20101125,3.8,3.84,3.73,3.79,194860500,[0 0]
20101126,3.76,3.76,3.67,3.7,202766900,[0 0]
20101129,3.7,3.75,3.57,3.65,150325400,[1 1]
20101130,3.64,3.71,3.58,3.62,245961300,[0 1]
20101201,3.69,3.9,3.67,3.9,449950300,[0 1]
20101202,3.92,3.92,3.82,3.82,162988800,[1 0]
20101203,3.83,3.85,3.76,3.8,49214600,[0 0]
20101206,3.8,3.81,3.73,3.73,114547800,[0 1]
20101207,3.79,3.83,3.71,3.71,99010100,[1 1]
20101208,3.72,3.8,3.67,3.7,134964500,[1 0]
20101209,3.73,3.75,3.65,3.65,116836600,[1 0]
20101210,3.7,3.7,3.65,3.67,60092500,[0 1]
20101213,3.7,3.71,3.46,3.49,985824400,[1 1]
20101214,3.51,3.59,3.36,3.38,883497500,[0 1]
20101215,3.4,3.4,3.26,3.28,918855500,[1 0]
20101216,3.33,3.33,3.13,3.13,1242201400,[0 1]
20101217,3.11,3.23,2.99,3.1,3737986000,[0 0]
20101220,3.25,3.27,3.12,3.24,890138200,[0 0]
20101221,3.26,3.32,3.25,3.25,373665600,[1 0]
20101222,3.25,3.27,3.14,3.18,302875900,[1 0]
20101223,3.17,3.2,3.15,3.16,178072100,[0 0]
20101227,3.16,3.17,3.12,3.15,198967300,[1 0]
20101228,3.17,3.2,3.14,3.15,171096600,[1 0]
20101229,3.18,3.26,3.17,3.25,192333400,[0 0]
20101230,3.23,3.27,3.22,3.24,169960400,[1 0]
20110103,3.24,3.35,3.24,3.33,479443200,[0 0]
20110104,3.37,3.49,3.36,3.46,663795100,[0 1]
20110105,3.42,3.5,3.38,3.43,299441000,[0 1]
20110106,3.43,3.45,3.38,3.41,181826300,[0 1]
20110107,3.42,3.44,3.39,3.4,117462500,[1 0]
20110110,3.4,3.43,3.35,3.37,148457000,[0 0]
20110111,3.41,3.43,3.33,3.36,361156300,[0 0]
20110112,3.36,3.42,3.36,3.41,393797900,[0 0]
20110113,3.39,3.48,3.39,3.46,331959200,[0 0]
20110114,3.46,3.57,3.45,3.53,349273200,[0 0]
20110117,3.55,3.58,3.46,3.54,171502900,[1 0]
20110118,3.58,3.58,3.52,3.56,168664800,[0 1]
20110119,3.55,3.56,3.51,3.54,164685400,[0 0]
20110120,3.48,3.55,3.48,3.55,123207900,[0 0]
20110121,3.55,3.55,3.44,3.44,147098100,[0 0]
20110124,3.47,3.5,3.42,3.5,85322300,[0 1]
20110126,3.49,3.54,3.44,3.47,162111900,[1 1]
20110127,3.44,3.48,3.37,3.41,114272900,[0 0]
20110128,3.39,3.4,3.32,3.36,142054900,[0 0]
20110131,3.4,3.4,3.27,3.34,144895000,[0 1]
20110201,3.38,3.43,3.36,3.42,131862100,[0 0]
20110202,3.41,3.45,3.38,3.41,176869000,[0 0]
20110203,3.41,3.41,3.32,3.35,94002600,[1 0]
20110204,3.38,3.38,3.27,3.27,150025600,[1 1]
20110207,3.29,3.34,3.25,3.3,78263300,[1 0]
20110208,3.29,3.36,3.28,3.33,106146500,[1 0]
20110209,3.32,3.35,3.27,3.28,98801700,[1 0]
20110210,3.23,3.3,3.23,3.26,120691800,[0 1]
20110211,3.27,3.28,3.23,3.27,77334600,[0 1]
20110214,3.27,3.3,3.24,3.3,51255500,[0 1]
20110215,3.46,3.52,3.37,3.42,299218500,[1 1]
20110216,3.45,3.46,3.38,3.42,121170500,[1 1]
20110217,3.42,3.43,3.36,3.38,157482800,[0 0]
20110218,3.37,3.41,3.35,3.4,51485800,[1 1]
20110221,3.4,3.4,3.31,3.33,102735800,[0 1]
20110222,3.31,3.32,3.27,3.32,94023800,[1 1]
20110223,3.33,3.33,3.26,3.26,130166700,[0 1]
20110224,3.26,3.28,3.16,3.19,197677100,[0 0]
20110225,3.2,3.21,3.16,3.18,119952300,[0 0]
20110228,3.23,3.23,3.12,3.19,148059700,[0 1]
20110301,3.19,3.21,3.14,3.14,143178500,[0 0]
20110302,3.16,3.18,3.11,3.16,142501700,[0 0]
20110303,3.17,3.25,3.16,3.24,163994300,[0 0]
20110304,3.24,3.3,3.22,3.28,266886900,[1 1]
20110309,3.33,3.35,3.27,3.3,93863500,[0 1]
20110310,3.3,3.3,3.19,3.19,104551700,[1 1]
20110311,3.22,3.22,3.15,3.19,190027100,[0 0]
20110314,3.17,3.19,3.13,3.18,67308700,[1 0]
20110315,3.13,3.17,3.06,3.15,135863100,[0 1]
20110316,3.18,3.19,3.11,3.14,98053300,[1 0]
20110317,3.15,3.2,3.14,3.17,68761200,[1 1]
20110318,3.2,3.22,3.17,3.19,114458000,[0 0]
20110321,3.2,3.23,3.16,3.16,45281600,[0 0]
20110322,3.15,3.23,3.15,3.22,108688200,[1 0]
20110323,3.2,3.23,3.15,3.21,72945500,[0 0]
20110324,3.21,3.28,3.18,3.26,251565400,[0 1]
20110325,3.26,3.35,3.26,3.28,360884100,[0 1]
20110328,3.33,3.33,3.26,3.26,30475100,[0 0]
20110329,3.26,3.29,3.21,3.24,89733600,[0 0]
20110330,3.23,3.27,3.17,3.2,231940200,[0 0]
20110331,3.19,3.23,3.17,3.2,247428200,[1 1]
20110401,3.2,3.25,3.19,3.23,99695100,[0 1]
20110404,3.22,3.3,3.22,3.28,239792300,[1 1]
20110405,3.28,3.45,3.27,3.44,793505900,[0 0]
20110406,3.45,3.54,3.41,3.5,649452000,[1 0]
20110407,3.5,3.54,3.42,3.48,287715200,[0 0]
20110408,3.46,3.53,3.37,3.49,269888800,[0 0]
20110411,3.51,3.53,3.46,3.49,67005700,[0 0]
20110412,3.46,3.47,3.4,3.43,102874900,[0 1]
20110413,3.41,3.49,3.41,3.47,148197500,[0 0]
20110414,3.47,3.5,3.43,3.48,65885000,[1 1]
20110415,3.46,3.52,3.46,3.5,112218100,[1 0]
20110418,3.47,3.47,3.43,3.43,75304900,[1 0]
20110419,3.43,3.47,3.42,3.45,54634500,[1 0]
20110420,3.46,3.48,3.42,3.47,53198300,[0 1]
20110425,3.47,3.49,3.43,3.45,34381100,[0 0]
20110426,3.48,3.48,3.42,3.44,115890600,[0 0]
20110427,3.42,3.45,3.42,3.45,69288800,[0 1]
20110428,3.46,3.46,3.34,3.36,116313600,[1 0]
20110429,3.4,3.47,3.29,3.33,169198600,[0 1]
20110502,3.33,3.35,3.25,3.25,90235300,[0 0]
20110503,3.25,3.25,3.15,3.2,117102600,[0 0]
20110504,3.22,3.22,3.18,3.22,43265500,[0 0]
20110505,3.19,3.25,3.19,3.2,57189800,[1 0]
20110506,3.23,3.29,3.21,3.29,55668900,[0 0]
20110509,3.25,3.28,3.22,3.25,80884000,[0 1]
20110510,3.25,3.3,3.23,3.24,161951900,[0 0]
20110511,3.25,3.27,3.19,3.22,65460200,[0 1]
20110512,3.23,3.27,3.18,3.27,30643000,[1 1]
20110513,3.25,3.25,3.22,3.23,66294400,[1 0]
20110516,3.29,3.29,3.2,3.25,36641400,[1 1]
20110517,3.25,3.25,3.22,3.25,49633000,[1 0]
20110518,3.26,3.26,3.21,3.25,76050400,[1 0]
20110519,3.2,3.24,3.17,3.19,78780000,[0 1]
20110520,3.18,3.23,3.17,3.23,30666000,[0 1]
20110523,3.24,3.24,3.18,3.2,73731400,[1 1]
20110524,3.2,3.25,3.17,3.2,70501900,[1 0]
20110525,3.18,3.2,3.14,3.15,113282800,[1 1]
20110526,3.13,3.13,3.02,3.05,276862400,[0 0]
20110527,3.07,3.07,3.04,3.07,97112400,[0 0]
20110530,3.07,3.1,3.05,3.07,64045500,[1 0]
20110531,3.08,3.12,3.07,3.09,85077200,[1 0]
20110601,3.09,3.1,3.03,3.04,73592500,[1 0]
20110602,3.04,3.08,3.04,3.07,42680300,[1 1]
20110603,3.05,3.17,3.04,3.14,122167000,[0 0]
20110606,3.15,3.15,3.1,3.12,26604400,[1 0]
20110607,3.13,3.14,3.09,3.1,38840100,[0 1]
20110608,3.12,3.12,3.08,3.09,51765000,[1 1]
20110609,3.1,3.1,3.05,3.09,73316000,[1 1]
20110610,3.1,3.1,3.04,3.05,41564800,[0 0]
20110613,3.04,3.08,3.04,3.05,32378400,[0 0]
20110614,3.04,3.08,3.02,3.05,15818600,[1 0]
20110615,3.05,3.05,2.95,2.98,117133400,[1 1]
20110616,2.98,3.0,2.93,2.97,38633400,[0 0]
20110617,2.97,3.0,2.95,2.95,74084600,[0 0]
20110620,2.98,2.98,2.93,2.95,24824000,[0 0]
20110621,2.98,3.0,2.93,2.97,37037400,[0 1]
20110705,3.04,3.04,2.95,2.97,109599400,[0 0]
20110706,2.99,2.99,2.92,2.94,73430000,[0 0]
20110707,2.95,2.97,2.94,2.95,93186100,[0 0]
20110708,2.95,2.95,2.91,2.94,49940900,[1 0]
20110711,2.92,2.94,2.88,2.9,74644900,[0 0]
20110712,2.91,2.93,2.88,2.89,42189000,[0 0]
20110713,2.93,2.95,2.86,2.89,38276200,[0 0]
20110714,2.9,2.9,2.79,2.85,67929900,[1 0]
20110715,2.85,2.88,2.82,2.84,33765300,[0 0]
20110718,2.81,2.82,2.76,2.78,34823200,[1 1]
20110719,2.8,2.82,2.79,2.79,20208400,[0 0]
20110720,2.82,2.95,2.82,2.89,80272600,[0 0]
20110721,2.9,2.92,2.89,2.91,19336900,[0 1]
20110722,2.94,2.95,2.9,2.91,11677700,[0 1]
20110725,2.89,2.89,2.86,2.88,29341300,[1 0]
20110726,2.89,2.89,2.84,2.87,18634800,[0 1]
20110727,2.9,2.9,2.8,2.81,25215000,[1 0]
20110728,2.84,2.84,2.72,2.78,76070600,[0 1]
20110729,2.84,2.88,2.78,2.85,63509100,[0 1]
20110801,2.84,2.88,2.82,2.84,9726400,[1 0]
20110802,2.85,2.86,2.81,2.81,17780100,[1 1]
20110803,2.84,2.84,2.65,2.68,70595300,[1 0]
20110804,2.66,2.66,2.47,2.5,95452600,[1 1]
20110805,2.49,2.58,2.39,2.54,60265500,[0 0]
20110808,2.36,2.38,2.3,2.35,47756800,[1 1]
20110809,2.37,2.49,2.33,2.38,34299400,[0 1]
20110810,2.4,2.44,2.36,2.41,22362900,[1 0]
20110811,2.38,2.5,2.38,2.49,37911600,[1 1]
20110812,2.5,2.5,2.44,2.48,32276600,[1 1]
20110815,2.5,2.6,2.5,2.55,80901000,[0 1]
20110816,2.6,2.6,2.47,2.49,18832200,[1 0]
20110817,2.5,2.51,2.48,2.5,38482400,[0 1]
20110818,2.5,2.5,2.4,2.44,29461000,[1 0]
20110819,2.39,2.42,2.35,2.4,24551400,[0 1]
20110822,2.42,2.44,2.39,2.42,10617200,[1 1]
20110823,2.45,2.49,2.33,2.35,136117500,[1 1]
20110824,2.38,2.4,2.36,2.39,49366800,[1 0]
20110825,2.36,2.41,2.35,2.36,31781200,[0 0]
20110826,2.39,2.42,2.35,2.41,23123500,[0 0]
20110829,2.44,2.48,2.4,2.47,33369700,[0 0]
20110830,2.43,2.54,2.43,2.52,19153300,[1 0]
20110831,2.54,2.59,2.53,2.57,58493800,[1 1]
20110901,2.59,2.68,2.59,2.63,59659200,[0 0]
20110902,2.6,2.6,2.52,2.56,38221800,[1 1]
20110905,2.56,2.56,2.48,2.48,29858000,[0 1]
20110906,2.48,2.53,2.43,2.53,37230100,[0 1]
20110908,2.57,2.57,2.53,2.55,20786100,[0 0]
20110909,2.55,2.55,2.5,2.53,44429200,[0 1]
20110912,2.52,2.6,2.51,2.59,52385200,[0 0]
20110913,2.61,2.74,2.61,2.72,85496900,[1 1]
20110914,2.77,2.81,2.69,2.78,81922900,[1 0]
20110915,2.8,2.8,2.73,2.73,47487000,[1 0]
20110916,2.76,2.85,2.76,2.84,44400300,[0 0]
20110919,2.76,2.78,2.75,2.75,36536000,[0 1]
20110920,2.77,2.77,2.72,2.74,26651000,[0 1]
20110921,2.74,2.74,2.66,2.7,29482900,[1 1]
20110922,2.66,2.66,2.5,2.53,34989300,[0 0]
20110923,2.58,2.58,2.51,2.52,11511900,[0 0]
20110926,2.55,2.6,2.51,2.55,17006200,[0 1]
20110927,2.6,2.61,2.51,2.54,26694900,[0 0]
20110928,2.58,2.58,2.44,2.46,26378200,[1 0]
20110929,2.5,2.5,2.42,2.44,31356700,[1 0]
20110930,2.45,2.45,2.38,2.39,24721800,[1 0]
20111003,2.43,2.45,2.39,2.39,47495100,[0 0]
20111004,2.39,2.39,2.31,2.33,47830000,[0 1]
20111005,2.39,2.39,2.35,2.37,12305300,[0 1]
20111006,2.39,2.41,2.38,2.4,21114900,[1 1]
20111007,2.42,2.42,2.37,2.38,10766500,[1 0]
20111010,2.38,2.46,2.38,2.45,28180000,[0 1]
20111011,2.45,2.49,2.41,2.46,20511600,[1 0]
20111013,2.46,2.48,2.42,2.48,11341800,[1 1]
20111014,2.44,2.49,2.41,2.45,21651400,[0 1]
20111017,2.45,2.45,2.36,2.38,34228400,[1 1]
20111018,2.38,2.4,2.36,2.4,36487400,[0 0]
20111019,2.41,2.41,2.33,2.39,30580700,[1 0]
20111020,2.38,2.4,2.35,2.36,15603800,[0 1]
20111021,2.39,2.41,2.37,2.4,100628200,[0 1]
20111024,2.43,2.47,2.4,2.46,55122000,[1 1]
20111025,2.45,2.46,2.39,2.45,31041200,[0 0]
20111026,2.45,2.46,2.43,2.46,26645200,[1 0]
20111027,2.48,2.55,2.48,2.53,65484300,[1 0]
20111028,2.54,2.54,2.5,2.52,23516100,[1 1]
20111031,2.49,2.51,2.46,2.48,29625500,[0 1]
20111101,2.43,2.45,2.4,2.41,25807100,[0 0]
20111103,2.42,2.45,2.36,2.4,54809700,[1 0]
20111104,2.42,2.42,2.38,2.41,46365100,[1 0]
20111107,2.41,2.42,2.39,2.39,12946400,[0 0]
20111108,2.39,2.41,2.37,2.38,11247300,[1 0]
20111109,2.38,2.39,2.36,2.37,9520300,[0 1]
20111110,2.37,2.38,2.34,2.34,45650200,[0 0]
20111111,2.4,2.4,2.36,2.38,32371500,[0 1]
20111114,2.39,2.39,2.37,2.37,16070200,[0 0]
20111116,2.4,2.41,2.36,2.39,46424400,[0 1]
20111117,2.39,2.39,2.29,2.32,52616400,[0 0]
20111118,2.33,2.34,2.31,2.32,24575700,[0 0]
20111121,2.32,2.32,2.28,2.3,40316400,[1 1]
20111122,2.29,2.3,2.28,2.28,30624600,[0 1]
20111123,2.28,2.3,2.25,2.27,28288400,[1 1]
20111124,2.3,2.3,2.22,2.23,29817000,[1 0]
20111125,2.21,2.26,2.2,2.25,23952000,[1 0]
20111128,2.25,2.31,2.22,2.26,35183000,[0 0]
20111129,2.26,2.26,2.22,2.23,20943700,[1 1]
20111130,2.26,2.3,2.23,2.28,86301300,[1 1]
20111201,2.3,2.3,2.25,2.29,65060400,[1 1]
20111202,2.3,2.34,2.27,2.3,10880300,[0 0]
20111205,2.3,2.3,2.28,2.3,35467300,[0 0]
20111206,2.3,2.3,2.25,2.29,33323900,[1 1]
20111207,2.3,2.33,2.28,2.3,34922000,[0 0]
20111208,2.33,2.33,2.26,2.3,24079500,[0 1]
20111209,2.31,2.31,2.27,2.3,27134100,[0 1]
20111212,2.3,2.32,2.25,2.3,26552100,[1 0]
20111213,2.3,2.32,2.27,2.3,37021900,[1 1]
20111214,2.3,2.31,2.26,2.3,41631700,[0 1]
20111215,2.3,2.3,2.27,2.3,43915100,[1 1]
20111216,2.3,2.3,2.28,2.3,52136000,[0 0]
20111219,2.3,2.3,2.28,2.29,36297400,[0 1]
20111220,2.29,2.3,2.21,2.3,57340900,[0 0]
20111221,2.3,2.3,2.27,2.29,30622000,[0 0]
20111222,2.28,2.29,2.27,2.28,52702700,[1 0]
20111223,2.28,2.3,2.28,2.29,38557000,[1 0]
20111226,2.31,2.44,2.3,2.44,294257000,[1 1]
20111227,2.48,2.69,2.48,2.69,408120600,[0 0]
20111228,2.7,2.79,2.64,2.68,250663900,[0 0]
20111229,2.67,2.76,2.61,2.72,115168100,[0 0]
20120102,2.72,2.74,2.63,2.69,74533700,[1 0]
20120103,2.71,2.72,2.65,2.7,33758400,[1 0]
20120104,2.7,2.7,2.64,2.7,10896200,[0 0]
20120105,2.7,2.7,2.64,2.69,51194300,[1 0]
20120106,2.7,2.75,2.66,2.72,72705800,[0 0]
20120109,2.74,2.75,2.68,2.72,24374400,[1 0]
20120110,2.7,2.74,2.68,2.71,52739400,[1 0]
20120111,2.7,2.71,2.67,2.71,31265200,[0 1]
20120112,2.71,2.71,2.68,2.71,14468300,[0 0]
20120113,2.7,2.7,2.65,2.66,47249900,[0 1]
20120116,2.69,2.69,2.65,2.68,27911200,[1 0]
20120117,2.68,2.72,2.68,2.71,16192900,[1 1]
20120118,2.7,2.72,2.68,2.7,25524500,[0 0]
20120119,2.71,2.71,2.68,2.7,46044300,[0 0]
20120120,2.69,2.72,2.68,2.72,31847900,[0 0]
20120123,2.72,2.72,2.68,2.71,29217800,[0 1]
20120124,2.71,2.71,2.67,2.71,7262800,[1 0]
20120126,2.7,2.71,2.68,2.71,77521500,[0 1]
20120127,2.71,2.71,2.67,2.71,64340500,[1 0]
20120130,2.69,2.7,2.67,2.7,40724700,[1 0]
