date,open,max,min,close,volume,y
20070703,26.01,27.07,26.01,26.49,540468054,[1 1]
20070704,26.44,27.45,26.34,27.45,71294494,[1 1]
20070705,27.0,29.51,27.0,28.61,55610790,[0 1]
20070706,28.7,30.1,28.7,29.99,26541521,[0 1]
20070710,29.98,30.7,29.6,30.39,15512529,[1 0]
20070711,30.1,30.7,29.16,30.36,8821343,[1 1]
20070712,30.3,30.6,29.01,30.55,8487463,[1 0]
20070713,29.32,30.42,29.32,29.53,4930458,[0 0]
20070716,29.7,30.34,29.7,30.34,6185735,[0 1]
20070717,30.2,30.88,30.2,30.79,10689805,[1 0]
20070718,30.25,30.65,30.25,30.6,2846533,[1 0]
20070719,30.7,31.59,30.55,31.25,11357462,[0 1]
20070720,31.5,31.5,29.22,31.5,3533849,[1 0]
20070723,31.63,32.99,29.5,32.72,6000913,[1 0]
20070724,32.25,32.25,32.01,32.2,1674038,[1 1]
20070725,31.5,31.9,31.3,31.49,998585,[1 1]
20070726,29.3,31.0,29.3,30.59,3769989,[1 1]
20070727,29.6,30.7,29.0,29.0,1424041,[0 0]
20070730,29.99,30.99,29.99,30.1,2570429,[0 1]
20070731,30.9,31.65,30.9,31.25,2639042,[0 1]
20070801,29.0,31.0,29.0,29.79,2371879,[1 0]
20070802,30.65,31.5,30.65,31.3,2611623,[0 0]
20070803,31.28,31.28,30.45,31.0,695681,[1 1]
20070806,29.83,30.98,29.5,30.35,1305703,[0 1]
20070807,30.21,31.7,29.9,31.7,3380246,[0 0]
20070808,31.7,33.1,31.7,33.1,7902998,[0 1]
20070809,32.97,33.0,32.5,32.6,2208792,[0 0]
20070810,32.1,33.0,31.5,33.0,1519471,[1 0]
20070823,27.5,27.5,26.01,26.01,387336,[1 1]
20070824,27.58,28.0,27.58,28.0,1097926,[0 0]
20070827,28.99,28.99,28.61,28.61,467244,[0 1]
20070828,28.0,28.79,28.0,28.79,568068,[0 0]
20070829,28.88,28.88,28.88,28.88,577600,[1 0]
20070830,28.6,28.99,28.6,28.99,143780,[1 0]
20070831,28.97,29.49,28.97,29.49,227021,[0 1]
20070903,29.0,29.0,28.01,28.1,124441,[1 1]
20070904,27.0,27.9,27.0,27.9,281663,[0 0]
20070905,28.7,28.7,27.75,27.75,200520,[0 0]
20070906,28.6,28.6,28.6,28.6,22880,[1 1]
20070910,27.0,27.0,26.75,26.75,381413,[0 1]
20070911,27.69,27.69,27.0,27.0,157152,[0 1]
20070912,27.0,27.3,26.77,27.3,137094,[0 0]
20070913,27.3,27.3,26.51,26.9,1130115,[1 0]
20070914,27.5,27.5,26.0,26.8,739953,[1 0]
20070917,26.5,26.5,26.5,26.5,53000,[1 0]
20070918,27.0,27.0,27.0,27.0,186300,[0 0]
20070919,27.1,27.8,27.1,27.8,1120700,[0 0]
20070920,27.5,27.5,27.49,27.49,729987,[0 0]
20070921,27.59,28.5,27.02,28.5,823926,[1 0]
20070924,27.7,28.0,27.55,27.79,612051,[0 1]
20070925,26.95,27.4,26.0,27.4,571724,[0 0]
20070926,27.69,28.0,26.3,26.3,885493,[0 1]
20070927,27.5,27.99,27.2,27.2,765681,[0 0]
20070928,27.0,27.08,27.0,27.08,305215,[1 0]
20071001,27.0,27.69,25.51,27.0,1300051,[1 0]
20071002,27.5,27.61,26.81,27.61,1622381,[1 0]
20071003,27.5,28.29,26.8,26.8,1365396,[0 0]
20071004,27.5,27.6,27.36,27.36,725776,[0 0]
20071005,27.75,29.6,27.75,29.6,4566162,[1 0]
20071008,29.05,29.2,27.4,29.2,428665,[1 0]
20071009,28.5,28.98,28.5,28.98,1425932,[1 1]
20071010,29.25,29.25,28.88,28.88,588922,[0 0]
20071011,29.0,29.1,28.52,29.1,571961,[1 0]
20071015,29.0,29.0,28.55,28.55,158370,[0 1]
20071016,29.1,29.1,27.9,28.0,365730,[0 1]
20071017,28.5,28.99,28.5,28.99,453583,[1 1]
20071018,28.8,29.4,26.56,26.56,903275,[0 1]
20071019,27.0,28.5,27.0,28.5,316800,[0 0]
20071023,28.0,28.45,28.0,28.45,280360,[1 0]
20071024,26.61,28.3,26.61,28.3,796395,[1 1]
20071025,29.0,29.49,28.6,29.49,663536,[0 1]
20071026,28.71,29.99,26.65,29.5,1907579,[0 1]
20071029,30.0,30.5,29.7,30.5,1391500,[0 0]
20071030,30.5,30.5,29.6,29.94,929529,[0 1]
20071031,30.35,30.35,29.1,29.49,1053914,[0 0]
20071101,29.3,29.3,29.0,29.0,143000,[1 0]
20071105,29.05,29.05,28.99,28.99,406424,[0 1]
20071106,30.0,31.29,29.8,30.75,1178796,[0 1]
20071107,30.95,30.95,30.95,30.95,18570,[0 0]
20071108,30.5,31.3,30.0,30.0,1066094,[1 0]
20071109,31.0,31.0,30.5,30.5,218280,[1 1]
20071126,28.5,28.75,28.5,28.75,51325,[0 0]
20071127,28.04,28.88,28.04,28.88,941516,[1 0]
20071128,27.5,27.5,27.5,27.5,44000,[1 0]
20071129,26.45,26.45,26.44,26.44,71396,[1 0]
20071130,27.23,27.49,27.23,27.49,95721,[0 0]
20071203,26.0,26.49,26.0,26.49,350850,[1 0]
20071204,26.5,26.5,26.5,26.5,117160,[0 0]
20071205,26.6,27.0,25.93,26.19,972009,[1 1]
20071206,26.7,27.5,26.7,27.5,290150,[1 1]
20071207,27.2,28.0,26.79,26.79,598998,[1 1]
20071210,26.0,26.6,26.0,26.47,401894,[0 0]
20071211,26.5,26.5,26.2,26.2,586380,[0 0]
20071212,26.3,26.3,25.9,25.9,292080,[1 1]
20071213,25.5,25.6,25.4,25.6,952390,[0 0]
20071214,25.5,25.6,25.5,25.6,280680,[1 1]
20071217,25.21,25.21,23.6,23.6,561490,[1 0]
20071218,25.0,25.0,23.9,23.9,395680,[0 0]
20071219,23.6,23.9,23.6,23.9,248360,[0 1]
20071220,25.0,25.0,22.02,23.4,384134,[0 0]
20071226,22.23,24.9,22.23,24.9,60915,[0 1]
20071227,23.95,23.95,23.7,23.7,66985,[0 1]
20071228,24.17,26.49,23.3,23.5,445227,[0 0]
20080102,22.65,22.65,22.51,22.51,261830,[1 0]
20080103,22.35,24.0,22.35,22.9,746719,[1 1]
20080104,24.0,24.0,22.7,22.7,600752,[0 1]
20080107,23.0,24.0,22.6,22.6,854476,[0 0]
20080108,23.77,23.77,22.21,22.72,725122,[1 0]
20080109,22.5,22.5,22.16,22.16,302336,[1 0]
20080110,22.67,22.67,22.67,22.67,226700,[1 1]
20080111,23.2,23.2,22.2,22.2,363680,[0 0]
20080114,23.1,23.15,22.98,22.98,784804,[1 0]
20080115,22.3,22.3,22.03,22.03,371940,[0 0]
20080116,20.02,21.15,20.0,20.0,399850,[0 0]
20080117,20.0,20.0,20.0,20.0,180000,[1 0]
20080118,19.65,19.65,19.6,19.6,117850,[1 0]
20080121,19.0,19.0,16.0,16.5,526450,[1 0]
20080122,18.14,18.14,15.7,17.11,330313,[1 0]
20080123,16.0,16.0,15.22,15.22,245421,[0 1]
20080124,16.5,16.5,15.0,15.8,166470,[0 0]
20080128,15.8,15.8,15.8,15.8,83740,[1 0]
20080129,16.0,16.49,15.35,16.49,512990,[1 0]
20080130,17.8,17.8,17.0,17.45,442666,[0 1]
20080131,17.8,17.8,17.1,17.4,94550,[1 0]
20080206,17.39,17.4,16.9,16.9,635533,[1 0]
20080207,16.3,17.5,16.3,17.5,446771,[0 1]
20080208,17.84,17.84,17.2,17.5,320950,[0 1]
20080211,17.6,17.6,17.4,17.4,95770,[1 0]
20080212,17.0,18.0,17.0,18.0,403022,[1 0]
20080213,18.4,18.4,18.0,18.0,237200,[0 0]
20080214,18.4,18.99,18.1,18.1,479905,[0 0]
20080215,18.65,18.7,18.2,18.7,313376,[0 0]
20080218,20.0,20.0,19.0,19.95,655682,[1 1]
20080219,18.09,20.99,18.09,19.1,439097,[0 0]
20080220,19.5,19.5,19.5,19.5,146250,[0 1]
