date,open,max,min,close,volume,y
20110803,9.31,9.6,8.95,9.0,15313495400,[0 0]
20110804,9.03,9.03,8.56,8.6,6805647500,[0 1]
20110805,8.7,8.79,8.25,8.31,4649620100,[0 1]
20110808,8.28,8.28,7.5,7.6,5006954000,[1 1]
20110809,7.51,8.43,7.51,8.26,6079401600,[1 0]
20110810,8.17,8.42,8.08,8.2,3293659200,[0 1]
20110811,8.31,8.43,8.15,8.38,2304415200,[1 1]
20110812,8.34,8.58,8.07,8.43,5141362100,[1 1]
20110815,8.68,8.87,8.4,8.84,1587541800,[1 1]
20110816,8.74,9.1,8.7,9.0,1828641600,[0 1]
20110817,8.95,8.99,8.77,8.85,4539653100,[0 0]
20110818,8.7,8.88,8.52,8.56,3885746800,[0 1]
20110819,8.49,8.81,8.33,8.65,5529113200,[1 0]
20110822,8.76,8.97,8.71,8.9,3994053800,[0 0]
20110823,9.0,9.2,8.73,9.2,3891828200,[1 0]
20110824,9.25,9.46,9.08,9.21,3571515500,[1 0]
20110825,9.21,9.35,9.08,9.24,2540492900,[1 0]
20110826,9.34,9.53,9.01,9.41,2388513700,[0 0]
20110829,9.54,10.0,9.44,9.8,4390615300,[0 0]
20110830,9.7,10.07,9.62,9.66,4892196600,[1 1]
20110831,9.74,9.82,9.52,9.72,4812096100,[1 1]
20110901,9.75,9.89,9.6,9.7,4613087100,[0 0]
20110902,9.69,9.69,9.3,9.45,4760538900,[0 0]
20110905,9.19,9.19,8.82,8.9,3867463800,[0 0]
20110906,8.75,9.24,8.58,9.05,10293157500,[1 0]
20110908,9.36,9.61,9.27,9.38,4877660300,[1 0]
20110909,9.2,9.36,9.04,9.13,2781460100,[1 0]
20110912,9.0,9.12,8.89,9.07,3041044200,[1 1]
20110913,9.09,9.09,8.7,8.91,3296444600,[0 1]
20110914,8.9,9.12,8.78,9.04,10276959100,[1 0]
20110915,9.11,9.56,8.95,8.95,6135111800,[0 0]
20110916,8.85,9.37,8.85,9.3,2716379700,[1 0]
20110919,9.06,9.59,9.04,9.21,4963487600,[1 0]
20110920,9.32,9.74,9.24,9.32,7530063300,[0 0]
20110921,9.38,9.59,9.0,9.0,4366318100,[0 0]
20110922,8.74,9.0,8.43,8.63,4013999400,[1 1]
20110923,8.44,8.71,8.28,8.58,5848524700,[0 0]
20110926,8.7,8.75,8.33,8.51,2430562300,[0 0]
20110927,8.61,8.65,8.34,8.35,5552368300,[0 1]
20110928,8.39,8.6,8.36,8.5,3517184500,[0 1]
20110929,8.55,8.7,8.38,8.54,2400957700,[1 1]
20110930,8.53,8.8,8.2,8.7,5931653000,[1 1]
20111003,8.55,9.24,8.55,9.0,9230034500,[1 0]
20111004,8.9,8.99,8.68,8.68,8287487500,[0 1]
20111005,8.6,8.65,8.52,8.6,7406898900,[1 1]
20111006,8.65,8.81,8.51,8.55,7610886800,[1 1]
20111007,8.6,8.65,8.37,8.49,6387487400,[0 0]
20111010,8.46,8.59,8.39,8.4,3196482300,[1 1]
20111011,8.4,8.44,8.15,8.2,4418771600,[1 0]
20111013,8.28,8.59,8.21,8.58,7398455800,[1 1]
20111014,8.6,8.6,8.41,8.55,3241505700,[0 0]
20111017,8.45,8.66,8.4,8.66,2932180900,[1 1]
20111018,8.65,8.7,8.48,8.61,3980160400,[1 0]
20111019,8.69,8.69,8.54,8.65,3722096900,[0 1]
20111020,8.65,8.7,8.55,8.62,2974464900,[1 0]
20111021,8.68,8.9,8.64,8.85,6400244500,[0 0]
20111024,8.95,8.95,8.79,8.87,4343989400,[0 1]
20111025,8.8,8.9,8.69,8.86,3780129100,[1 1]
20111026,8.87,8.92,8.71,8.92,3744137000,[0 0]
20111027,9.04,9.14,8.93,9.09,4074108000,[1 0]
20111028,9.02,9.16,8.92,9.0,6284036800,[1 1]
20111031,9.0,9.0,8.76,8.88,3586717600,[0 0]
20111101,8.5,8.87,8.4,8.83,4340153500,[1 0]
20111103,8.82,9.1,8.8,9.1,5234765600,[0 1]
20111104,9.09,9.11,8.87,8.87,5406792100,[0 0]
20111107,8.93,9.09,8.85,8.98,1843524100,[1 1]
20111108,8.95,9.04,8.8,8.92,5111182000,[1 1]
20111109,8.91,8.97,8.55,8.56,4613011700,[1 0]
20111110,8.62,8.77,8.5,8.54,2969550400,[0 1]
20111111,8.64,8.65,8.44,8.49,3393429100,[1 0]
20111114,8.46,8.48,8.27,8.39,3345746300,[1 1]
20111116,8.25,8.52,8.15,8.49,3066596200,[0 1]
20111117,8.39,8.79,8.28,8.5,4354291000,[0 1]
20111118,8.51,8.58,8.31,8.31,2433464500,[0 1]
20111121,8.2,8.37,8.07,8.29,3587900500,[1 0]
20111122,8.25,8.34,8.16,8.26,3118915900,[1 1]
20111123,8.15,8.34,8.15,8.25,2058403000,[1 1]
20111124,8.25,8.3,8.12,8.21,977478300,[1 0]
20111125,8.15,8.4,8.15,8.3,1655287600,[1 0]
20111128,8.38,8.42,8.29,8.3,1646698200,[1 1]
20111129,8.3,8.41,8.3,8.34,2487940500,[1 0]
20111130,8.45,8.7,8.33,8.45,5013237200,[0 1]
20111201,8.54,8.61,8.44,8.51,3151823700,[1 1]
20111202,8.6,8.65,8.5,8.61,2322288900,[0 1]
20111205,8.62,8.99,8.6,8.84,3905650100,[0 0]
20111206,8.92,9.08,8.9,9.0,3612416400,[0 0]
20111207,8.97,9.14,8.81,8.87,3533364800,[0 0]
20111208,8.85,8.91,8.59,8.64,3466863200,[1 1]
20111209,8.65,8.91,8.65,8.79,2206925700,[0 0]
20111212,8.79,8.94,8.71,8.94,1981492000,[0 1]
20111213,9.04,9.08,8.88,8.95,2824866700,[0 0]
20111214,8.97,9.12,8.83,9.05,12602918700,[1 1]
20111215,9.12,9.15,8.96,9.12,4309303900,[0 1]
20111216,9.12,9.19,9.02,9.11,2348766400,[0 0]
20111219,9.13,9.15,9.0,9.0,2616141100,[0 1]
20111220,9.03,9.17,8.96,9.15,2539296000,[0 1]
20111221,9.15,9.36,9.14,9.34,3549605400,[0 1]
20111222,9.35,9.44,9.27,9.43,2770548200,[0 1]
20111223,9.46,9.5,9.35,9.38,2908280400,[1 0]
20111226,9.35,9.42,9.31,9.41,338126500,[1 0]
20111227,9.39,9.61,9.34,9.6,2455548700,[1 0]
20111228,9.6,9.6,9.36,9.45,1703272700,[0 1]
20111229,9.5,9.57,9.24,9.24,4076613500,[1 0]
20120102,9.16,9.7,9.16,9.5,2342679000,[1 0]
20120103,9.5,9.76,9.47,9.62,2661348000,[0 1]
20120104,9.55,9.77,9.51,9.77,2801023600,[0 1]
20120105,9.68,9.88,9.53,9.74,4999968900,[0 0]
20120106,9.76,9.76,9.55,9.55,1203700100,[1 1]
20120109,9.67,9.81,9.59,9.74,4344133800,[1 1]
20120110,9.9,10.07,9.73,9.9,6113119700,[0 1]
20120111,9.85,9.98,9.78,9.82,4001386500,[1 0]
20120112,9.89,9.94,9.57,9.63,2820656800,[0 0]
20120113,9.62,9.63,9.38,9.47,3116120300,[0 1]
20120116,9.57,9.57,9.36,9.4,1294149200,[0 1]
20120117,9.57,9.57,9.33,9.52,18490665500,[0 0]
20120118,9.55,9.75,9.5,9.75,3631931700,[0 0]
20120119,9.75,9.88,9.68,9.83,2676340100,[0 1]
20120120,9.79,9.83,9.63,9.75,1858843600,[1 1]
20120123,9.7,9.75,9.6,9.73,2381248300,[1 0]
20120124,9.68,9.78,9.62,9.78,2423166400,[0 1]
20120126,9.74,9.79,9.47,9.5,4063546900,[1 0]
20120127,9.58,9.64,9.47,9.64,3299380900,[1 0]
20120130,9.56,9.9,9.5,9.74,2740804000,[1 1]
20120131,9.76,9.86,9.63,9.7,3510310800,[0 0]
20120201,9.8,9.9,9.48,9.48,6902109800,[1 0]
20120202,9.52,9.71,9.48,9.61,4081659000,[1 1]
20120203,9.56,9.73,9.48,9.53,3994817800,[0 0]
