date,open,max,min,close,volume,y
20110803,9.3,9.32,8.51,9.18,4399126,[0 0]
20110804,9.0,9.03,8.55,8.61,3847492,[0 1]
20110805,8.2,8.69,7.6,8.3,4070850,[0 1]
20110808,7.9,8.28,7.5,7.54,6394677,[1 1]
20110809,7.52,8.45,7.01,8.27,3891180,[1 0]
20110810,8.24,8.45,8.04,8.1,1919397,[1 0]
20110811,8.16,8.45,8.14,8.45,1547540,[1 1]
20110812,8.5,8.66,8.05,8.5,2077950,[1 0]
20110815,8.6,8.89,8.58,8.59,1498513,[1 1]
20110816,8.75,9.01,8.7,8.8,2023165,[0 0]
20110817,8.9,9.1,8.65,8.71,1402020,[0 0]
20110818,8.75,8.87,8.5,8.77,1343231,[0 1]
20110819,8.53,8.79,8.26,8.65,940093,[1 0]
20110822,8.6,8.98,8.51,8.98,1104417,[0 0]
20110823,9.02,9.2,8.63,9.2,2716919,[1 0]
20110824,9.2,9.4,8.95,9.4,2263607,[1 1]
20110825,9.35,9.35,8.81,9.02,1356564,[0 0]
20110826,9.26,9.52,9.02,9.34,2978556,[0 0]
20110829,9.46,9.99,9.22,9.76,2251010,[0 1]
20110830,9.68,10.08,9.6,9.75,2853432,[0 1]
20110831,9.91,9.91,9.43,9.67,2154196,[1 1]
20110901,9.68,9.84,9.61,9.67,1877900,[0 0]
20110902,9.76,9.76,9.3,9.33,2792862,[0 0]
20110905,9.3,9.39,8.85,8.93,1682687,[1 0]
20110906,8.92,9.29,8.56,9.15,2809611,[1 1]
20110908,9.2,9.59,9.2,9.31,2260169,[0 1]
20110909,9.27,9.32,9.06,9.2,1348756,[1 0]
20110912,9.1,9.1,8.85,8.98,1258660,[1 1]
20110913,9.1,9.14,8.72,8.85,1711352,[0 1]
20110914,8.99,9.12,8.81,8.99,1310368,[1 0]
20110915,9.14,9.55,8.9,8.9,2357639,[0 1]
20110916,9.39,9.39,8.86,9.34,1021081,[1 0]
20110919,9.25,9.56,9.05,9.37,1230911,[0 1]
20110920,9.4,9.73,9.26,9.32,2317928,[0 0]
20110921,9.28,9.52,8.81,8.81,1745475,[1 0]
20110922,8.9,8.95,8.41,8.6,1437476,[1 1]
20110923,8.6,8.7,8.3,8.52,1473825,[0 1]
20110926,8.88,8.88,8.33,8.45,1206523,[1 0]
20110927,8.61,8.64,8.32,8.64,910401,[0 1]
20110928,8.48,8.6,8.36,8.43,783416,[1 1]
20110929,8.41,8.66,8.4,8.5,983604,[1 1]
20110930,8.54,8.76,8.2,8.6,1353663,[0 1]
20111003,8.37,9.24,8.37,8.95,1694702,[0 0]
20111004,8.98,9.0,8.72,8.87,1457741,[1 0]
20111005,8.7,8.7,8.5,8.67,4297303,[1 1]
20111006,8.61,8.81,8.2,8.5,9639957,[0 1]
20111007,8.56,8.63,8.35,8.38,9773512,[1 0]
20111010,8.43,8.57,8.4,8.48,1577110,[1 1]
20111011,8.4,8.4,8.04,8.12,2216333,[1 0]
20111013,8.29,8.57,8.2,8.57,2467613,[0 1]
20111014,8.58,8.6,8.31,8.58,1385855,[0 1]
20111017,8.32,8.64,8.32,8.52,1190936,[0 0]
20111018,8.6,8.79,8.5,8.63,1186269,[1 0]
20111019,8.6,8.7,8.46,8.7,930760,[0 1]
20111020,8.7,8.7,8.39,8.49,1076420,[1 0]
20111021,8.6,8.86,8.56,8.86,1464852,[0 0]
20111024,8.79,8.94,8.79,8.9,1437360,[0 1]
20111025,8.85,8.87,8.51,8.71,947420,[1 1]
20111026,8.85,8.91,8.69,8.85,1199000,[0 0]
20111027,8.9,9.14,8.56,9.12,2063908,[1 0]
20111028,9.0,9.15,8.9,8.9,1290213,[0 1]
20111031,8.97,9.0,8.76,8.85,826133,[0 0]
20111101,8.71,8.98,8.47,8.98,1430165,[1 1]
20111103,8.83,9.09,8.73,9.01,1153952,[0 1]
20111104,9.11,9.16,8.91,8.92,1003340,[0 0]
20111107,9.1,9.1,8.71,8.81,1012740,[1 1]
20111108,8.97,9.09,8.71,8.88,1445498,[0 1]
20111109,8.8,8.94,8.52,8.52,1148237,[1 1]
20111110,8.56,8.9,8.48,8.48,656586,[0 1]
20111111,8.6,8.63,8.42,8.63,1296812,[1 0]
20111114,8.45,8.47,8.25,8.38,1177741,[0 1]
20111116,8.38,8.51,8.1,8.44,1836706,[1 1]
20111117,8.49,8.78,8.21,8.46,1401153,[0 0]
20111118,8.62,8.69,8.25,8.25,810139,[1 1]
20111121,8.2,8.31,8.08,8.3,1098048,[1 0]
20111122,8.38,8.38,8.08,8.36,798216,[1 0]
20111123,8.21,8.36,8.18,8.18,678295,[1 1]
20111124,8.15,8.24,8.13,8.16,498831,[1 0]
20111125,8.22,8.39,8.11,8.17,681488,[1 0]
20111128,8.31,8.41,8.21,8.29,1073366,[0 1]
20111129,8.29,8.4,8.29,8.3,936874,[0 0]
20111130,8.45,8.7,8.3,8.35,1596583,[0 1]
20111201,8.45,8.66,8.41,8.66,1549706,[1 0]
20111202,8.66,8.66,8.48,8.58,708744,[0 1]
20111205,8.54,9.0,8.54,8.97,4391022,[0 0]
20111206,8.84,9.1,8.84,8.96,2579324,[0 0]
20111207,8.89,9.11,8.81,8.81,2294829,[1 1]
20111208,8.82,8.94,8.59,8.92,807152,[1 1]
20111209,8.85,8.9,8.63,8.81,1263082,[1 0]
20111212,8.75,8.9,8.71,8.9,1624590,[0 1]
20111213,8.9,9.05,8.87,9.0,1555612,[0 0]
20111214,9.12,9.12,8.74,8.91,1203916,[1 0]
20111215,9.0,9.15,8.94,9.07,1443515,[0 0]
20111216,9.0,9.19,9.0,9.15,1797417,[1 0]
20111219,9.15,9.15,8.84,8.84,589395,[0 1]
20111220,9.0,9.17,9.0,9.11,867133,[0 1]
20111221,9.2,9.34,9.08,9.34,2772460,[0 0]
20111222,9.33,9.43,9.25,9.41,1383875,[0 1]
20111223,9.43,9.48,9.09,9.38,1140560,[1 0]
20111226,9.35,9.4,9.32,9.32,1291358,[1 1]
20111227,9.34,9.62,9.34,9.6,2050529,[1 0]
20111228,9.62,9.62,9.38,9.43,720410,[0 1]
20111229,9.48,9.55,9.01,9.55,1482580,[1 0]
20120102,9.23,9.68,9.22,9.48,2148033,[1 0]
20120103,9.6,9.75,9.24,9.44,2574428,[1 0]
20120104,9.5,9.75,9.41,9.75,1445119,[0 0]
20120105,9.75,9.89,9.57,9.62,1267061,[1 0]
20120106,9.63,9.69,9.56,9.59,393645,[1 0]
20120109,9.68,9.79,9.55,9.75,1286586,[1 1]
20120110,9.8,10.06,9.62,9.96,2361878,[0 1]
20120111,9.9,10.0,9.74,9.89,1765006,[1 0]
20120112,9.95,9.95,9.56,9.58,1688832,[0 0]
20120113,9.62,9.62,9.37,9.39,916910,[0 1]
20120116,9.31,9.71,9.31,9.37,1020553,[0 1]
20120117,9.5,9.53,9.35,9.52,842990,[0 0]
20120118,9.54,9.75,9.5,9.69,1566551,[0 0]
20120119,9.75,9.87,9.66,9.86,1226215,[0 1]
20120120,9.8,9.8,9.61,9.68,732978,[0 1]
20120123,9.65,9.73,9.61,9.65,982706,[1 0]
20120124,9.67,9.74,9.63,9.74,821303,[0 1]
20120126,9.8,9.97,9.48,9.55,1392996,[1 0]
20120127,9.5,9.74,9.46,9.53,1093628,[1 0]
20120130,9.51,9.87,9.47,9.84,1404574,[1 1]
20120131,9.84,9.84,9.6,9.62,1070106,[0 0]
20120201,9.7,9.88,9.51,9.51,2474040,[0 1]
20120202,9.52,9.7,9.49,9.56,2162921,[1 0]
20120203,9.58,9.71,9.52,9.61,1021728,[0 0]
20120206,9.49,9.57,9.3,9.57,1395887,[0 0]
20120207,9.52,9.66,9.4,9.66,971491,[1 0]
20120208,9.51,9.63,9.4,9.47,1841291,[0 1]
20120209,9.47,9.47,9.32,9.32,862557,[0 1]
20120210,9.26,9.43,9.22,9.43,1067510,[1 0]
20120213,9.39,9.53,9.36,9.53,1391036,[1 1]
20120214,9.5,9.6,9.41,9.48,1085516,[0 1]
20120215,9.6,9.7,9.47,9.62,1144710,[1 0]
20120216,9.6,9.95,9.58,9.9,2533451,[1 0]
20120217,9.8,10.1,9.8,9.94,1758512,[0 0]
20120222,10.1,10.1,9.71,10.04,951267,[0 1]
20120223,10.04,10.34,10.0,10.3,2039240,[1 0]
20120224,10.17,10.69,10.1,10.41,2256036,[0 0]
20120227,10.32,10.49,10.07,10.12,1009525,[0 1]
20120228,10.13,10.13,9.96,10.05,1750384,[0 0]
20120229,10.19,10.32,10.11,10.22,1937759,[1 0]
20120301,10.34,10.39,10.22,10.3,1546692,[0 1]
20120302,10.39,10.5,10.3,10.5,1100517,[1 0]
20120305,10.5,10.5,10.1,10.37,1183954,[1 1]
20120306,10.29,10.29,9.91,10.06,1561043,[0 1]
20120307,10.29,10.29,10.02,10.27,1002799,[1 1]
20120308,10.28,10.63,10.27,10.63,2039699,[0 0]
20120309,10.4,10.87,10.36,10.85,1539283,[0 1]
20120312,10.86,10.86,10.35,10.35,1141997,[1 1]
20120313,10.43,10.68,10.37,10.48,1350387,[0 1]
20120314,10.53,10.88,10.42,10.42,1403007,[0 1]
20120315,10.66,10.87,10.41,10.79,1062456,[1 0]
20120316,10.88,12.0,10.69,11.03,2166961,[1 1]
20120319,11.11,11.35,11.11,11.15,1327953,[1 1]
20120320,11.0,11.15,10.95,11.07,1385458,[0 1]
20120321,11.15,11.5,11.13,11.5,1738671,[0 1]
20120322,11.17,11.49,11.17,11.28,1328559,[1 0]
20120323,11.28,11.29,11.12,11.25,914579,[1 0]
20120326,11.7,11.7,11.2,11.62,1265398,[1 0]
20120327,11.87,11.87,11.48,11.6,1277934,[0 0]
20120328,11.48,11.62,11.48,11.55,666343,[0 0]
20120329,11.51,11.6,11.45,11.51,605297,[1 0]
20120330,11.62,11.8,11.42,11.57,1708715,[0 1]
20120402,11.6,11.99,11.51,11.95,2908902,[1 1]
20120403,12.0,12.0,11.76,11.89,1820755,[1 1]
20120404,11.98,11.98,11.56,11.63,1591264,[1 1]
20120405,11.6,12.2,11.6,12.2,870358,[1 0]
20120409,11.93,11.94,11.62,11.93,1221901,[0 1]
20120410,11.64,11.71,11.54,11.67,1191792,[1 0]
20120411,11.91,11.91,11.51,11.52,1083555,[1 0]
20120424,11.1,11.12,10.9,10.94,725349,[1 0]
20120425,11.07,11.28,10.85,11.01,1520568,[1 0]
20120426,11.2,11.2,10.87,11.08,693954,[0 1]
20120427,10.94,11.38,10.94,11.37,4680466,[1 1]
20120430,11.25,11.4,11.18,11.4,1190098,[1 0]
20120502,11.47,11.47,11.11,11.43,1991719,[1 1]
20120503,11.37,11.57,10.4,10.72,6371235,[0 0]
20120504,10.76,11.02,10.46,10.46,3339863,[1 1]
20120507,10.57,10.99,9.93,10.99,2502450,[1 1]
20120508,10.81,10.81,10.37,10.48,2060244,[0 1]
20120509,10.4,10.52,10.36,10.41,1389056,[0 0]
20120510,10.45,10.78,10.45,10.78,1525784,[0 1]
20120511,10.64,10.94,10.57,10.64,1869004,[0 0]
20120514,10.79,10.93,10.62,10.62,1105582,[0 1]
20120515,10.51,10.93,10.51,10.62,1429904,[0 0]
20120516,10.98,10.98,10.52,10.8,1199362,[1 1]
20120517,10.5,10.64,10.12,10.13,1755753,[1 0]
20120518,10.42,10.42,10.01,10.04,1718994,[0 1]
20120521,10.15,10.31,9.93,10.15,969548,[0 0]
20120522,10.01,10.25,10.01,10.09,1031166,[1 0]
20120523,10.05,10.17,9.6,9.95,1017078,[1 0]
20120524,9.83,10.39,9.0,9.6,1382238,[0 0]
20120525,9.75,9.75,9.41,9.55,1077034,[0 1]
20120528,9.76,10.15,9.6,10.14,772740,[1 0]
20120529,10.16,10.16,9.46,9.61,1754207,[1 0]
20120530,9.45,9.83,9.45,9.83,886379,[1 1]
20120531,9.86,10.15,9.81,10.15,1350886,[1 1]
20120601,9.79,10.17,9.5,10.17,1118734,[0 1]
20120604,9.74,10.07,9.74,9.85,1261354,[1 0]
20120605,10.03,10.27,9.76,9.95,1452176,[1 0]
20120606,10.0,10.34,9.99,10.34,1395523,[1 1]
20120608,9.92,10.49,9.89,10.06,1720020,[0 0]
20120611,10.2,10.36,9.91,10.33,1136265,[0 0]
20120612,10.3,10.76,10.11,10.66,1709108,[1 0]
20120613,10.6,10.78,10.51,10.52,935222,[0 0]
20120614,10.51,10.81,10.51,10.81,1184977,[0 1]
20120615,10.82,10.91,10.52,10.69,1201854,[1 1]
20120618,11.0,11.0,10.51,10.78,1041437,[0 0]
20120619,10.8,10.91,10.56,10.68,2358870,[1 1]
20120620,10.96,10.96,10.61,10.61,1366168,[1 0]
20120621,10.93,11.01,10.45,10.49,752848,[1 0]
20120622,10.8,10.98,10.5,10.55,792066,[0 1]
