date,open,max,min,close,volume,y
20050707,36.0,36.0,35.11,35.14,125321100,[1 1]
20050708,35.21,35.98,35.14,35.3,91415700,[0 0]
20050711,35.05,36.1,35.05,36.1,20378700,[0 1]
20050712,36.49,36.49,35.1,35.9,9191800,[1 0]
20050713,36.29,36.31,35.42,35.42,83652800,[0 1]
20050714,35.5,35.55,34.85,34.86,49744600,[0 0]
20050715,34.86,35.57,34.7,35.57,4766977600,[1 1]
20050718,35.57,37.5,35.0,36.0,157432000,[1 1]
20050719,36.0,36.0,34.93,34.93,191194100,[0 1]
20050720,35.49,35.49,34.75,34.9,75833700,[0 0]
20050721,35.0,35.49,35.0,35.0,80884300,[1 0]
20050722,34.9,34.9,34.3,34.5,129159300,[1 0]
20050725,34.02,34.2,33.16,33.16,237238800,[1 1]
20050726,33.05,33.79,33.05,33.4,113777700,[1 0]
20050727,34.5,34.8,33.91,33.91,91150500,[0 0]
20050728,34.5,35.2,34.0,35.19,82770200,[0 1]
20050729,36.0,36.0,34.9,35.48,32777500,[1 0]
20050801,35.48,35.65,34.5,35.2,13942700,[1 0]
20050802,35.0,35.39,34.22,35.39,131693400,[1 1]
20050803,35.3,35.3,34.26,34.85,52923000,[1 1]
20050804,34.8,34.8,34.03,34.03,69683700,[1 0]
20050805,34.6,34.81,34.3,34.75,132717900,[1 0]
20050808,34.5,34.5,34.0,34.34,31778600,[0 0]
20050809,34.03,34.7,34.03,34.67,20384100,[0 1]
20050810,34.1,34.5,33.5,33.87,54791200,[0 0]
20050811,33.8,34.3,33.8,34.05,102757700,[0 0]
20050812,33.4,34.42,33.1,34.42,146131300,[1 0]
20050815,34.5,34.67,34.12,34.5,315846800,[1 0]
20050816,34.1,34.45,34.0,34.2,36531200,[0 1]
20050817,34.2,34.3,33.51,34.0,80492700,[0 0]
20050818,34.1,34.1,33.89,33.98,88696300,[1 0]
20050819,33.8,33.8,33.2,33.26,87131100,[0 1]
20050822,33.7,33.8,33.26,33.58,254268000,[1 1]
20050823,33.25,34.49,33.23,34.49,47015900,[1 1]
20050824,34.0,34.0,33.41,33.9,76599400,[1 0]
20050825,33.8,34.5,33.8,34.0,82761300,[0 1]
20050826,33.9,34.0,33.9,34.0,26499100,[1 1]
20050829,33.9,34.1,33.9,34.1,15959900,[1 0]
20050830,34.5,34.95,34.39,34.75,116382300,[1 1]
20050831,34.95,35.9,34.95,35.0,153903200,[1 1]
20050901,35.0,35.49,34.8,35.18,26636900,[1 1]
20050902,35.2,36.98,35.2,36.3,201757400,[1 0]
20050905,36.7,36.7,35.21,36.24,54353400,[0 1]
20050906,36.3,37.58,35.61,37.48,129119800,[1 0]
20050908,37.5,37.5,36.99,37.45,129180600,[1 0]
20050909,37.0,37.98,37.0,37.39,46994700,[1 0]
20050912,37.29,37.7,37.05,37.05,22315200,[0 1]
20050913,37.2,37.2,36.6,36.8,37922100,[0 1]
20050914,37.39,37.6,37.0,37.1,122458100,[0 0]
20050915,37.1,37.4,37.0,37.0,135283400,[1 0]
20050916,37.0,37.0,36.2,36.26,134845500,[1 1]
20050919,36.1,36.1,35.75,35.85,76793200,[0 0]
20050930,33.7,33.7,32.52,32.65,73304600,[0 0]
20051003,32.75,33.44,32.75,33.44,12850900,[1 0]
20051004,33.43,33.43,32.7,32.7,51468100,[1 1]
20051005,32.4,33.0,32.1,32.75,107920400,[0 1]
20051006,32.5,32.6,32.0,32.0,106347800,[1 0]
20051007,32.05,32.1,31.81,31.9,181610800,[1 1]
20051010,31.9,32.98,31.9,32.8,9050400,[0 1]
20051011,32.98,32.99,32.4,32.4,113546400,[1 1]
20051013,32.16,32.8,31.6,32.2,52163100,[1 1]
20051014,31.95,32.4,31.6,32.4,92801100,[1 0]
20051017,32.04,33.55,32.03,32.15,24170500,[1 1]
20051018,32.15,33.0,32.0,32.05,97263300,[0 0]
20051019,32.02,32.35,32.02,32.2,64830500,[1 0]
20051020,32.25,32.84,32.2,32.31,52042700,[0 1]
20051021,32.4,33.35,32.3,32.6,79258500,[0 1]
20051024,32.6,33.2,32.6,33.1,121648300,[0 1]
20051025,33.1,33.7,33.1,33.3,48526500,[1 1]
20051026,33.3,33.75,33.3,33.6,242681800,[0 1]
20051027,33.1,33.39,32.8,33.0,104279100,[0 1]
20051028,32.81,33.3,32.81,33.0,68718900,[0 1]
20051031,33.5,33.5,33.0,33.35,34945300,[1 1]
20051101,33.2,33.7,33.01,33.4,119785900,[0 0]
20051103,33.4,34.6,33.4,33.76,58300600,[0 0]
20051104,34.4,35.0,33.8,35.0,31218700,[0 1]
20051107,34.99,35.0,34.95,35.0,57395400,[0 1]
20051108,35.0,35.1,34.9,35.01,36754100,[0 1]
20051109,35.01,35.7,35.01,35.4,67371100,[0 1]
20051110,35.79,35.96,35.0,35.55,37895600,[0 1]
20051111,35.5,36.99,35.3,35.56,84390300,[0 1]
20051114,35.5,36.0,35.5,35.99,47473600,[1 0]
20051116,35.5,36.0,35.5,36.0,27031800,[0 1]
20051117,36.5,36.5,35.8,36.1,59043300,[1 1]
20051118,35.81,36.2,35.81,36.1,11193100,[0 0]
20051121,36.01,36.01,35.5,35.7,91563700,[0 1]
20051122,35.4,36.0,35.0,35.89,224306600,[0 0]
20051123,35.8,36.89,35.8,36.1,53882800,[1 0]
20051124,35.99,36.05,35.7,35.8,106515900,[0 1]
20051125,36.0,36.5,36.0,36.36,21656800,[1 0]
20051128,36.01,36.01,35.5,35.8,35741800,[1 0]
20051129,35.51,36.6,35.47,36.0,149398700,[1 0]
20051130,35.5,36.0,35.5,36.0,50972400,[0 0]
20051201,35.47,35.95,35.47,35.71,93330700,[0 0]
20051202,35.6,36.05,35.6,35.81,57914000,[1 0]
20051205,35.82,35.9,35.6,35.7,58808400,[1 0]
20051206,35.8,36.34,35.48,36.34,177352400,[1 0]
20051207,37.0,37.0,35.8,36.0,59042600,[1 0]
20051208,36.7,36.88,36.0,36.0,28408200,[0 1]
20051209,35.8,36.88,35.61,36.88,26962500,[0 0]
20051212,36.87,37.0,35.9,36.0,89847300,[1 0]
20051213,36.2,36.5,36.0,36.25,55742700,[1 1]
20051214,36.27,37.0,36.27,37.0,192394200,[0 1]
20051215,37.0,37.1,36.52,37.0,11797900,[0 0]
20051216,37.4,37.45,36.5,36.65,23206700,[0 1]
20051219,36.65,36.65,36.0,36.2,444936400,[1 1]
20051220,36.3,36.5,36.1,36.17,38389800,[1 0]
20051221,36.18,37.01,36.18,37.0,78699700,[1 1]
20051222,36.5,36.9,36.2,36.53,246939600,[0 1]
20051223,36.5,37.4,36.5,37.0,25674400,[1 1]
20051226,37.0,37.1,36.7,37.1,181339000,[0 1]
20051227,36.32,37.08,36.32,36.91,20742700,[0 0]
20051228,36.91,37.25,36.5,37.25,27579500,[1 0]
20051229,36.52,37.49,36.52,37.49,11085100,[1 0]
20060112,38.01,38.01,37.16,37.17,63689800,[0 0]
20060113,37.25,37.41,37.17,37.3,38425500,[1 1]
20060116,38.2,38.2,37.85,38.12,119695100,[1 0]
20060117,38.1,38.1,37.6,37.6,92422200,[0 1]
20060118,37.3,38.0,37.3,38.0,53209100,[0 0]
20060119,38.0,38.5,37.85,38.1,116574900,[1 1]
20060120,38.1,38.4,38.0,38.18,108028300,[0 0]
