date,open,max,min,close,volume,y
20050707,45.16,46.4,45.16,45.9,2706236,[0 1]
20050708,45.75,46.0,45.2,45.21,1610543,[0 0]
20050711,46.24,47.5,45.12,47.5,1821787,[1 1]
20050712,47.0,47.59,46.11,46.93,1678498,[0 0]
20050713,46.01,47.3,45.9,46.02,1567143,[1 0]
20050714,46.7,47.4,46.5,47.3,1886884,[0 0]
20050715,46.0,47.7,46.0,47.7,2077318,[1 1]
20050718,46.0,46.7,45.95,46.7,2147810,[0 0]
20050719,46.0,46.1,45.5,45.5,1324421,[1 0]
20050720,45.51,46.5,45.2,46.23,2446672,[1 0]
20050721,46.65,46.65,45.5,46.0,2246125,[0 0]
20050722,45.75,45.75,44.81,45.15,2207657,[1 0]
20050725,44.55,44.55,43.66,43.66,1580746,[0 1]
20050726,43.61,45.1,43.61,44.52,2449256,[1 0]
20050727,44.81,46.44,44.8,46.44,1883775,[1 0]
20050728,45.75,47.1,45.01,46.1,3165076,[1 0]
20050729,47.05,47.3,45.55,45.55,2802295,[0 0]
20050801,46.11,46.11,45.19,45.68,4682375,[1 0]
20050802,45.5,45.8,43.5,43.5,3437302,[0 1]
20050803,45.65,45.65,44.01,44.01,3048942,[0 1]
20050804,45.5,45.5,43.34,43.35,3363460,[1 1]
20050805,44.35,44.35,43.22,43.3,2036674,[1 0]
20050808,43.5,44.0,42.82,42.85,2535781,[1 0]
20050809,44.25,44.25,42.92,42.93,2792225,[1 0]
20050810,43.8,43.8,41.8,42.0,5084645,[0 1]
20050811,41.91,42.71,41.52,41.52,2284985,[0 0]
20050812,42.0,42.5,41.03,42.5,2835959,[0 0]
20050815,44.0,44.16,43.25,43.5,2661787,[0 0]
20050816,43.7,43.7,43.0,43.06,1137538,[1 1]
20050817,44.0,44.15,43.08,43.85,2991513,[0 0]
20050818,43.5,43.5,43.12,43.12,2102244,[1 1]
20050819,43.0,44.23,41.76,44.23,1816575,[0 1]
20050822,42.65,43.5,42.36,43.5,2134125,[0 1]
20050823,43.0,43.1,42.7,42.73,1897001,[0 1]
20050824,44.3,44.3,42.0,42.0,2365502,[1 0]
20050825,41.61,43.67,41.61,43.67,1906648,[1 0]
20050826,43.35,44.0,43.0,43.35,1844027,[1 1]
20050829,42.61,42.95,41.6,41.6,1717724,[1 1]
20050830,42.5,43.3,42.14,42.22,2312032,[0 1]
20050831,43.0,43.9,42.05,42.05,2539210,[1 0]
20050901,43.31,43.9,43.31,43.7,2252097,[1 0]
20050902,44.3,46.56,44.3,46.5,2954522,[1 1]
20050905,45.8,46.8,45.8,46.8,2289205,[0 0]
20050906,45.9,48.0,45.0,47.5,4576350,[0 1]
20050908,48.44,48.44,47.22,47.22,3063450,[0 0]
20050909,47.2,47.99,47.01,47.79,2843985,[0 0]
20050912,46.8,47.4,46.8,47.02,2771864,[1 1]
20050913,47.0,47.9,46.95,47.13,3601732,[1 1]
20050914,47.7,47.75,46.5,47.03,3289013,[0 1]
20050915,48.0,48.0,46.66,46.66,2941492,[1 0]
20050916,47.99,47.99,46.1,47.3,2976580,[1 0]
20050919,47.99,47.99,45.35,46.31,3157302,[1 1]
20050930,43.51,44.0,43.12,44.0,2778510,[0 1]
20051003,44.0,44.0,43.0,43.05,1848097,[1 0]
20051004,43.05,44.9,42.7,43.0,5405611,[0 1]
20051005,42.9,44.29,42.13,42.56,4301922,[0 1]
20051006,42.1,42.6,41.0,41.0,2249342,[0 0]
20051007,41.23,44.2,41.23,41.6,3273801,[1 1]
20051010,42.11,43.6,42.11,43.6,3401217,[0 0]
20051011,44.0,44.0,42.8,42.8,3441321,[1 1]
20051013,41.81,44.9,41.72,41.8,3146708,[0 0]
20051014,42.0,46.06,41.48,42.01,4291749,[1 0]
20051017,42.98,47.0,42.43,44.0,3781155,[1 1]
20051018,43.1,43.85,41.8,41.8,2449567,[0 0]
20051019,41.23,42.5,41.23,42.5,2227686,[1 1]
20051020,42.49,42.49,41.66,41.66,4018060,[0 1]
20051021,42.65,43.25,42.13,43.01,1156463,[0 1]
20051024,43.1,43.7,42.71,42.71,2183214,[0 1]
20051025,43.16,43.55,42.51,42.81,4202756,[0 1]
20051026,41.9,44.09,41.9,43.75,3805444,[0 1]
20051027,43.1,44.4,42.21,42.21,2964489,[0 0]
20051028,42.48,44.46,42.12,44.46,2607897,[0 1]
20051031,43.5,43.77,43.22,43.77,3532579,[0 1]
20051101,43.8,44.25,43.01,44.25,2788620,[0 1]
20051103,44.4,45.13,43.81,44.5,3138123,[0 1]
20051104,44.2,45.3,43.17,45.3,3690185,[1 1]
20051107,45.4,46.2,45.21,45.6,1568847,[0 1]
20051108,46.29,46.29,45.25,45.31,2257271,[1 1]
20051109,45.7,46.15,45.07,45.86,2883284,[0 0]
20051110,45.66,46.56,45.66,46.35,2461723,[1 0]
20051111,46.6,47.0,43.32,46.0,2539251,[1 1]
20051114,46.99,47.71,46.01,47.71,1688882,[1 1]
20051116,46.4,47.7,46.21,47.0,3806369,[1 0]
20051117,46.9,47.6,46.41,47.6,4929739,[0 1]
20051118,46.66,48.0,46.53,48.0,4074081,[1 0]
20051121,47.3,47.75,46.82,46.84,2281276,[0 1]
20051122,45.4,47.05,45.4,46.77,2653358,[0 1]
20051123,48.0,48.0,46.4,46.4,2502564,[0 0]
20051124,48.2,48.2,45.56,47.58,3760038,[0 1]
20051125,46.01,47.69,46.01,47.3,1598378,[0 0]
20051128,47.21,47.6,46.5,46.5,2936618,[0 1]
20051129,46.0,47.0,45.59,45.71,3988832,[0 1]
20051130,46.0,46.99,45.02,45.6,3437955,[0 0]
20051201,45.91,48.69,45.34,45.85,2676786,[1 0]
20051202,45.94,46.9,45.36,46.01,1569875,[0 0]
20051205,48.4,48.4,45.0,46.15,2556691,[1 0]
20051206,46.26,47.9,46.26,46.5,1478583,[1 0]
20051207,46.2,46.3,45.61,46.0,2538762,[1 0]
20051208,46.5,47.0,46.28,46.34,1889128,[0 1]
20051209,46.6,47.2,45.55,46.8,2122130,[0 0]
20051212,46.5,47.34,46.5,46.5,1858352,[0 1]
20051213,47.3,47.43,46.3,47.35,2065824,[1 0]
20051214,47.5,47.98,46.35,47.0,2983928,[0 0]
20051215,47.6,47.7,47.21,47.5,3155224,[0 1]
20051216,47.52,48.15,47.1,47.98,4653043,[0 1]
20051219,48.16,48.16,45.75,45.75,1992586,[0 0]
20051220,46.91,47.99,46.4,46.5,1731190,[1 1]
20051221,47.0,47.2,46.76,46.9,1483098,[1 0]
20051222,46.81,47.0,46.52,46.8,1662807,[0 1]
20051223,46.75,47.2,46.6,46.61,1465961,[1 1]
20051226,47.05,47.69,46.99,47.31,2243387,[0 1]
20051227,47.32,48.0,46.1,47.25,3107177,[0 1]
20051228,47.0,47.4,46.13,47.4,1674908,[0 1]
20051229,46.28,48.4,46.25,46.6,2980962,[1 0]
20060112,46.5,47.0,46.22,46.6,2035797,[0 0]
20060113,46.9,48.3,46.9,48.29,3104151,[1 1]
20060116,48.6,49.99,48.1,49.99,2678164,[1 0]
20060117,49.99,50.0,48.45,48.45,3413827,[0 1]
20060118,47.75,48.56,47.75,47.75,1123516,[0 0]
20060119,49.0,50.0,48.01,49.45,4209825,[0 1]
20060120,49.89,50.68,49.0,50.68,2257723,[0 1]
20060123,48.9,50.48,48.87,50.48,1936258,[0 1]
20060124,50.0,50.74,49.52,50.3,2957807,[1 0]
20060126,50.0,52.77,50.0,52.77,5436483,[1 0]
20060127,50.21,52.1,50.21,51.0,2714744,[1 0]
20060130,50.56,52.21,50.56,52.02,4963874,[0 1]
20060131,51.9,54.9,51.51,54.89,4019875,[1 0]
20060201,52.5,53.8,50.7,51.0,4618988,[0 1]
20060202,54.07,60.35,50.0,50.2,2750235,[0 0]
20060203,50.01,51.2,50.01,51.02,1309054,[1 1]
20060206,50.95,52.5,50.31,52.49,2778359,[0 0]
20060207,52.51,52.51,50.02,50.02,2469335,[1 1]
20060208,52.09,53.2,51.5,51.5,2490285,[1 1]
20060209,52.5,53.0,51.0,51.0,2654273,[0 1]
20060210,53.0,53.75,52.0,52.0,1767712,[0 1]
20060213,52.0,53.93,48.0,48.0,2249677,[0 0]
20060214,52.4,52.7,51.6,52.3,2509704,[0 1]
20060215,52.1,52.1,50.5,51.9,1378220,[0 0]
20060216,51.91,52.89,51.91,51.91,3523091,[1 0]
20060217,53.0,53.3,51.0,51.3,2878083,[0 1]
20060220,51.6,52.99,51.01,52.99,3582478,[0 0]
20060221,52.3,52.7,51.21,51.21,3830016,[1 0]
20060222,51.5,51.58,50.02,50.3,2832485,[1 0]
20060223,50.03,50.03,49.0,49.1,2463180,[1 0]
20060224,49.01,51.49,49.01,51.49,1509370,[1 0]
20060301,50.0,50.59,50.0,50.59,2525739,[1 1]
20060302,50.95,53.0,49.5,53.0,1994167,[1 0]
20060303,51.0,51.45,50.5,50.6,3038417,[1 1]
20060306,51.3,51.3,50.35,51.0,2349097,[0 0]
20060307,52.0,52.0,50.02,50.1,2271128,[0 1]
20060308,50.07,51.0,50.0,50.6,2320433,[0 1]
20060309,51.5,51.5,50.41,50.9,2740377,[0 1]
20060310,51.0,51.5,50.19,51.0,1777741,[0 1]
20060313,51.0,51.0,49.7,49.7,2765724,[1 0]
20060314,49.7,51.3,49.31,51.27,2951829,[1 0]
20060315,51.06,52.15,51.0,52.0,1944710,[1 0]
20060316,52.49,52.5,52.0,52.5,3036387,[1 0]
20060317,52.3,52.3,51.33,51.33,1470042,[0 1]
20060320,51.0,51.6,50.6,50.6,3161567,[0 1]
20060321,51.3,51.6,50.51,51.25,1894028,[1 1]
20060322,52.0,52.0,51.0,51.0,1177212,[0 1]
20060323,51.8,51.8,50.01,51.3,2538481,[1 1]
20060324,50.1,51.7,49.8,51.7,2211776,[1 1]
20060327,50.0,53.0,49.7,53.0,4247788,[0 0]
20060328,53.0,55.7,52.51,53.85,5411508,[1 0]
20060329,52.1,54.3,52.1,53.99,4584664,[0 1]
20060330,52.85,53.99,50.02,53.0,3285739,[0 0]
20060331,53.8,53.98,53.0,53.0,3058540,[1 1]
20060403,53.59,54.99,52.53,53.7,3210479,[0 1]
20060404,53.25,55.0,53.0,54.99,3553633,[1 0]
20060405,54.0,54.0,51.62,52.0,1840245,[0 1]
20060406,52.99,53.29,50.01,51.81,4835499,[0 0]
20060407,52.7,52.7,51.11,52.0,1562069,[1 0]
20060410,51.51,52.0,51.0,51.0,1954217,[0 1]
20060411,52.0,52.5,51.5,52.5,2138017,[1 1]
20060412,51.75,52.2,51.75,51.8,1179540,[0 1]
20060413,52.4,52.4,51.0,51.0,1497081,[0 1]
20060417,52.41,52.41,51.0,51.0,2143092,[0 0]
20060418,51.57,52.58,51.57,52.0,1546647,[0 0]
20060419,52.4,52.69,51.9,52.0,2460086,[0 1]
20060420,52.1,52.1,51.2,51.2,1298282,[0 1]
20060424,51.6,51.6,50.24,51.2,2758867,[0 0]
20060425,52.0,52.0,51.06,51.3,2318884,[0 1]
20060426,51.8,52.5,51.28,51.28,2670163,[0 1]
20060427,52.29,52.59,52.01,52.01,1308562,[0 1]
20060428,52.5,53.0,50.2,50.4,5611981,[0 1]
20060502,52.2,52.2,49.7,49.7,3345328,[1 1]
20060503,49.81,52.0,49.51,52.0,2069464,[0 0]
20060504,50.2,51.97,50.2,50.75,2955998,[0 0]
20060505,50.7,50.75,50.01,50.51,1598580,[1 1]
20060508,51.98,51.98,50.05,50.15,2387029,[1 0]
20060509,51.98,51.98,49.01,50.86,3353337,[0 0]
20060510,49.85,50.16,49.56,49.85,1788920,[1 0]
20060511,50.4,50.45,49.23,50.45,3968827,[1 0]
20060512,50.7,50.7,47.31,47.8,4303660,[1 1]
20060515,48.2,48.5,47.31,48.5,1838277,[0 0]
20060516,47.54,48.91,47.5,48.1,1234820,[1 0]
20060517,48.0,48.0,46.3,46.3,3510057,[0 1]
20060518,46.0,48.32,45.01,48.32,2914445,[0 1]
20060519,46.25,47.99,46.12,46.12,1823803,[0 1]
20060522,45.5,45.95,44.62,45.5,3055632,[1 1]
20060523,45.96,46.5,43.28,43.28,2114999,[1 0]
20060605,46.51,47.5,46.0,46.1,2677715,[0 1]
20060606,46.1,47.71,45.31,47.71,1687106,[1 0]
20060607,46.95,47.0,46.58,46.6,1550140,[0 1]
20060608,45.31,47.0,45.31,45.5,4468690,[0 0]
20060609,47.0,47.0,45.2,45.2,2583006,[1 0]
20060612,46.0,46.0,43.21,43.21,3034429,[1 1]
20060613,43.7,45.59,43.0,45.59,1329436,[0 0]
20060614,43.0,45.49,40.93,40.93,2085298,[1 1]
20060616,43.5,48.0,43.41,47.0,4160686,[1 1]
20060619,43.91,44.2,43.2,43.8,2664022,[1 0]
20060620,43.01,44.15,43.0,43.8,1076874,[0 0]
20060621,43.8,44.2,43.0,43.99,2061861,[0 1]
20060622,44.0,44.0,42.65,44.0,927732,[0 0]
20060623,43.1,45.0,43.0,45.0,2238330,[1 1]
20060626,44.49,44.5,42.51,44.5,2803219,[0 1]
20060627,44.4,44.4,43.11,43.11,764735,[0 1]
20060628,44.1,44.3,43.5,44.04,811974,[0 1]
20060629,44.47,44.99,43.75,44.99,1977747,[1 1]
20060630,47.2,47.2,45.0,45.4,3114953,[0 0]
20060703,43.7,46.57,43.7,44.46,1734656,[1 0]
20060704,46.2,46.65,44.6,44.6,2537742,[1 0]
20060705,46.0,47.42,44.05,44.05,3304759,[1 0]
20060706,45.0,45.4,44.7,44.7,1337744,[0 0]
20060707,45.2,45.31,44.0,44.0,1648081,[0 0]
20060710,44.6,45.9,44.6,45.45,699650,[1 1]
20060711,46.67,46.67,45.45,46.3,1143053,[0 0]
20060712,45.5,45.5,45.01,45.03,1849327,[1 0]
20060713,45.03,45.03,43.61,43.61,2407598,[1 0]
20060714,43.52,44.1,43.2,43.2,950782,[1 1]
20060717,43.1,44.4,43.01,43.55,1705663,[0 0]
20060718,44.5,45.35,43.71,45.35,2187342,[0 0]
20060719,45.45,46.9,45.0,46.9,4266347,[0 1]
20060720,47.09,47.09,45.54,46.09,3709638,[1 1]
20060721,45.7,45.8,45.0,45.2,1595619,[1 1]
20060724,45.46,46.0,44.81,46.0,2106188,[1 1]
20060725,45.0,45.6,45.0,45.0,1028718,[0 1]
20060726,44.02,45.99,44.02,45.0,2637100,[0 1]
20060727,44.82,45.89,44.82,44.86,1324993,[1 1]
20060728,45.55,47.5,45.55,47.5,2482742,[0 0]
20060731,46.9,47.1,46.01,46.5,1907023,[0 1]
20060801,46.02,47.5,46.0,47.5,1732279,[0 1]
20060802,47.59,47.8,47.0,47.49,2237293,[1 0]
20060803,47.01,48.9,46.96,48.5,2319246,[1 0]
20060804,48.3,49.9,48.3,49.5,2615492,[0 1]
20060807,49.0,49.6,48.9,49.02,1369445,[0 1]
20060808,49.0,51.2,49.0,49.6,3849478,[0 0]
20060809,50.19,50.47,49.21,49.21,1526773,[0 0]
20060810,49.25,50.29,48.65,49.8,1777487,[0 0]
20060811,49.49,49.59,48.5,48.8,2202498,[1 1]
20060814,50.2,50.6,48.5,48.5,2331995,[1 1]
20060815,48.8,49.82,48.8,49.82,2968430,[0 0]
20060816,49.4,53.99,49.26,53.99,3423293,[0 1]
20060817,55.0,55.0,50.9,52.6,4497495,[0 0]
20060818,51.1,52.32,50.5,50.61,1644090,[1 0]
20060821,50.8,51.71,49.0,51.7,4233145,[1 1]
20060822,50.5,51.0,49.31,49.32,2916080,[1 0]
20060823,49.7,49.7,47.1,47.1,3866189,[0 1]
20060824,47.91,48.3,47.02,47.4,1751077,[0 0]
20060825,47.8,49.32,47.1,49.32,1661318,[1 0]
20060828,47.3,48.6,47.3,48.6,2729976,[0 0]
20060829,47.03,49.44,47.01,47.01,2102829,[1 0]
20060830,48.6,49.0,47.81,47.81,2081591,[0 1]
20060831,48.8,48.8,47.61,48.3,1926872,[1 0]
20060901,49.0,49.44,48.1,49.0,1678917,[1 1]
20060904,50.9,50.9,48.67,49.98,3529692,[1 0]
20060905,49.69,49.75,48.81,48.81,1890083,[1 0]
20060906,49.2,50.59,49.2,49.31,2014946,[0 1]
20060908,49.31,49.75,48.12,48.12,2951970,[0 0]
20060911,49.6,49.6,47.96,49.49,2258734,[0 1]
20060912,49.0,49.99,48.8,49.0,2501486,[0 1]
20060913,49.92,49.92,48.5,48.5,2740500,[1 0]
20060914,49.1,49.17,48.5,48.5,2314437,[0 1]
20060915,49.01,49.54,48.02,48.6,1617969,[0 1]
20060918,48.9,49.6,48.05,48.13,2606630,[1 0]
20060919,49.0,49.0,48.13,48.13,890982,[1 0]
20060920,48.0,49.2,48.0,49.2,2524902,[1 1]
20060921,48.55,49.5,48.55,49.0,2367151,[1 0]
20060922,49.26,49.26,47.56,48.75,2164844,[1 1]
20060925,48.83,49.0,48.01,49.0,1757819,[1 0]
20060926,49.4,49.49,47.73,47.73,3929017,[0 0]
20060927,47.75,48.49,47.31,47.31,2192500,[1 1]
20060928,48.5,49.22,47.7,48.04,2731089,[1 0]
20060929,47.7,48.4,47.7,47.73,1034242,[1 0]
20061002,48.09,49.0,48.09,48.8,1430014,[1 0]
20061003,48.1,49.0,48.0,48.01,2129388,[1 1]
20061004,49.0,50.4,48.0,50.4,3211131,[0 0]
20061005,50.35,51.25,49.48,49.52,1907912,[0 0]
20061006,50.2,50.2,49.38,49.6,2356126,[0 1]
20061009,49.98,49.98,49.0,49.2,2556359,[0 0]
20061010,49.32,50.17,49.16,49.4,2767728,[1 0]
20061011,49.8,50.49,49.51,49.53,1241679,[0 0]
20061013,50.0,51.5,49.73,51.5,2421736,[0 1]
20061016,49.7,50.5,49.01,50.5,2027926,[0 0]
20061017,50.65,50.65,49.8,50.6,1848956,[1 1]
20061018,50.6,51.2,49.0,51.07,2446593,[0 1]
20061019,50.0,50.1,49.4,49.46,2884729,[1 0]
20061020,49.8,51.2,49.0,49.0,2030740,[1 0]
20061023,49.0,49.5,48.5,49.0,3041231,[0 0]
20061024,49.6,50.11,49.1,49.5,2851839,[1 0]
20061025,49.5,49.8,49.12,49.5,1141725,[0 1]
20061026,49.3,50.95,49.3,50.95,1750727,[0 0]
20061027,49.46,50.28,48.52,50.05,1261928,[1 0]
20061030,49.44,51.0,49.44,50.99,2212300,[1 1]
20061031,50.01,50.5,49.54,50.0,2808720,[1 0]
20061101,50.96,51.6,49.98,50.5,2849320,[1 0]
20061103,49.99,51.9,49.99,51.9,1713977,[1 0]
20061106,51.9,53.0,51.34,51.34,4619247,[0 1]
20061107,51.47,52.5,50.96,52.5,3000003,[1 0]
20061108,51.47,52.68,50.51,51.9,3483650,[1 1]
20061109,51.48,52.27,51.4,52.27,2868973,[1 0]
20061110,51.8,52.0,51.29,51.29,3628544,[1 1]
20061113,51.9,52.99,51.9,52.99,4189596,[0 1]
20061128,48.3,50.0,48.02,50.0,2283403,[1 0]
20061129,49.0,49.59,48.36,48.36,2577745,[0 1]
20061130,49.9,49.9,48.49,48.7,3400277,[0 1]
20061201,49.0,49.35,48.2,48.2,2919218,[0 0]
20061204,48.99,49.46,48.5,48.51,2786068,[1 1]
20061205,49.8,50.5,49.51,50.5,5789621,[1 0]
20061206,50.1,50.99,49.3,50.99,2604732,[1 0]
20061207,50.5,51.46,50.3,50.3,3510258,[1 1]
20061208,51.9,51.9,50.4,50.4,5624263,[0 1]
20061211,51.35,51.69,50.85,51.4,2253198,[0 0]
20061212,51.69,52.26,50.3,52.25,3608281,[0 1]
20061213,52.18,53.7,51.81,53.4,5063584,[0 1]
20061214,54.5,54.5,53.11,54.0,3196087,[1 1]
20061215,54.0,54.55,53.71,53.73,6167029,[1 1]
20061218,54.75,54.76,53.15,53.7,3791437,[1 0]
20061219,53.25,54.98,53.15,54.98,3647863,[1 0]
20061220,54.9,54.9,53.03,53.2,3250624,[0 1]
20061221,54.6,54.61,52.6,53.0,4220181,[0 0]
20061222,53.02,53.56,52.51,53.56,2862712,[1 1]
20061226,53.3,54.0,53.3,53.5,1086062,[1 0]
20061227,54.0,54.05,53.5,53.5,2753789,[0 1]
20061228,53.7,54.63,53.5,53.95,1930579,[1 1]
20070112,54.53,54.53,52.01,54.09,2924339,[1 0]
20070115,54.0,54.09,52.57,52.57,3850609,[0 1]
20070116,54.09,54.09,52.5,53.51,2805598,[0 1]
20070117,53.5,53.55,52.11,53.55,3590161,[0 1]
20070118,52.88,53.4,52.0,52.5,1307110,[1 0]
20070119,51.99,53.45,51.99,52.22,1552955,[0 1]
20070122,53.0,53.6,52.47,53.39,1803957,[0 0]
20070123,52.71,53.5,52.71,53.1,2057528,[1 1]
20070124,54.0,55.63,52.5,52.54,3783130,[1 0]
20070126,52.51,53.99,52.5,53.05,2483328,[0 0]
20070129,53.3,53.3,52.5,52.54,3778941,[0 1]
20070130,52.83,53.07,52.5,52.51,1236900,[0 0]
20070131,52.5,54.2,52.5,53.99,3861707,[1 0]
20070201,53.65,55.0,53.65,55.0,4499810,[1 0]
20070202,56.0,56.0,54.3,55.5,3922473,[1 0]
20070205,55.5,55.9,55.0,55.1,4409140,[0 1]
20070206,56.01,56.35,55.0,56.35,4677205,[1 1]
20070207,56.6,57.09,54.5,55.5,4309162,[0 0]
20070208,55.45,56.0,54.65,56.0,2952331,[1 0]
20070209,55.5,55.85,55.11,55.79,3060886,[1 1]
20070212,55.0,55.95,54.72,55.2,3872595,[0 1]
20070213,54.9,56.0,54.11,54.7,5452891,[0 1]
20070214,55.0,55.0,54.22,54.45,1944331,[0 0]
20070215,54.4,54.92,54.02,54.45,3533831,[1 1]
