date,open,max,min,close,volume,y
20041014,38.8,45.01,38.8,45.01,1711722,[0 1]
20041015,43.0,45.0,43.0,45.0,220100,[1 0]
20041018,45.0,45.1,45.0,45.1,171360,[1 0]
20041019,47.5,47.5,47.49,47.5,427431,[1 0]
20041020,47.5,47.9,47.5,47.5,423110,[0 0]
20041021,47.5,49.89,47.5,49.88,1080934,[0 1]
20041025,46.0,49.89,46.0,46.25,566607,[0 1]
20041026,45.0,47.5,45.0,47.0,1263505,[1 0]
20041027,46.52,46.7,46.52,46.7,442125,[1 0]
20041028,47.5,47.5,46.51,46.51,856669,[1 1]
20041029,46.51,46.51,46.0,46.0,1636324,[1 1]
20041101,44.0,44.0,44.0,44.0,255200,[0 1]
20041103,44.0,44.2,44.0,44.2,406220,[0 0]
20041104,46.0,46.0,43.11,43.11,358439,[1 0]
20041105,47.5,47.5,45.51,46.0,585438,[1 0]
20041108,44.0,47.5,44.0,47.5,260550,[1 1]
20041109,47.51,47.51,47.5,47.5,755310,[0 1]
20041110,47.0,49.87,47.0,49.87,14387,[1 0]
20041111,47.0,47.0,47.0,47.0,357200,[1 0]
20041112,47.0,47.5,47.0,47.05,488359,[1 0]
20041116,47.5,47.5,47.5,47.5,19000,[0 0]
20041117,47.52,48.5,47.52,48.5,1146845,[0 1]
20041118,49.0,50.95,49.0,50.95,731140,[1 0]
20041119,50.1,50.2,50.1,50.2,647290,[0 1]
20041122,51.5,53.5,50.75,53.5,1005706,[0 1]
20041123,52.0,52.0,51.0,52.0,544000,[1 0]
20041124,51.81,52.0,51.25,52.0,584642,[1 0]
20041125,51.6,52.05,51.25,52.05,668098,[1 0]
20041126,51.0,52.0,51.0,51.01,256103,[1 0]
20041129,52.5,52.58,52.5,52.58,399528,[1 1]
20041130,52.6,52.6,51.71,51.71,820558,[1 0]
20041201,52.1,53.2,52.1,53.2,328450,[0 1]
20041202,54.9,54.9,54.9,54.9,87840,[1 1]
20041203,52.2,55.5,52.2,53.25,117621,[0 1]
20041206,55.0,55.0,54.9,54.9,417940,[0 0]
20041207,55.05,55.05,55.0,55.0,379530,[1 0]
20041208,55.0,55.01,53.55,55.0,1072065,[0 0]
20041209,54.02,56.0,54.02,56.0,600894,[1 1]
20041210,53.5,55.1,53.5,55.1,276210,[0 0]
20041213,55.0,57.7,55.0,57.7,556210,[0 1]
20041214,55.0,57.0,55.0,56.87,1955469,[1 1]
20041215,56.0,56.99,55.2,56.5,678198,[0 1]
20041216,57.0,57.0,52.0,56.01,812428,[0 1]
