date,open,max,min,close,volume,y
20041005,39.7,40.6,39.6,39.83,15340604100,[1 0]
20041004,38.79,40.05,38.61,39.9,20055634400,[0 1]
20041001,37.99,38.45,37.65,38.35,10536219800,[1 0]
20040930,38.7,38.85,37.65,37.65,15224191900,[1 0]
20040929,38.59,38.88,38.2,38.45,10801492300,[1 0]
20041007,39.2,39.6,39.0,39.47,7833446700,[0 1]
20041006,39.71,39.71,39.06,39.4,9491330200,[0 1]
20041008,39.89,39.95,39.33,39.45,7562661100,[0 1]
20041013,39.31,39.8,38.2,38.25,21437725000,[1 0]
20041011,39.4,39.9,39.4,39.5,2802480100,[1 0]
20041015,37.3,37.69,37.01,37.44,16436945100,[0 1]
20041014,38.0,38.14,36.9,36.9,19514318600,[1 1]
20041018,37.44,38.17,37.1,37.9,14692056700,[0 0]
20041019,38.24,38.49,37.12,37.2,12239902800,[1 0]
20041020,37.2,37.55,36.75,37.41,10831679000,[1 1]
20041022,37.86,38.2,37.3,37.3,12412199300,[1 1]
20041021,37.0,37.99,37.0,37.55,8202499700,[0 1]
20041026,37.59,38.1,37.35,37.9,10965398800,[0 0]
20041025,37.3,37.45,36.82,37.2,10707137300,[0 1]
20041027,38.08,38.6,37.95,38.41,12264603300,[0 0]
20041101,37.88,37.95,37.06,37.94,2820968500,[1 1]
20041029,37.99,37.99,37.51,37.55,4911573600,[1 0]
20041028,38.02,38.2,37.6,37.75,8106549900,[1 1]
20041105,39.21,39.8,38.15,38.3,16865298500,[0 1]
20041104,38.99,39.5,38.87,39.44,13587675600,[0 0]
20041103,38.21,39.15,38.2,38.98,18586417000,[1 0]
20040910,37.84,37.9,36.8,37.75,13620680600,[0 0]
20040914,36.95,38.39,36.3,37.92,17726884100,[1 0]
20040913,37.9,38.2,36.7,36.92,15409966200,[1 1]
20040915,37.9,38.54,37.51,37.96,12210207100,[0 1]
20040916,38.04,38.84,37.7,38.84,16503922300,[0 0]
20040917,39.09,39.49,38.85,39.04,15321650400,[1 1]
20040920,39.81,40.18,39.11,39.11,30652394300,[1 1]
20040922,39.62,39.62,38.3,38.39,9379495300,[1 1]
20040921,39.15,39.69,38.81,39.25,11009140900,[1 0]
20040923,38.5,39.11,38.02,39.0,12560577200,[1 1]
20040928,38.2,38.7,37.75,38.57,16289529300,[1 0]
20040927,39.0,39.0,38.51,38.55,9509106500,[0 0]
20040924,39.15,39.55,38.6,39.2,9374401800,[0 1]
20041108,38.11,38.15,37.46,38.0,12587910500,[0 1]
20041109,38.01,38.22,37.7,37.85,9405265500,[0 0]
20041110,38.0,38.15,37.52,37.93,8122839100,[1 0]
20041111,37.8,38.3,37.55,38.15,9481212600,[0 0]
20041112,38.2,39.09,38.15,39.05,12774404900,[0 0]
20041116,38.96,39.15,38.56,38.84,15405985900,[0 0]
20041117,38.98,40.35,38.55,39.92,20723596600,[1 1]
20041118,40.0,40.9,39.85,40.41,17187322600,[0 0]
20041119,40.41,40.85,40.01,40.35,10734951200,[1 0]
20041122,40.05,41.73,39.95,41.55,17564024500,[1 1]
20041123,41.6,42.3,41.05,41.5,13500027200,[1 1]
20041124,41.6,42.1,40.95,41.31,9997932800,[1 1]
20041125,41.8,42.68,41.2,42.45,13358566300,[0 0]
20041126,42.54,42.78,42.16,42.4,10219513600,[0 1]
20041129,42.3,42.35,41.37,41.89,6620970000,[0 1]
20041130,41.9,42.18,41.2,41.75,11678912800,[0 1]
20041201,41.81,42.3,41.6,41.95,12699846800,[1 1]
20041202,42.0,42.25,41.4,41.93,6633686700,[0 0]
20041203,42.1,42.75,41.8,42.16,9913984900,[1 1]
20041206,42.16,42.78,42.01,42.59,10067151300,[1 0]
20041207,42.6,43.16,41.71,41.89,10126418700,[0 0]
20041208,41.6,42.57,41.21,42.3,14155697100,[1 0]
20041209,42.4,42.66,41.37,41.59,10897055900,[1 0]
20041210,41.59,41.9,41.3,41.5,6690784400,[1 0]
20041213,41.6,42.2,41.3,42.01,8375903600,[0 0]
20041214,42.1,42.65,42.1,42.61,15353489700,[0 0]
20041215,42.66,43.05,42.4,42.73,27356143100,[1 0]
20041216,42.56,43.09,42.0,43.09,16753638500,[0 1]
20041217,42.99,43.2,42.76,43.17,12923680800,[0 1]
20041220,43.35,43.8,43.1,43.8,33634598100,[0 0]
20041221,43.6,44.5,43.4,44.28,11074262400,[0 1]
20041222,44.32,44.88,44.05,44.05,10869310500,[0 1]
20041223,43.99,44.65,43.8,44.3,5588087200,[1 1]
20041227,44.6,44.94,44.35,44.7,4956019800,[0 0]
20041228,44.69,44.9,44.52,44.79,4103656200,[1 1]
20041229,44.8,44.97,44.62,44.62,2858348200,[0 1]
20041230,44.65,44.9,44.4,44.4,2718697200,[0 0]
20050103,44.79,45.3,43.0,43.1,13665402000,[0 1]
20050104,43.2,43.45,40.9,41.2,16419715200,[0 1]
20050105,41.3,42.21,40.5,41.3,15404924000,[1 0]
20050106,41.5,41.95,40.34,40.8,15022302200,[1 1]
20050107,41.2,41.6,40.81,41.31,13592420500,[0 0]
20050110,41.3,41.3,39.41,39.85,15228211700,[0 0]
20050111,39.95,40.2,39.1,39.75,14645119200,[1 1]
20050112,40.14,40.35,39.5,40.25,15627526700,[0 1]
20050113,40.4,40.87,39.7,40.2,12488257900,[1 1]
20050114,39.9,40.4,39.75,40.2,10751112400,[1 1]
20050117,39.9,40.4,38.48,38.71,19067801200,[0 1]
20050118,38.0,38.47,37.75,38.15,16779773000,[0 1]
20050119,38.3,38.65,37.95,38.0,11343332000,[1 0]
20050120,37.55,37.6,36.7,37.01,12827484300,[0 1]
20050121,37.43,37.47,36.71,36.71,6010823900,[0 0]
20050124,36.7,37.2,36.48,37.15,6530298700,[0 0]
20050126,37.45,38.25,37.3,37.94,11659829100,[1 1]
20050127,37.5,37.75,37.13,37.3,9821085000,[1 0]
20050128,36.95,37.29,36.35,37.13,10710112200,[1 0]
20050131,37.41,37.87,37.27,37.62,6351124700,[0 0]
20050201,37.7,38.1,36.8,36.85,9934989000,[0 0]
20050202,37.2,37.2,36.35,37.05,9045943900,[1 0]
20050203,37.05,37.7,36.62,37.55,9669186400,[0 1]
20050204,37.71,39.9,37.63,39.9,17448472600,[1 0]
20050209,41.03,41.7,40.1,41.6,16724511300,[1 0]
20050210,40.8,42.25,40.4,42.2,27244802800,[0 1]
20050211,41.99,43.45,41.3,43.09,28528032200,[0 0]
20050214,42.71,43.45,42.01,42.51,29532441300,[1 0]
20050215,41.9,42.74,41.8,42.49,22282322000,[0 0]
20050216,42.5,42.7,41.9,42.15,41576009100,[0 0]
20050217,42.69,44.09,42.55,43.69,31818544200,[0 1]
20050218,43.75,44.0,42.05,42.3,21618799200,[1 1]
20050221,41.9,43.4,41.7,42.85,24081130700,[1 1]
20050222,42.01,43.19,41.32,41.5,15702367800,[1 0]
20050223,42.0,42.29,41.1,42.03,13992669700,[0 1]
20050224,42.75,43.3,42.4,43.29,16218170500,[0 1]
20050225,43.0,44.42,42.65,43.9,14537397900,[1 0]
20050228,43.95,44.5,42.5,42.94,11169997900,[0 0]
20050301,42.42,42.7,41.61,42.1,10798201100,[1 1]
20050302,41.7,43.43,41.7,43.0,16296502100,[1 0]
20050303,44.1,44.85,43.8,44.85,15431410200,[1 1]
20050304,45.2,45.7,44.7,45.5,21601166700,[0 1]
20050307,45.69,46.36,44.9,45.19,14105297800,[0 1]
20050308,44.99,44.99,44.11,44.76,13767789700,[1 0]
20050309,44.0,45.15,43.8,44.0,16175922900,[1 0]
20050310,44.26,44.5,43.4,44.26,15635338400,[0 1]
20050311,44.25,44.8,43.2,43.51,16489918000,[0 1]
20050314,43.5,43.87,42.82,43.87,13146232400,[1 1]
20050315,43.99,44.3,42.4,42.8,18222544800,[1 1]
20050316,42.6,43.1,42.01,43.1,16419936100,[1 0]
20050317,42.4,43.37,42.15,43.01,16952803700,[0 0]
20050318,42.96,43.3,42.15,42.17,13890222100,[0 1]
20050321,41.95,42.34,41.72,42.0,15811514000,[1 1]
20050322,42.2,43.1,40.69,40.7,16832377200,[0 1]
20050323,40.8,41.3,40.3,40.61,11650401600,[0 0]
20050324,41.5,41.5,40.71,41.0,7062163600,[1 1]
20050328,40.86,41.07,40.5,40.53,8248901100,[1 1]
20050329,40.8,41.2,40.01,40.2,9679890900,[0 1]
20050330,40.49,41.5,40.31,41.5,8499684900,[1 0]
20050331,41.7,41.89,40.75,41.2,10185833600,[1 0]
20050401,41.7,41.9,41.25,41.3,10200149100,[0 1]
20050404,41.19,41.25,40.52,40.85,6701463200,[0 0]
20050405,41.0,41.28,40.25,40.35,7243205300,[1 0]
20050406,40.7,40.8,39.7,39.76,9765433200,[1 1]
20050407,39.95,40.99,39.8,40.88,15480390500,[0 1]
20050408,40.62,41.18,40.14,40.35,10040871100,[0 0]
20050411,40.5,41.1,40.0,40.86,11713828800,[1 0]
20050412,40.81,42.5,40.61,41.92,19059273800,[0 1]
20050413,42.55,42.7,41.51,42.0,23592591300,[0 0]
20050414,41.6,42.39,40.35,40.45,14994644700,[1 1]
20050512,35.99,35.99,34.8,34.92,9125829100,[0 1]
20050513,35.0,35.7,34.8,35.39,16848571700,[1 0]
20050516,35.0,36.4,35.0,36.4,11029896400,[0 0]
20050517,36.16,36.4,35.83,36.11,7255395100,[0 0]
20050518,36.5,36.65,36.22,36.45,6446499600,[1 0]
20050519,36.22,36.33,35.9,36.2,7661994800,[1 0]
20050520,36.16,36.25,35.87,35.93,4642523200,[0 0]
20050523,36.01,36.01,35.5,35.5,5441883100,[0 1]
20050524,35.21,35.98,35.21,35.8,7951844500,[0 1]
20050525,36.0,36.08,35.63,35.8,8370524100,[1 1]
20050527,36.3,36.87,36.01,36.79,7408779400,[0 1]
