date,open,max,min,close,volume,y
20060309,33.0,33.99,32.1,33.75,1307836068,[1 1]
20060310,33.81,35.95,33.53,35.35,390929099,[1 1]
20060313,35.31,36.2,34.93,35.4,128666768,[0 1]
20060314,35.4,36.17,34.8,35.48,162684121,[1 1]
20060315,34.96,36.05,34.96,35.75,111421903,[1 1]
20060316,35.75,35.8,34.7,34.8,50370505,[0 0]
20060317,34.6,35.95,33.5,35.5,66889024,[0 1]
20060320,35.5,36.6,33.72,36.01,127415032,[1 1]
20060321,35.6,37.2,34.81,36.5,103431828,[1 0]
20060322,36.11,36.98,36.03,36.61,21903265,[0 1]
20060323,36.9,36.9,35.0,36.85,31534575,[0 1]
20060324,36.41,36.7,35.32,36.49,17467236,[1 0]
20060327,36.0,36.35,35.01,35.21,15147108,[1 1]
20060328,35.12,35.12,32.6,34.0,12178137,[1 0]
20060329,34.8,35.7,33.51,35.7,15373042,[0 0]
20060330,35.4,35.79,34.51,35.79,15563515,[1 1]
20060331,35.49,36.15,35.01,35.8,27415616,[0 1]
20060403,35.9,37.37,35.5,36.9,51355720,[1 0]
20060404,36.7,37.0,36.2,36.7,20830734,[1 0]
20060405,35.0,36.7,35.0,36.7,16156021,[0 1]
20060406,36.5,36.8,36.01,36.8,14290925,[1 0]
20060407,36.5,36.8,36.01,36.74,12123806,[0 0]
20060410,36.79,37.2,36.0,37.05,21417407,[0 0]
20060411,36.91,37.2,36.9,37.1,10556272,[1 0]
20060412,36.3,37.35,36.25,36.95,11389784,[0 1]
20060413,37.9,43.79,37.9,40.79,68401942,[0 1]
20060417,41.11,41.5,40.26,41.5,20492489,[1 0]
20060418,42.0,42.25,41.13,41.99,13029682,[1 1]
20060419,41.41,42.0,41.0,41.0,10828967,[1 0]
20060420,41.0,41.0,39.66,40.2,8295033,[0 0]
20060424,40.98,40.98,38.21,38.21,5576479,[1 0]
20060425,39.02,40.3,39.01,39.02,9422581,[0 0]
20060426,39.01,40.5,39.01,40.19,15968551,[0 0]
20060427,39.9,40.15,39.31,40.0,9386355,[1 0]
20060428,39.95,40.5,39.7,40.5,8898613,[0 1]
20060502,39.8,42.99,39.8,42.99,22441367,[1 0]
20060503,42.0,42.05,40.5,41.1,7409598,[1 0]
20060504,41.75,41.8,40.13,41.5,7404551,[1 1]
20060505,41.79,42.22,40.61,41.5,10213995,[1 0]
20060508,41.39,41.69,40.82,41.19,7522640,[1 1]
20060509,40.8,41.69,40.0,41.6,9987724,[1 0]
20060510,41.0,43.1,41.0,42.6,13604727,[1 0]
20060511,42.9,42.9,41.21,41.5,4210026,[0 1]
20060512,41.2,41.5,40.0,41.25,3663080,[0 1]
20060515,40.01,41.0,39.76,41.0,6959437,[0 1]
20060516,41.0,41.0,38.99,40.3,4834542,[0 0]
20060517,40.2,40.2,38.76,39.4,3236555,[1 0]
20060518,39.4,40.0,36.01,39.9,4149824,[0 0]
20060519,39.1,40.15,38.54,39.5,2196748,[1 0]
20060522,38.5,38.5,35.02,37.0,5461047,[0 1]
20060523,38.0,38.53,36.23,37.7,3272010,[1 0]
20060524,36.0,36.65,35.5,35.51,5969157,[1 0]
20060525,35.03,37.16,35.01,37.0,3601329,[1 0]
20060526,36.99,37.5,36.01,37.49,2620526,[1 0]
20060529,37.2,37.5,36.0,36.0,1016749,[1 1]
20060530,37.4,37.51,36.9,36.9,2854518,[0 1]
20060531,37.0,37.8,37.0,37.77,3849946,[0 1]
20060601,38.0,39.96,38.0,39.49,2006062,[0 0]
20060602,37.3,39.5,37.3,38.0,1724078,[1 1]
20060605,37.0,37.5,36.34,36.41,2816037,[1 1]
20060606,37.0,37.0,35.0,36.0,3310165,[1 0]
20060607,36.3,36.5,35.02,36.5,1198235,[1 0]
20060608,36.0,36.0,34.0,35.0,1842750,[1 1]
20060609,35.0,35.0,34.0,34.0,432434,[0 0]
20060612,34.0,34.55,32.0,32.7,1642740,[0 0]
20060613,32.5,32.5,28.01,31.3,1473585,[1 0]
20060614,32.25,33.0,31.0,31.0,1590753,[1 0]
20060616,32.51,33.62,31.41,31.6,835513,[1 0]
20060619,31.6,31.6,29.4,30.98,442302,[1 1]
20060620,30.01,30.99,28.51,28.8,2070981,[0 1]
20060621,28.0,30.0,28.0,28.98,655171,[0 1]
20060622,28.6,29.0,28.01,29.0,806185,[0 0]
20060623,28.0,29.0,27.5,29.0,1235486,[1 0]
20060626,28.0,31.0,28.0,29.03,2740273,[0 1]
20060627,30.0,30.0,28.05,28.05,1153192,[0 0]
20060628,29.14,29.58,28.12,28.8,1648396,[0 0]
20060629,29.85,31.0,29.85,30.8,1519205,[1 1]
20060630,31.6,33.7,30.75,33.7,3115352,[0 1]
20060703,32.0,34.3,32.0,33.21,3157201,[1 1]
20060704,33.66,34.9,33.12,34.35,2722017,[0 0]
20060705,34.0,35.0,33.13,35.0,1034149,[0 1]
20060706,33.51,35.4,33.51,35.4,1987844,[1 1]
20060707,35.0,35.2,34.4,34.5,2028447,[0 0]
20060710,34.51,35.89,34.4,35.89,1771054,[0 1]
20060711,35.8,35.8,33.21,35.0,1279841,[0 0]
20060712,34.0,35.7,33.26,33.7,2334975,[1 1]
20060713,33.65,34.3,33.31,33.9,432650,[0 1]
20060714,33.9,33.9,33.0,33.3,442814,[1 0]
20060717,33.55,33.97,32.0,33.97,1617121,[0 0]
20060718,33.0,33.0,31.0,32.0,772789,[0 1]
20060719,33.0,33.2,32.91,33.2,997891,[1 0]
20060720,33.0,33.49,32.5,32.5,925950,[0 0]
20060721,33.21,33.21,32.05,32.49,1064088,[0 0]
20060724,31.51,32.9,31.51,32.9,1423677,[0 1]
20060725,32.0,32.9,32.0,32.9,971235,[1 0]
20060726,32.5,32.7,31.8,32.3,1311430,[0 0]
