date,open,max,min,close,volume,y
20070723,9.5,9.56,9.01,9.3,79816209,[0 0]
20070724,9.4,9.55,9.05,9.26,8455539,[0 0]
20070725,9.49,9.5,9.04,9.2,1885534,[1 0]
20070726,9.1,9.37,8.91,9.08,2030360,[1 0]
20070727,9.2,9.35,8.9,9.03,1798008,[0 0]
20070730,9.43,9.48,9.23,9.41,1475684,[0 1]
20070731,9.26,9.7,9.26,9.41,6489038,[0 0]
20070801,9.4,9.5,9.21,9.49,984534,[1 0]
20070802,9.27,9.39,9.22,9.24,581139,[0 0]
20070803,9.15,9.2,9.07,9.2,319315,[1 0]
20070806,9.3,9.37,8.83,9.2,457403,[1 0]
20070807,8.82,9.33,8.82,9.0,108026,[1 1]
20070808,9.2,9.52,9.04,9.3,1737691,[0 1]
20070809,9.3,9.3,9.02,9.15,315591,[1 1]
20070810,9.0,9.2,9.0,9.01,112158,[1 0]
20070813,9.3,9.5,9.02,9.02,228496,[1 0]
20070814,9.47,9.5,8.88,9.02,323593,[1 0]
20070815,8.89,8.89,8.4,8.4,451357,[0 0]
20070816,8.0,8.1,6.5,6.5,503879,[1 1]
20070817,8.01,8.09,6.5,7.59,483563,[0 0]
20070820,7.3,7.5,7.3,7.5,22200,[0 1]
20070821,7.17,7.99,7.17,7.99,90879,[1 0]
20070822,7.98,7.98,7.2,7.38,250843,[0 1]
20070823,7.2,7.4,7.0,7.4,380103,[0 0]
20070824,7.02,7.49,7.02,7.49,266159,[0 0]
20070827,7.92,7.92,7.49,7.49,89126,[1 1]
20070828,8.0,8.0,7.67,7.67,16305,[0 1]
20070829,7.2,8.1,7.2,8.0,344090,[0 1]
20070830,8.0,8.15,8.0,8.15,45285,[0 0]
20070831,8.4,8.8,8.4,8.55,311074,[1 1]
20070903,8.75,8.75,8.0,8.0,173515,[0 1]
20070904,8.1,8.96,8.1,8.96,115290,[1 0]
20070905,8.2,8.39,7.97,7.97,89078,[0 1]
20070910,8.0,8.15,8.0,8.15,47533,[1 0]
20070911,8.1,8.1,7.8,8.1,232856,[1 1]
20070912,7.71,7.75,7.71,7.75,43340,[1 0]
20070913,7.71,7.72,7.71,7.72,122839,[0 1]
20070914,7.76,7.8,7.75,7.75,119773,[0 1]
20070917,7.83,7.83,7.8,7.8,165560,[0 0]
20070918,7.62,7.66,7.62,7.66,113196,[1 0]
20070919,7.63,7.7,7.3,7.55,312903,[1 0]
20070920,7.51,7.51,7.32,7.36,83763,[0 0]
20070921,7.59,7.61,7.38,7.55,173246,[0 1]
20070924,7.6,7.93,7.6,7.93,245195,[0 1]
20070925,8.0,8.0,7.7,7.8,64010,[1 1]
20070926,7.62,7.9,7.61,7.65,258516,[0 1]
20070927,7.95,8.0,7.7,7.7,84515,[0 1]
20070928,7.7,7.75,7.65,7.69,169019,[0 0]
20071001,7.7,7.72,7.66,7.66,179262,[0 1]
20071002,7.65,7.7,7.6,7.6,211503,[1 0]
20071003,7.5,7.5,7.45,7.5,107795,[1 0]
20071004,7.5,7.55,7.34,7.55,103911,[0 1]
20071005,7.6,7.65,7.34,7.6,317124,[1 0]
20071008,7.7,7.7,7.46,7.51,112905,[0 1]
20071009,7.75,8.0,7.6,8.0,424246,[0 1]
20071010,7.7,8.0,7.6,7.6,295441,[1 0]
20071011,7.9,7.9,7.62,7.7,240489,[0 1]
20071015,7.34,7.7,7.34,7.4,54699,[0 0]
20071016,7.53,7.53,7.22,7.22,143691,[1 1]
20071017,7.3,7.51,7.3,7.31,166100,[0 1]
20071019,7.35,7.5,7.31,7.5,145833,[1 0]
20071022,7.35,7.5,7.31,7.5,147651,[1 0]
20071023,7.59,7.92,7.48,7.53,174388,[1 1]
20071024,7.7,7.9,7.7,7.8,161448,[0 1]
20071025,7.76,7.76,7.75,7.75,30240,[0 1]
20071026,7.53,7.75,7.53,7.6,227736,[1 0]
20071029,7.6,7.81,7.6,7.68,89058,[0 1]
20071030,7.56,7.69,7.52,7.69,156877,[0 1]
20071031,7.52,7.6,7.31,7.32,184747,[0 0]
20071101,7.5,7.5,7.4,7.4,57550,[1 0]
20071105,7.42,7.42,7.42,7.42,11130,[0 1]
20071106,7.43,7.51,7.37,7.5,76143,[1 0]
20071107,7.5,7.5,7.35,7.35,75930,[1 0]
20071108,7.5,7.69,7.31,7.31,179433,[0 0]
20071109,7.34,7.35,7.34,7.34,129265,[0 1]
20071112,6.8,6.85,6.5,6.85,87700,[0 0]
20071113,6.85,7.4,6.85,7.4,98826,[0 0]
20071114,7.4,7.4,6.75,6.8,106037,[0 1]
20071116,6.72,7.0,6.03,6.03,88555,[0 1]
20071121,6.35,6.35,6.0,6.2,114562,[0 0]
20071122,6.16,6.16,5.8,5.9,169842,[0 0]
20071123,6.0,6.2,6.0,6.2,92000,[0 0]
20071126,6.0,6.0,5.65,5.65,1165,[0 0]
20071127,5.65,5.65,5.59,5.59,35439,[0 1]
20071128,5.55,5.75,4.81,5.4,331263,[0 1]
20071129,5.2,5.42,4.81,4.81,137916,[1 0]
20071130,4.8,5.5,4.8,5.05,180930,[1 0]
20071203,5.4,5.55,5.02,5.02,77612,[0 1]
20071204,5.3,5.5,5.3,5.5,80675,[0 1]
