date,open,max,min,close,volume,y
20070824,37.82,39.99,37.4,38.4,925309600,[0 0]
20070827,37.71,38.5,37.06,37.8,276994900,[1 1]
20070828,37.97,37.97,36.11,36.4,291047600,[1 0]
20070829,36.53,38.38,35.61,38.0,463646900,[1 0]
20070830,38.0,39.5,37.61,38.29,806717700,[1 0]
20070831,39.0,40.5,38.11,40.5,1227017300,[1 1]
20070903,40.6,40.67,39.0,39.7,415973300,[0 0]
20070904,39.5,40.59,39.3,40.1,519909700,[0 1]
20070905,40.0,40.24,39.02,39.65,598307100,[0 0]
20070906,40.47,40.9,40.0,40.9,1497824300,[1 1]
20070910,39.26,41.0,39.01,40.69,1519976700,[0 1]
20070911,40.5,41.8,40.5,41.5,1158133300,[0 1]
20070912,41.0,43.0,40.02,41.88,1382367900,[0 0]
20070913,43.01,43.01,41.61,41.61,598757300,[0 1]
20070914,41.6,41.6,40.67,41.0,1122971300,[1 0]
20070917,40.52,41.22,39.3,39.95,434776600,[1 1]
20070918,40.69,42.5,39.95,41.0,1072383800,[1 1]
20070919,40.71,41.98,40.02,40.9,649541000,[1 0]
20070920,40.66,41.29,38.7,39.84,1129687300,[0 1]
20070921,39.97,40.0,39.1,39.9,514852500,[1 0]
20070924,40.49,40.49,39.4,40.0,301004800,[0 0]
20070925,39.71,40.2,39.61,39.89,321271400,[0 1]
20070926,40.25,41.5,40.0,40.92,486088700,[0 0]
20070927,40.02,41.34,39.55,40.3,2136599800,[1 1]
20070928,40.65,41.2,39.62,41.0,1323053400,[1 1]
20071001,41.0,41.2,39.74,40.45,1806031600,[0 1]
20071015,42.79,43.38,39.2,40.1,1182379400,[0 1]
20071016,40.05,40.8,38.56,39.3,820915000,[0 0]
20071017,39.5,41.9,39.5,40.5,3905310900,[1 0]
20071018,40.0,40.97,39.12,40.6,937190400,[0 0]
20071019,40.77,42.49,38.5,39.4,1799913600,[1 0]
20071022,39.4,41.4,39.0,40.1,1079045000,[1 0]
20071023,40.76,41.89,40.43,41.65,482744700,[1 1]
20071024,41.67,42.87,40.9,41.75,650403600,[0 1]
20071025,41.61,43.1,41.12,42.7,483721200,[0 1]
20071026,42.49,43.9,41.41,43.9,980278000,[0 1]
20071029,43.83,44.77,42.25,42.69,797748400,[0 1]
20071030,42.7,43.46,41.3,41.98,1102503900,[0 0]
20071031,41.56,42.74,40.75,42.06,1230100400,[1 1]
20071101,41.4,43.28,41.4,42.74,2600434000,[0 0]
20071105,42.44,42.99,41.78,42.0,1905599700,[0 1]
20071119,41.41,41.41,40.15,40.87,267403900,[1 1]
20071121,39.72,40.82,39.13,40.45,572821800,[0 1]
20071122,39.75,40.9,38.62,39.65,748072700,[0 1]
20071123,40.34,40.86,39.17,40.6,403375100,[1 1]
20071126,40.4,40.42,37.01,38.0,1203412900,[0 1]
20071127,37.84,38.19,36.71,37.3,846067200,[0 1]
20071128,38.01,39.39,37.71,38.3,678442900,[0 1]
20071129,38.02,39.78,37.8,39.48,743275400,[1 0]
20071130,39.61,40.0,38.6,39.5,738820300,[0 0]
20071203,40.09,41.14,39.77,40.99,1714437000,[1 0]
20071204,39.8,41.0,39.5,40.25,1102251400,[1 0]
