date,open,max,min,close,volume,y
20090526,2.05,2.05,2.05,2.05,41000,[1 0]
20090527,4.0,4.47,4.0,4.19,59905800,[0 1]
20090528,4.56,4.8,4.0,4.0,37668000,[0 0]
20090529,3.89,4.22,3.89,3.92,2170200,[1 0]
20090601,4.23,4.23,4.0,4.09,142131500,[1 1]
20090602,4.05,4.1,4.0,4.0,4213500,[1 0]
20090603,4.14,4.14,3.86,3.86,5551500,[1 0]
20090604,3.86,4.05,3.86,4.05,3260000,[0 1]
20090605,4.17,4.17,3.95,3.95,1131300,[0 0]
20090608,4.01,4.02,4.01,4.01,10516200,[0 1]
20090609,4.13,4.13,4.13,4.13,6195000,[1 1]
20090610,4.2,4.29,4.2,4.2,19751200,[0 0]
20090612,4.2,4.2,4.2,4.2,84000,[1 0]
20090615,4.2,4.29,4.2,4.25,26167400,[1 0]
20090616,4.24,4.24,4.2,4.2,32012000,[1 0]
20090617,4.19,4.19,4.1,4.1,1252500,[1 0]
20090618,4.1,4.15,4.1,4.15,1947500,[1 0]
20090619,4.15,4.15,4.15,4.15,124500,[0 1]
20090622,4.11,4.11,4.1,4.1,82100,[0 1]
20090623,4.06,4.06,4.06,4.06,40600,[1 1]
20090624,4.12,4.2,4.1,4.2,2762000,[1 0]
20090625,4.12,4.33,4.05,4.33,4010400,[0 1]
20090626,4.39,4.39,4.39,4.39,43900,[0 1]
20090629,4.3,4.3,4.3,4.3,86000,[0 0]
20090630,4.3,4.3,4.25,4.27,67237800,[1 1]
20090701,4.25,4.3,4.25,4.3,19150000,[0 1]
20090702,4.3,4.3,4.25,4.25,12684500,[1 1]
20090703,4.26,4.26,4.26,4.26,170400,[1 0]
20090706,4.26,4.26,4.26,4.26,2385600,[0 1]
20090707,4.37,4.38,4.37,4.38,4379900,[0 1]
20090708,4.26,4.26,4.26,4.26,1917000,[1 0]
20090710,4.39,4.39,4.39,4.39,87800,[0 1]
20090714,4.33,4.33,4.33,4.33,86600,[1 1]
20090715,4.5,4.5,4.5,4.5,405000,[1 0]
20090716,4.5,4.5,4.5,4.5,2880000,[1 0]
20090720,4.4,4.4,4.4,4.4,616000,[0 1]
20090721,4.5,4.5,4.5,4.5,2475000,[1 0]
20090722,4.5,4.5,4.5,4.5,270000,[1 0]
20090727,4.53,4.53,4.53,4.53,181200,[1 1]
20090728,4.6,4.6,4.6,4.6,690000,[1 0]
20090803,4.6,4.98,4.6,4.63,9730400,[0 1]
20090804,5.0,5.14,5.0,5.0,1664000,[0 0]
20090805,5.0,5.0,5.0,5.0,50000,[1 0]
20090806,5.0,5.0,5.0,5.0,1500000,[0 0]
20090807,5.14,5.14,5.14,5.14,514000,[0 1]
20090811,5.1,5.11,5.0,5.11,756500,[0 1]
20090812,5.2,5.2,5.2,5.2,468000,[0 1]
20090813,5.35,5.35,5.2,5.2,3656000,[1 1]
20090828,5.05,5.05,5.05,5.05,10100000,[0 0]
20090831,5.14,5.44,5.14,5.44,23903500,[1 0]
20090901,5.55,5.7,5.55,5.7,5876000,[1 1]
20090902,5.75,5.75,5.53,5.69,1072100,[1 1]
20090903,5.7,5.7,5.7,5.7,57000,[1 0]
20090908,5.65,5.85,5.65,5.85,5571000,[1 0]
20090909,5.9,5.94,5.9,5.94,712000,[0 1]
20090910,5.95,6.1,5.95,6.1,4658500,[1 1]
20090915,6.1,6.1,6.1,6.1,6161000,[1 1]
20090916,5.99,6.05,5.99,6.05,12340900,[0 0]
20090917,6.09,6.1,6.05,6.1,10958000,[0 1]
20090918,6.1,6.18,6.1,6.1,21247000,[0 1]
20090921,6.12,6.12,6.12,6.12,2754000,[1 0]
20090922,6.07,6.38,6.07,6.38,4997000,[1 0]
20090923,6.25,6.25,6.2,6.25,36804500,[1 1]
20090924,6.25,6.25,6.2,6.2,5617500,[0 0]
20090928,6.18,6.25,6.18,6.25,4278200,[1 1]
20090929,6.25,6.39,6.25,6.35,3693300,[1 0]
20090930,6.39,6.44,6.39,6.44,19899000,[0 0]
20091001,6.35,6.45,6.3,6.45,17839000,[0 0]
20091002,6.28,6.28,6.28,6.28,376800,[0 0]
20091005,6.4,6.4,6.4,6.4,64000,[0 1]
20091006,6.45,6.45,6.4,6.4,13281000,[0 0]
20091007,6.45,6.45,6.32,6.32,4126700,[0 0]
20091008,6.5,6.5,6.45,6.45,2401500,[1 1]
20091009,6.77,6.77,6.5,6.5,1377700,[0 1]
20091013,6.49,6.49,6.49,6.49,6814500,[0 1]
20091014,6.4,6.6,6.4,6.52,26607600,[1 1]
20091015,6.64,6.64,6.5,6.5,14886400,[0 1]
20091016,6.5,6.55,6.5,6.53,15170500,[0 0]
20091019,6.45,6.54,6.45,6.54,6468000,[0 1]
20091020,6.69,6.69,6.69,6.69,133800,[0 0]
20091021,6.36,6.65,6.36,6.47,327400,[1 0]
20091022,6.45,6.45,6.45,6.45,1935000,[1 1]
20091023,6.45,6.57,6.45,6.57,1040400,[0 0]
20091027,6.5,6.5,6.5,6.5,16445000,[0 1]
20091028,6.54,6.54,6.41,6.45,14930600,[0 1]
20091029,6.52,6.52,6.52,6.52,1956000,[0 1]
20091103,6.4,6.49,6.35,6.49,4845900,[1 0]
20091104,6.54,6.54,6.35,6.35,3577900,[1 1]
20091105,6.35,6.35,6.33,6.33,6337800,[1 0]
20091106,6.3,6.35,6.3,6.3,12664000,[0 0]
20091109,6.35,6.5,6.35,6.5,26133500,[0 1]
20091110,6.55,6.55,6.49,6.49,6343300,[0 1]
20091111,6.55,6.55,6.38,6.55,912100,[0 1]
20091112,6.55,6.55,6.48,6.48,8775000,[1 1]
20091113,6.46,6.5,6.46,6.5,7906900,[0 0]
20091116,6.53,6.56,6.53,6.56,3984600,[0 0]
20091117,6.55,6.59,6.55,6.59,13401200,[1 0]
20091118,6.59,6.59,6.59,6.59,65900,[0 1]
20091119,6.6,6.6,6.59,6.59,395900,[0 1]
20091123,6.6,6.69,6.6,6.67,16937500,[0 1]
20091125,6.67,6.67,6.67,6.67,333500,[1 1]
20091126,6.66,6.71,6.63,6.71,41631400,[0 0]
20091127,6.79,6.8,6.79,6.8,6858000,[0 0]
20091130,6.87,6.87,6.87,6.87,68700,[1 0]
20091201,6.98,6.99,6.98,6.99,11169100,[1 1]
20091202,7.1,7.1,7.1,7.1,893464000,[0 0]
20091203,7.05,7.1,7.05,7.1,989000,[1 0]
20091204,7.2,7.2,7.2,7.2,72000,[1 0]
20091207,7.1,7.1,7.1,7.1,21300000,[0 0]
20091208,7.1,7.1,7.05,7.1,12353000,[0 1]
20091209,7.1,7.15,7.1,7.15,1847000,[0 0]
20091210,7.15,7.2,7.15,7.2,1216000,[1 1]
20091211,7.25,7.3,7.25,7.3,1668000,[0 1]
20091214,7.45,7.5,7.36,7.5,8195400,[1 0]
20091215,7.55,7.55,7.55,7.55,75500,[0 0]
20091216,7.55,7.55,7.55,7.55,75500,[0 0]
20091217,7.35,7.55,7.35,7.55,1839500,[0 1]
20091218,7.35,7.55,7.1,7.1,8449000,[0 1]
20091221,7.49,7.49,7.49,7.49,74900,[0 0]
