date,open,max,min,close,volume,y
20070507,50.44,50.44,50.44,50.44,1008800,[1 1]
20070509,60.0,60.0,60.0,60.0,600000,[0 0]
20080609,60.49,60.49,60.49,60.49,604900,[0 0]
20080630,60.0,60.0,60.0,60.0,600000,[0 1]
20080723,58.5,58.5,58.5,58.5,1170000,[0 1]
20100303,55.83,55.83,55.83,55.83,6141300,[1 0]
20100324,54.64,54.64,50.08,50.08,3187200,[0 1]
20110805,20.01,20.01,20.01,20.01,200100,[1 0]
20110817,26.99,27.91,26.56,27.7,2279570500,[0 1]
20110830,26.9,27.4,26.66,27.36,2641184700,[1 1]
20110831,27.8,27.8,27.08,27.79,4459552900,[1 1]
20110901,28.05,29.23,28.05,29.0,6207764400,[0 0]
20110902,28.5,29.23,28.36,28.36,6368930900,[0 0]
20110905,27.91,28.08,27.36,27.5,1560334400,[1 1]
20110906,26.91,28.39,26.9,28.1,3435034100,[0 1]
20110908,28.35,29.15,27.86,29.15,3664564300,[0 0]
20110909,28.81,28.91,27.83,28.5,3036516900,[1 1]
20110912,28.57,28.79,27.91,28.23,1520207000,[1 0]
20110913,28.23,28.8,28.14,28.5,967898800,[1 0]
20110914,28.5,29.31,28.26,28.8,2017919500,[1 0]
20110915,28.81,29.6,28.81,29.1,1393815900,[1 1]
20110916,28.86,29.48,28.77,29.3,2223813900,[0 0]
20110919,28.99,29.55,28.83,29.5,2108119000,[1 0]
20110920,29.68,30.08,29.2,29.5,2099019500,[1 0]
20110921,29.8,30.41,29.39,29.39,1765318600,[0 0]
20110922,28.81,29.3,27.63,28.48,3163766800,[0 1]
20110923,28.19,28.66,28.1,28.35,2195596800,[1 0]
20110926,28.45,29.33,28.14,28.9,2741447300,[1 0]
20110927,29.29,29.78,29.08,29.6,2845468500,[0 0]
20110928,29.73,30.14,29.37,29.5,2211590500,[1 0]
20110929,29.99,30.15,29.5,29.67,2212681700,[1 0]
20110930,29.35,30.2,29.32,29.5,4098866100,[0 0]
20111003,29.17,29.95,29.09,29.24,3403476300,[1 1]
20111004,29.1,30.0,28.46,29.6,3394336100,[0 1]
20111005,29.52,30.29,29.52,30.08,2763181600,[1 0]
20111006,30.4,30.61,30.08,30.23,3206974200,[1 1]
20111007,30.22,30.62,29.18,29.64,2360519100,[0 1]
20111010,29.8,30.04,29.42,29.86,2495565300,[1 0]
20111011,29.83,29.88,29.46,29.8,2818353400,[0 0]
20111013,30.28,31.38,30.0,30.75,7456881100,[0 0]
20111014,31.13,31.61,30.21,30.55,3129465700,[0 1]
20111017,30.45,31.13,30.08,31.1,1731542600,[1 0]
20111018,31.29,32.0,31.01,31.89,1915532100,[0 1]
20111019,31.88,32.09,30.48,30.99,4179965700,[0 1]
20111020,30.95,30.95,30.15,30.7,2151206000,[0 1]
20111021,30.74,31.8,30.74,31.7,1761468400,[0 0]
20111024,31.85,32.31,31.11,31.15,2264098200,[0 1]
20111025,31.15,31.4,30.49,31.2,1908644700,[1 0]
20111026,31.56,31.56,30.32,30.99,2846370300,[0 1]
20111027,31.75,31.75,30.3,30.6,3791779100,[0 1]
20111028,30.42,31.11,30.31,30.6,3909302400,[1 1]
20111031,30.6,30.88,30.1,30.6,2743063600,[1 1]
20111101,29.61,31.1,29.61,30.88,1789634000,[1 0]
20111103,31.1,31.37,30.69,31.35,2202549200,[0 0]
20111104,31.01,31.4,31.0,31.21,2233045500,[0 0]
20111107,31.21,32.31,31.21,32.31,3282815900,[0 1]
20111108,32.21,32.6,31.7,32.25,3133766100,[1 1]
20111109,32.0,32.18,31.61,31.71,3566392500,[1 1]
20111110,32.75,32.75,30.71,31.0,2369507700,[0 1]
20111111,31.09,31.85,31.09,31.74,1788059500,[0 1]
20111114,31.97,32.0,31.28,31.38,1047192300,[0 0]
20111116,31.15,31.6,30.91,31.45,1548880700,[0 1]
20111117,31.27,31.64,30.81,31.1,2180855300,[1 1]
20111118,31.06,31.25,30.62,30.62,1825570100,[1 1]
20111121,30.8,30.91,30.12,30.25,2414159800,[1 1]
20111122,30.57,30.69,30.14,30.4,904493200,[1 1]
20111123,30.2,30.62,29.92,30.55,1843513300,[1 1]
20111124,30.58,30.58,29.7,29.7,927578500,[0 0]
20111125,29.8,30.78,29.63,30.17,1264840400,[0 0]
20111128,30.41,31.1,30.41,30.55,930849400,[1 0]
20111129,30.6,31.25,30.35,30.35,2201604900,[1 0]
20111130,31.02,32.2,30.35,31.82,3573838700,[1 0]
20111201,32.2,32.67,32.1,32.45,1908294100,[0 0]
20111202,32.51,33.4,31.57,31.67,1902217200,[1 1]
