date,open,max,min,close,volume,y
20050902,38.73,38.73,38.73,38.73,7746,[1 1]
20080312,60.0,60.0,60.0,60.0,216000,[1 0]
20080609,63.01,63.01,63.01,63.01,6301,[0 0]
20080630,63.51,63.51,63.51,63.51,196881,[1 1]
20081029,55.55,55.55,55.55,55.55,88880,[0 1]
20090202,50.08,50.08,50.08,50.08,185296,[1 0]
20090205,50.08,50.08,50.08,50.08,250400,[0 1]
20090210,57.5,57.5,57.5,57.5,28750,[1 0]
20090408,58.0,58.0,58.0,58.0,5800,[1 1]
20090514,44.51,55.0,44.51,55.0,27755,[0 1]
20090608,58.0,58.01,58.0,58.01,121808,[1 0]
20100303,60.01,60.01,60.01,60.01,456076,[1 0]
20100415,50.09,50.09,50.09,50.09,75135,[1 1]
20100419,100.0,100.0,100.0,100.0,150000,[0 0]
20100505,50.08,50.08,50.08,50.08,25040,[1 1]
20100707,99.0,99.0,99.0,99.0,9900,[0 0]
20100809,100.0,100.0,100.0,100.0,100000,[1 1]
20100810,90.02,90.02,90.02,90.02,9002,[0 0]
20100811,99.99,99.99,99.99,99.99,89991,[0 1]
20101001,102.08,102.08,102.08,102.08,285824,[1 1]
20110112,73.0,73.0,73.0,73.0,219000,[0 1]
20110114,94.99,94.99,93.0,93.0,66294,[0 0]
20110325,20.0,20.0,20.0,20.0,8000,[1 0]
20110428,30.0,30.0,30.0,30.0,48000,[1 1]
20110512,20.09,20.09,20.09,20.09,12054,[1 0]
20110523,30.0,30.0,30.0,30.0,36000,[1 0]
20110803,32.0,32.0,32.0,32.0,166400,[1 1]
20110817,27.35,27.75,27.21,27.75,2309137,[0 0]
20110830,26.8,27.97,26.0,27.38,2218290,[1 1]
20110831,28.46,28.46,27.02,27.98,3949606,[0 1]
20110901,28.55,29.2,28.2,28.5,4513741,[1 0]
20110902,28.9,29.26,28.0,28.01,3928508,[0 1]
20110905,27.64,27.94,27.39,27.46,2717147,[0 1]
20110906,27.0,28.79,26.91,28.48,2989573,[0 0]
20110908,28.96,29.1,28.19,29.08,5511701,[1 0]
20110909,29.15,29.15,27.94,28.59,6088163,[1 1]
20110912,28.47,28.5,28.0,28.5,965681,[0 1]
20110913,28.98,28.98,28.0,28.0,1883974,[1 0]
20110914,28.53,29.24,28.21,28.9,1793845,[0 1]
20110915,29.46,29.5,28.89,29.09,2715853,[1 1]
20110916,29.0,29.33,28.84,29.25,599677,[0 0]
20110919,29.2,29.49,29.07,29.07,1890495,[0 1]
20110920,29.5,30.07,29.33,29.7,3493939,[0 0]
20110921,29.8,30.33,29.12,29.12,2381791,[1 1]
20110922,28.6,29.29,27.67,28.25,2786817,[0 1]
20110923,28.48,29.77,28.15,28.94,1635903,[1 0]
20110926,28.52,29.49,28.26,28.7,1807384,[1 1]
20110927,29.29,29.71,29.15,29.29,3890855,[1 0]
20110928,29.9,30.11,28.02,29.5,1855435,[1 0]
20110929,28.05,30.07,28.05,29.59,1558858,[1 0]
20110930,29.3,30.0,29.0,29.0,5664031,[0 1]
20111003,29.6,30.0,29.4,29.72,4510739,[0 1]
20111004,29.15,29.96,28.78,29.72,6066236,[1 0]
20111005,30.0,30.3,29.61,30.3,3229139,[1 1]
20111006,30.02,30.59,30.02,30.35,4220094,[1 0]
20111007,30.2,30.59,29.36,29.61,3205935,[0 1]
20111010,31.45,31.45,29.5,29.53,3992346,[0 1]
20111011,29.68,29.84,29.55,29.8,2178905,[0 0]
20111013,30.89,31.39,29.33,30.7,4564630,[1 0]
20111014,31.3,31.3,30.2,30.49,2935119,[1 1]
20111017,30.5,31.09,30.25,31.09,1914002,[0 1]
