date,open,max,min,close,volume,y
19980317,0.34,0.34,0.34,0.34,340000,[1 0]
19980323,0.4,0.4,0.4,0.4,20400000,[0 1]
19980324,0.41,0.41,0.4,0.4,31210000,[0 1]
19980325,0.4,0.4,0.4,0.4,6000000,[0 0]
19980326,0.42,0.42,0.42,0.42,1260000,[0 1]
19980416,0.4,0.4,0.4,0.4,800000,[0 1]
19980422,0.45,0.45,0.45,0.45,900000,[0 1]
19980813,0.35,0.35,0.35,0.35,1400000,[1 0]
19980924,0.3,0.3,0.3,0.3,600000,[0 1]
19980925,0.28,0.28,0.28,0.28,1400000,[1 1]
19980929,0.3,0.3,0.3,0.3,900000,[1 1]
19981009,0.3,0.3,0.3,0.3,600000,[0 1]
19990311,0.3,0.31,0.3,0.31,4510000,[0 1]
19990317,0.3,0.3,0.3,0.3,600000,[0 0]
19990611,0.41,0.41,0.41,0.41,4100000,[1 1]
19990621,0.45,0.45,0.45,0.45,450000,[0 0]
19990622,0.45,0.45,0.45,0.45,450000,[0 1]
19990714,0.43,0.43,0.43,0.43,430000,[0 1]
19990830,0.5,0.5,0.5,0.5,3000000,[1 0]
19990927,0.52,0.52,0.52,0.52,520000,[0 0]
19991117,0.9,0.9,0.9,0.9,2700000,[0 0]
19991119,0.93,0.93,0.93,0.93,930000,[0 0]
19991229,1.3,1.3,1.3,1.3,1300000,[0 0]
20000626,1.07,1.07,1.07,1.07,428000,[1 0]
20000627,1.1,1.1,1.1,1.1,220000,[0 1]
20000703,1.1,1.1,1.1,1.1,110000,[0 1]
20000710,1.27,1.27,1.27,1.27,381000,[0 0]
20000711,1.27,1.27,1.27,1.27,508000,[0 1]
20000718,1.24,1.24,1.24,1.24,248000,[0 1]
20000719,1.26,1.26,1.26,1.26,2394000,[0 0]
20000724,1.5,1.5,1.5,1.5,3000000,[1 0]
20000725,1.5,1.5,1.5,1.5,56700000,[0 1]
20000727,1.5,1.5,1.5,1.5,150000,[1 0]
20000801,1.5,1.5,1.5,1.5,300000,[0 0]
20000804,1.55,1.55,1.55,1.55,310000,[0 0]
20000807,1.46,1.46,1.46,1.46,1606000,[1 1]
20000814,1.6,1.7,1.6,1.7,3300000,[0 0]
20000815,1.8,1.8,1.8,1.8,3600000,[0 0]
20000816,1.7,1.7,1.7,1.7,340000,[0 1]
20000822,1.7,1.7,1.7,1.7,170000,[1 0]
20000829,1.65,1.65,1.65,1.65,165000,[0 0]
20000912,1.55,1.55,1.55,1.55,155000,[1 1]
20000913,1.5,1.5,1.5,1.5,150000,[1 0]
20001005,1.5,1.5,1.5,1.5,150000,[1 0]
20001107,1.3,1.3,1.3,1.3,780000,[1 0]
20000203,1.12,1.12,1.12,1.12,112000,[0 1]
20000209,1.11,1.11,1.11,1.11,111000,[0 0]
20000210,1.3,1.3,1.3,1.3,2600000,[0 1]
20000216,1.2,1.2,1.2,1.2,1920000,[0 1]
20000217,1.2,1.2,1.2,1.2,120000,[1 0]
20000218,1.3,1.3,1.3,1.3,6110000,[0 0]
20000324,1.23,1.23,1.23,1.23,7995000,[0 0]
20000327,1.4,1.5,1.4,1.5,4300000,[0 0]
20000329,1.5,1.5,1.5,1.5,450000,[0 1]
20001220,1.25,1.25,1.25,1.25,125000,[1 0]
20001221,1.01,1.01,1.0,1.0,3391014000,[1 0]
20001227,1.13,1.13,1.13,1.13,113000,[0 1]
20001228,1.13,1.13,1.13,1.13,113000,[0 1]
20010112,1.15,1.15,1.15,1.15,1150000,[0 1]
20010115,1.15,1.15,1.15,1.15,1150000,[0 0]
20010116,1.15,1.15,1.15,1.15,1955000,[0 0]
20010117,1.2,1.21,1.2,1.21,10850000,[1 0]
20010118,1.17,1.2,1.16,1.2,5930000,[1 0]
20010122,1.17,1.17,1.17,1.17,1170000,[1 1]
20010124,1.2,1.2,1.2,1.2,1080000,[0 0]
20010126,1.25,1.27,1.25,1.27,252000,[0 0]
20010129,1.27,1.27,1.27,1.27,254000,[0 1]
20010131,1.2,1.2,1.2,1.2,2640000,[0 1]
20010201,1.2,1.2,1.2,1.2,120000,[0 0]
20010205,1.16,1.16,1.16,1.16,1160000,[0 0]
20010212,1.16,1.16,1.16,1.16,116000,[1 0]
20010213,1.21,1.21,1.21,1.21,2420000,[0 0]
20010216,1.25,1.25,1.25,1.25,2375000,[0 1]
20010219,1.25,1.25,1.25,1.25,125000,[0 0]
20010220,1.2,1.2,1.2,1.2,480000,[0 0]
20010308,1.2,1.2,1.2,1.2,1200000,[1 1]
20010312,1.1,1.1,1.1,1.1,110000,[0 1]
20010313,1.1,1.1,1.1,1.1,1210000,[0 1]
20010314,1.14,1.14,1.14,1.14,1824000,[1 0]
20010316,1.1,1.17,1.1,1.17,10570000,[0 1]
20010319,1.17,1.17,1.17,1.17,117000,[0 0]
20010322,1.17,1.17,1.12,1.12,229000,[1 0]
20010323,1.11,1.11,1.11,1.11,1110000,[0 1]
20010405,1.13,1.13,1.13,1.13,565000,[0 0]
20010409,1.17,1.22,1.17,1.22,3632000,[1 1]
20010410,1.25,1.25,1.25,1.25,12000000,[1 1]
20010411,1.25,1.25,1.15,1.15,2080000,[0 0]
20010416,1.2,1.2,1.17,1.17,237000,[0 1]
20010417,1.19,1.19,1.17,1.17,472000,[1 1]
20010418,1.2,1.2,1.2,1.2,1680000,[0 0]
20010419,1.2,1.2,1.2,1.2,1200000,[0 1]
20010420,1.15,1.15,1.15,1.15,345000,[0 0]
20010427,1.2,1.3,1.2,1.3,3200000,[0 1]
20010511,0.98,0.98,0.98,0.98,980000,[0 1]
20010515,0.95,0.95,0.95,0.95,665000,[0 1]
20010516,0.95,0.95,0.95,0.95,95000,[1 1]
20010517,0.97,0.98,0.97,0.98,5773000,[0 0]
20010601,0.9,0.9,0.9,0.9,270000,[0 0]
20010605,0.94,0.94,0.94,0.94,94000,[0 0]
20010606,0.95,0.95,0.95,0.95,190000,[1 0]
20010611,0.91,0.91,0.91,0.91,17836000,[0 0]
20010615,0.91,0.91,0.91,0.91,182000,[0 1]
20010618,0.9,0.9,0.9,0.9,450000,[0 0]
20010619,0.9,0.9,0.9,0.9,2610000,[1 1]
20010620,0.9,0.9,0.9,0.9,450000,[1 0]
20010621,0.9,0.9,0.9,0.9,630000,[0 0]
20010706,0.87,0.87,0.87,0.87,87000,[0 0]
20010814,0.83,0.83,0.83,0.83,581000,[1 0]
20010815,0.87,0.87,0.87,0.87,174000,[1 0]
20010904,0.9,0.9,0.9,0.9,8640000,[1 0]
20010913,0.87,0.87,0.87,0.87,174000,[0 0]
20011122,1.04,1.04,1.04,1.04,416000,[0 0]
20011128,0.95,0.95,0.95,0.95,9120000,[0 1]
20011203,0.95,0.95,0.95,0.95,5035000,[1 0]
20011212,1.01,1.01,1.01,1.01,101000,[0 0]
20011219,1.01,1.01,1.01,1.01,808000,[0 0]
20020110,1.12,1.12,1.12,1.12,336000,[0 0]
20020115,1.12,1.12,1.12,1.12,112000,[1 0]
20020121,1.2,1.2,1.2,1.2,1200000,[0 0]
20020123,1.15,1.15,1.15,1.15,11040000,[0 0]
20020206,1.09,1.09,1.09,1.09,327000,[0 1]
20020214,1.09,1.09,1.09,1.09,327000,[1 1]
20020218,1.02,1.02,1.02,1.02,102000,[0 0]
20020219,1.15,1.15,1.15,1.15,460000,[1 0]
20020225,1.15,1.15,1.15,1.15,230000,[1 0]
20020308,1.21,1.21,1.21,1.21,242000,[0 0]
20020320,1.21,1.21,1.21,1.21,11979000,[0 0]
20020321,1.26,1.26,1.26,1.26,126000,[0 1]
20020325,1.3,1.3,1.3,1.3,130000,[0 0]
20020327,1.29,1.29,1.29,1.29,258000,[1 0]
20020403,1.25,1.25,1.25,1.25,1000000,[0 0]
20020408,1.25,1.25,1.25,1.25,125000,[0 1]
20020410,1.25,1.25,1.25,1.25,125000,[0 1]
20020422,1.1,1.1,1.1,1.1,110000,[1 0]
20020424,1.25,1.25,1.25,1.25,125000,[0 0]
20020515,1.07,1.1,1.07,1.1,10117000,[0 0]
20020516,1.12,1.12,1.12,1.12,11200000,[0 1]
20020517,1.12,1.12,1.12,1.12,1232000,[0 0]
20020521,1.12,1.12,1.12,1.12,7056000,[1 0]
20020527,1.03,1.03,1.03,1.03,103000,[1 0]
20020528,0.99,0.99,0.95,0.95,770000,[0 0]
20020529,1.08,1.08,1.08,1.08,5400000,[0 0]
20020531,1.08,1.08,1.08,1.08,5616000,[0 1]
20020613,1.0,1.0,1.0,1.0,100000,[0 0]
20020628,0.95,0.95,0.95,0.95,285000,[0 1]
20020702,0.94,0.94,0.94,0.94,11280000,[0 1]
20020710,0.95,1.0,0.95,1.0,9195000,[1 0]
20020730,1.0,1.0,1.0,1.0,1500000,[0 0]
20020813,0.89,0.89,0.89,0.89,89000,[0 0]
20020821,0.89,0.89,0.89,0.89,356000,[0 0]
20020823,0.89,0.89,0.89,0.89,89000,[1 0]
20020829,0.92,0.93,0.92,0.93,11436000,[0 0]
20020904,0.95,0.95,0.95,0.95,8740000,[1 0]
20020906,0.9,0.9,0.9,0.9,900000,[1 0]
20020910,0.91,0.91,0.91,0.91,91000,[0 1]
20020916,0.91,0.91,0.91,0.91,273000,[1 0]
20020918,0.92,0.92,0.92,0.92,43608000,[1 0]
20020925,0.92,0.93,0.92,0.93,11252000,[1 1]
20020930,0.91,0.91,0.91,0.91,910000,[0 0]
20021003,0.91,0.91,0.91,0.91,91000,[0 0]
20021010,0.93,0.93,0.93,0.93,93000,[0 1]
20021011,0.93,0.93,0.93,0.93,93000,[1 0]
20021016,0.91,0.91,0.91,0.91,728000,[1 1]
20021113,1.05,1.05,1.05,1.05,525000,[0 0]
20021114,1.05,1.05,1.05,1.05,525000,[0 1]
20021120,1.05,1.05,1.05,1.05,10500000,[1 0]
20021202,1.12,1.12,1.12,1.12,560000,[0 0]
20021205,1.05,1.05,1.05,1.05,10500000,[0 0]
20021206,1.05,1.05,1.05,1.05,44100000,[1 1]
20021218,1.2,1.2,1.2,1.2,480000,[0 1]
20021220,1.32,1.32,1.32,1.32,528000,[0 0]
20030509,1.75,1.75,1.75,1.75,525000,[1 0]
20030515,1.76,1.76,1.76,1.76,176000,[0 0]
20030115,1.3,1.3,1.3,1.3,13000000,[0 0]
20030113,1.3,1.3,1.3,1.3,130000,[0 1]
20030214,1.04,1.04,1.04,1.04,208000,[0 0]
20030211,1.38,1.38,1.38,1.38,13800000,[0 0]
20030117,1.39,1.39,1.39,1.39,12788000,[1 1]
20030424,1.4,1.4,1.4,1.4,560000,[0 0]
20030423,1.34,1.34,1.34,1.34,804000,[0 1]
20030416,1.34,1.34,1.34,1.34,804000,[0 1]
20030402,1.34,1.34,1.34,1.34,134000,[0 0]
20030313,1.36,1.36,1.36,1.36,12512000,[1 1]
20030310,1.05,1.05,1.05,1.05,10500000,[0 1]
20030306,1.03,1.03,1.03,1.03,12154000,[0 1]
20030228,1.03,1.03,1.03,1.03,103000,[0 0]
20030225,1.04,1.04,1.04,1.04,208000,[0 1]
20030221,1.04,1.04,1.04,1.04,104000,[0 1]
20030528,1.76,1.76,1.76,1.76,176000,[1 0]
20030602,1.76,1.76,1.76,1.76,17600000,[0 0]
20030603,1.9,1.9,1.9,1.9,190000,[1 0]
20030605,1.9,2.0,1.9,2.0,580000,[0 1]
20030606,2.0,2.01,2.0,2.01,20500000,[1 0]
20030610,2.0,2.0,2.0,2.0,400000,[1 0]
20030613,2.0,2.0,2.0,2.0,1600000,[0 0]
20030616,2.0,2.0,2.0,2.0,1200000,[0 0]
20030617,2.0,2.0,2.0,2.0,200000,[1 0]
20030627,1.98,1.98,1.98,1.98,19800000,[0 0]
20030710,1.8,1.8,1.7,1.7,1720000,[0 0]
20030714,1.8,2.0,1.8,2.0,980000,[1 0]
20030723,1.99,1.99,1.99,1.99,19900000,[1 1]
20030808,1.89,1.89,1.89,1.89,189000,[1 1]
20030815,1.89,1.89,1.89,1.89,18900000,[0 0]
20030819,1.88,1.88,1.88,1.88,18800000,[0 1]
20030822,1.88,1.89,1.88,1.89,565000,[0 0]
