date,open,max,min,close,volume,y
20051216,24.0,24.0,20.7,21.0,24169615800,[0 1]
20051219,20.4,21.4,19.11,19.7,7238121200,[0 1]
20051220,20.0,20.56,19.5,20.2,2972689600,[0 1]
20051221,20.6,20.93,19.96,20.0,2488875800,[0 0]
20051222,20.07,20.65,19.98,20.55,547022700,[1 1]
20051223,20.59,20.8,20.2,20.2,205859400,[1 1]
20051226,20.28,20.5,20.2,20.24,218049300,[0 1]
20051227,20.24,20.56,20.1,20.2,517794000,[0 0]
20051228,20.16,20.2,19.3,19.35,1590312900,[1 0]
20051229,19.48,19.8,19.48,19.7,417546800,[0 0]
20060102,19.8,20.0,19.27,19.95,379513200,[1 0]
20060103,19.9,20.6,19.4,20.6,1123495400,[0 1]
20060104,20.64,21.3,20.21,21.3,1447975100,[0 0]
20060105,21.04,21.29,20.85,21.05,1149170500,[1 0]
20060106,20.9,21.3,20.9,21.15,1278061400,[0 1]
20060109,20.99,21.18,20.65,21.0,1418015800,[1 1]
20060110,20.99,21.1,20.5,20.7,572682900,[1 1]
20060111,20.71,21.0,20.67,20.8,2196839600,[0 0]
20060112,20.8,20.89,20.35,20.35,1245806100,[0 1]
20060113,20.25,20.49,19.85,20.0,934436600,[0 1]
20060116,20.0,20.0,19.15,19.64,1095433600,[0 0]
20060117,19.5,19.95,19.2,19.7,1030260500,[0 1]
20060118,19.49,19.7,19.02,19.7,946849700,[1 0]
20060119,19.8,19.8,19.5,19.51,1184697800,[1 1]
20060120,19.3,19.64,19.3,19.62,627212000,[1 1]
20060123,18.99,18.99,18.01,18.25,3420488900,[1 0]
20060124,18.15,19.1,17.51,17.61,3142729600,[0 0]
20060126,17.76,18.86,16.48,18.86,4032465900,[0 1]
20060127,18.4,18.5,17.22,18.4,4369347400,[1 1]
20060130,16.5,16.75,14.0,14.0,3865919600,[1 0]
20060131,14.5,14.95,13.05,14.6,3272005600,[0 0]
20060201,14.5,15.49,14.2,15.45,1246868600,[0 0]
20060202,15.45,16.4,15.4,16.0,1020876200,[1 1]
20060203,16.3,17.45,16.09,17.39,1625340400,[1 0]
20060206,17.44,18.1,17.44,17.8,343178100,[0 1]
20060207,17.81,18.09,16.83,17.16,115842100,[0 1]
20060208,16.99,16.99,16.35,16.7,643048000,[1 0]
20060209,17.0,17.5,16.4,16.7,854867900,[0 1]
20060210,16.65,17.1,16.31,16.8,365839900,[0 0]
20060213,16.45,16.45,15.7,15.7,323588900,[0 0]
20060214,15.99,16.0,15.0,16.0,256554200,[1 1]
20060215,15.99,16.25,15.35,15.8,237358400,[1 1]
20060216,15.8,16.2,15.5,15.74,420496800,[0 0]
20060217,15.8,15.8,15.0,15.0,317013000,[1 0]
20060220,15.03,15.68,15.0,15.68,122925800,[1 1]
20060221,15.7,16.4,15.5,15.7,506715100,[0 1]
20060222,15.35,15.78,15.31,15.45,697016900,[1 1]
20060223,15.2,16.15,15.15,15.5,70173400,[1 0]
20060224,15.5,15.9,15.35,15.7,440616600,[0 0]
20060301,15.65,16.0,15.65,15.95,381189300,[0 1]
20060302,16.01,16.5,15.75,16.4,538570400,[0 0]
20060303,16.49,17.8,16.1,17.8,764059300,[0 0]
20060306,17.4,18.1,16.8,17.19,524310000,[0 0]
20060307,17.3,17.3,15.71,16.45,344722100,[1 1]
20060308,16.36,16.36,15.44,15.67,825679500,[0 0]
20060309,16.36,16.36,15.29,15.29,313866000,[0 1]
20060310,15.61,16.4,15.15,15.5,162060800,[1 0]
20060313,15.66,15.9,15.66,15.7,281896800,[0 0]
20060314,15.66,16.0,15.4,15.75,244362700,[0 0]
20060315,15.95,16.46,15.71,16.46,720404200,[0 0]
20060316,16.45,16.45,15.86,15.86,1160702900,[0 1]
20060317,15.7,16.0,15.59,15.8,59694400,[1 1]
20060320,15.8,16.01,15.3,15.42,243124200,[0 1]
20060321,15.4,15.45,15.15,15.21,88195300,[0 0]
20060322,15.22,15.3,14.6,15.02,92086400,[0 1]
20060323,14.82,15.5,14.81,15.05,585256400,[1 0]
