date,open,max,min,close,volume,y
20051216,22.9,23.0,20.31,21.26,797306758,[0 1]
20051219,21.0,21.29,19.02,19.63,117722090,[0 1]
20051220,19.69,20.6,19.41,20.3,60877405,[0 1]
20051221,20.55,20.94,19.91,19.91,38881424,[0 0]
20051222,20.09,20.6,20.0,20.6,29432369,[1 1]
20051223,20.55,20.8,20.01,20.01,16215476,[1 1]
20051226,20.2,20.45,20.0,20.2,17249680,[0 0]
20051227,20.3,20.55,20.09,20.2,20113136,[1 0]
20051228,20.24,20.24,19.26,19.31,9317229,[1 0]
20051229,19.41,19.78,19.3,19.6,10662968,[0 0]
20060102,19.8,19.96,19.3,19.9,9061510,[1 0]
20060103,19.75,20.5,19.71,20.21,27524705,[0 1]
20060104,20.5,21.2,20.11,21.2,47690990,[0 0]
20060105,21.0,21.27,20.41,21.2,21837503,[1 0]
20060106,20.9,21.2,20.67,21.15,15796336,[0 1]
20060109,20.8,21.16,20.51,21.16,15514945,[1 1]
20060110,20.94,21.1,20.37,20.79,10283955,[1 1]
20060111,20.56,20.97,20.56,20.83,11175220,[0 1]
20060112,20.8,20.8,20.01,20.4,14458218,[0 1]
20060113,20.2,20.35,19.82,20.07,5881813,[0 1]
20060116,20.02,20.02,19.02,19.72,11867158,[0 0]
20060117,19.63,19.9,19.2,19.82,7629854,[0 0]
20060118,19.2,19.59,18.9,19.55,10182102,[1 0]
20060119,19.7,19.7,19.4,19.4,10143305,[0 1]
20060120,19.21,19.6,19.21,19.6,6387188,[1 1]
20060123,19.0,19.0,18.0,18.24,27834832,[1 0]
20060124,18.0,19.0,17.5,17.8,28383415,[0 0]
20060126,17.71,18.55,16.41,18.55,35358244,[0 1]
20060127,18.8,18.8,17.36,18.35,13176437,[1 0]
20060130,17.7,17.7,14.02,14.02,17887074,[1 0]
20060131,13.67,15.2,13.15,15.2,12641799,[0 1]
20060201,14.69,15.48,14.06,15.39,5038702,[0 0]
20060202,15.48,16.75,15.39,15.65,5119108,[0 1]
20060203,16.0,17.45,16.0,17.16,4497928,[1 0]
20060206,17.31,18.0,17.31,17.8,5274117,[0 1]
20060207,17.94,18.05,16.5,16.5,3123286,[0 1]
20060208,16.36,17.0,16.01,16.95,2131262,[1 0]
20060209,17.25,17.25,16.3,16.3,2218591,[0 0]
20060210,16.12,16.99,16.11,16.79,1920574,[1 0]
20060213,16.8,16.8,15.23,15.23,2508944,[1 0]
20060214,15.52,16.0,15.1,16.0,2079810,[1 0]
20060215,16.0,16.34,15.27,15.75,1877840,[1 0]
20060216,15.5,16.0,15.5,15.66,1741576,[1 0]
20060217,15.25,15.9,14.92,15.1,1678996,[0 0]
20060220,14.95,15.5,14.91,15.1,1917219,[1 1]
20060221,15.13,16.3,14.81,15.7,3126074,[0 1]
20060222,15.7,15.7,15.3,15.41,2432559,[0 1]
20060223,15.2,15.7,14.85,15.22,1590484,[0 0]
20060224,15.21,15.65,15.21,15.41,2168926,[0 0]
20060301,15.6,15.75,15.6,15.71,797826,[0 1]
20060302,15.9,16.39,15.12,16.3,6215333,[1 0]
20060303,16.3,17.5,16.11,17.5,5470742,[0 0]
20060306,17.34,18.1,17.0,17.1,7916866,[0 0]
20060307,17.0,17.0,15.8,16.01,2571113,[1 1]
20060308,16.15,16.15,15.5,15.8,1012873,[0 0]
20060309,16.36,16.36,15.32,15.32,1458577,[1 1]
20060310,15.45,15.9,15.01,15.38,1478841,[1 0]
20060313,16.42,16.42,15.51,15.56,923059,[1 0]
20060314,15.5,15.65,15.36,15.4,2003405,[1 0]
20060315,16.0,16.3,15.89,16.3,1956799,[0 0]
20060316,16.45,16.45,15.81,15.81,1232121,[0 1]
20060317,15.83,15.85,15.62,15.62,271236,[1 1]
20060320,16.0,16.0,15.35,15.69,1324258,[0 1]
20060321,15.31,15.35,15.13,15.21,1522064,[1 1]
