date,open,max,min,close,volume,y
19980402,7.5,7.5,7.5,7.5,3750,[0 0]
19980422,6.6,6.6,6.5,6.5,32660,[0 0]
19980521,4.5,4.5,4.5,4.5,9000,[1 0]
19980713,3.25,3.25,3.25,3.25,650,[1 0]
19980722,3.25,3.25,3.25,3.25,23400,[0 0]
19980723,5.8,5.8,5.8,5.8,11600,[1 0]
19980731,4.01,4.01,4.01,4.01,1203,[0 1]
19980817,4.02,4.02,4.02,4.02,39798,[0 1]
19980929,3.1,3.1,3.1,3.1,22940,[1 1]
19981001,3.1,3.1,3.1,3.1,15500,[1 1]
19981021,3.1,3.1,2.6,2.6,6750,[0 0]
19981030,3.0,4.0,2.98,4.0,104134,[1 1]
19981106,3.8,3.8,3.8,3.8,32300,[0 0]
19981125,2.02,2.02,2.02,2.02,202,[1 1]
19981126,3.03,3.03,3.03,3.03,16059,[1 0]
19981214,2.17,2.17,2.17,2.17,4774,[1 1]
19981229,3.0,3.0,3.0,3.0,21300,[0 0]
19981230,3.65,3.65,3.65,3.65,14965,[0 1]
20010110,6.0,6.0,6.0,6.0,40800,[1 0]
20010118,6.6,6.69,6.6,6.69,58176,[1 1]
20010123,7.39,7.39,7.39,7.39,9607,[0 0]
20010126,7.3,7.39,7.3,7.39,73288,[1 0]
20010131,6.9,6.9,6.9,6.9,5520,[0 0]
20010206,7.0,7.0,7.0,7.0,37100,[1 1]
20010209,7.5,7.5,7.5,7.5,21750,[0 0]
20010214,6.8,6.8,6.8,6.8,2720,[1 0]
20010223,6.6,6.6,6.6,6.6,660,[0 0]
20010301,7.39,7.39,7.0,7.0,38855,[1 0]
20010302,7.01,7.2,7.01,7.2,40810,[1 1]
20010305,8.0,8.0,8.0,8.0,800,[0 0]
20010327,6.5,6.5,6.5,6.5,8450,[0 1]
20010411,7.25,7.25,7.25,7.25,12325,[0 0]
20010502,7.0,7.29,7.0,7.29,36218,[1 0]
20010509,7.1,7.29,7.1,7.1,60730,[1 0]
20010511,7.1,7.1,7.1,7.1,17750,[1 0]
20010920,3.01,3.01,3.01,3.01,4816,[1 1]
20011029,3.2,3.2,3.2,3.2,1600,[1 1]
20011120,5.22,5.22,5.22,5.22,5220,[0 0]
