date,open,max,min,close,volume,y
20111013,0.58,0.64,0.57,0.61,45182,[1 0]
20111014,0.6,0.64,0.6,0.64,19368,[1 0]
20111017,0.63,0.63,0.59,0.59,20398,[0 0]
20111018,0.6,0.7,0.6,0.7,29297,[1 0]
20111019,0.61,0.63,0.6,0.63,36260,[1 1]
20111020,0.64,0.64,0.61,0.62,40074,[0 0]
20111021,0.63,0.64,0.61,0.61,34261,[0 0]
20111024,0.62,0.63,0.61,0.62,36474,[0 1]
20111025,0.62,0.62,0.6,0.6,8649,[0 0]
20111026,0.62,0.63,0.61,0.63,17644,[0 1]
20111027,0.63,0.64,0.62,0.64,38079,[0 1]
20111028,0.64,0.64,0.62,0.63,98218,[0 0]
20111031,0.62,0.64,0.62,0.62,28706,[0 0]
20111101,0.62,0.63,0.61,0.62,28312,[0 0]
20111103,0.63,0.63,0.61,0.61,19554,[0 0]
20111104,0.61,0.63,0.6,0.6,35778,[0 0]
20111107,0.62,0.64,0.62,0.62,28933,[1 0]
20111108,0.63,0.63,0.61,0.61,13232,[0 0]
20111109,0.61,0.61,0.59,0.59,44218,[1 0]
20111110,0.59,0.61,0.59,0.59,20121,[1 0]
20111111,0.6,0.62,0.6,0.6,21907,[0 0]
20111114,0.6,0.6,0.57,0.57,43980,[0 0]
20111116,0.59,0.59,0.57,0.58,33414,[0 0]
20111117,0.58,0.58,0.55,0.55,33778,[1 1]
20111118,0.57,0.57,0.55,0.55,26950,[0 0]
20111121,0.55,0.55,0.53,0.55,30967,[0 0]
20111122,0.54,0.55,0.53,0.54,26632,[1 1]
20111123,0.54,0.54,0.53,0.54,19062,[0 0]
20111124,0.52,0.55,0.52,0.54,13882,[0 1]
20111125,0.55,0.55,0.52,0.54,11889,[1 1]
20111128,0.53,0.54,0.52,0.53,27265,[1 0]
20111129,0.54,0.54,0.53,0.53,19686,[1 0]
20111130,0.53,0.56,0.53,0.53,61452,[0 1]
20111201,0.55,0.56,0.55,0.55,13305,[0 0]
20111202,0.55,0.58,0.54,0.54,38627,[0 0]
20111205,0.56,0.57,0.54,0.54,31861,[0 1]
20111206,0.55,0.56,0.53,0.53,15287,[0 0]
20111207,0.56,0.56,0.54,0.54,11866,[0 0]
20111208,0.55,0.57,0.52,0.52,48824,[1 0]
20111209,0.52,0.55,0.52,0.55,14322,[0 0]
20111212,0.52,0.52,0.46,0.48,60006,[0 1]
20111213,0.48,0.48,0.44,0.46,50339,[1 0]
20111214,0.44,0.44,0.41,0.42,53953,[1 1]
20111215,0.42,0.43,0.41,0.41,23508,[0 1]
20111216,0.41,0.42,0.4,0.41,34736,[0 1]
20111219,0.39,0.39,0.35,0.35,33520,[0 1]
20111220,0.37,0.37,0.31,0.31,41647,[1 0]
20111221,0.34,0.34,0.3,0.32,14733,[1 1]
20111222,0.33,0.35,0.3,0.35,24972,[0 0]
20111223,0.34,0.36,0.32,0.34,11410,[1 0]
20111226,0.34,0.34,0.32,0.32,14254,[0 1]
20111227,0.33,0.33,0.31,0.32,29303,[0 0]
20111228,0.31,0.32,0.3,0.3,12740,[1 0]
20111229,0.31,0.32,0.3,0.31,20917,[1 0]
20120102,0.32,0.33,0.3,0.33,14170,[0 1]
20120103,0.33,0.34,0.32,0.33,21367,[1 0]
20120104,0.32,0.33,0.32,0.33,11103,[0 0]
20120105,0.34,0.34,0.32,0.32,8074,[0 0]
20120106,0.33,0.33,0.32,0.33,13515,[0 0]
20120109,0.32,0.37,0.31,0.34,44747,[0 1]
20120110,0.36,0.37,0.35,0.35,23090,[0 0]
20120111,0.35,0.37,0.35,0.36,18899,[0 0]
20120112,0.36,0.36,0.35,0.36,12302,[0 1]
20120113,0.36,0.38,0.36,0.37,15418,[1 0]
20120116,0.37,0.38,0.36,0.37,20117,[0 0]
20120117,0.36,0.38,0.35,0.35,8900,[0 1]
20120118,0.36,0.38,0.36,0.37,21809,[0 0]
20120119,0.35,0.38,0.35,0.37,28285,[0 1]
20120120,0.36,0.37,0.36,0.37,7070,[1 0]
20120123,0.36,0.37,0.36,0.36,15852,[1 0]
20120124,0.36,0.36,0.36,0.36,25236,[1 1]
20120126,0.37,0.37,0.35,0.35,15313,[0 0]
20120127,0.36,0.37,0.36,0.36,15888,[0 1]
20120130,0.37,0.37,0.36,0.36,18827,[0 0]
20120131,0.36,0.37,0.36,0.36,23158,[1 0]
20120201,0.36,0.37,0.36,0.36,28376,[1 0]
20120202,0.37,0.37,0.35,0.35,10856,[1 0]
20120203,0.36,0.37,0.36,0.37,9113,[0 1]
20120206,0.36,0.36,0.35,0.35,14533,[0 0]
20120207,0.37,0.37,0.35,0.35,19010,[0 1]
20120208,0.36,0.36,0.35,0.35,16164,[0 0]
20120209,0.36,0.37,0.35,0.35,45733,[1 1]
20120210,0.35,0.37,0.35,0.36,26593,[0 0]
20120213,0.35,0.37,0.35,0.37,13459,[0 1]
20120214,0.35,0.37,0.35,0.37,9653,[0 0]
20120215,0.36,0.38,0.36,0.38,32465,[0 1]
20120216,0.38,0.39,0.37,0.39,18326,[0 0]
20120217,0.37,0.4,0.36,0.37,15452,[1 0]
20120222,0.39,0.41,0.39,0.4,14355,[1 0]
20120223,0.4,0.41,0.39,0.39,11376,[1 0]
20120224,0.41,0.41,0.4,0.41,6266,[0 1]
20120227,0.4,0.42,0.4,0.41,16038,[0 0]
20120228,0.42,0.44,0.4,0.43,49276,[0 1]
20120229,0.45,0.45,0.44,0.45,19204,[0 1]
20120301,0.44,0.46,0.43,0.43,44626,[0 0]
20120302,0.45,0.46,0.44,0.44,14668,[0 0]
20120305,0.44,0.46,0.44,0.45,26955,[1 0]
20120306,0.44,0.44,0.43,0.44,15954,[1 0]
20120307,0.43,0.44,0.42,0.42,18947,[1 0]
20120308,0.46,0.46,0.44,0.44,23704,[0 1]
20120309,0.44,0.45,0.43,0.44,31483,[0 0]
20120312,0.45,0.45,0.43,0.43,29685,[0 0]
20120313,0.44,0.45,0.44,0.45,36735,[0 0]
20120314,0.45,0.45,0.44,0.45,14250,[0 0]
20120315,0.45,0.46,0.43,0.43,29023,[1 1]
20120316,0.44,0.45,0.43,0.44,27992,[0 1]
20120319,0.45,0.46,0.44,0.44,29285,[0 0]
20120320,0.44,0.45,0.44,0.45,14167,[0 0]
20120321,0.46,0.46,0.41,0.44,17511,[1 0]
20120322,0.42,0.44,0.42,0.42,28083,[0 0]
20120323,0.44,0.45,0.43,0.43,12707,[1 0]
20120326,0.42,0.45,0.42,0.44,22568,[0 1]
20120327,0.43,0.45,0.43,0.44,19364,[0 0]
20120328,0.44,0.45,0.43,0.44,42845,[1 1]
20120329,0.43,0.44,0.43,0.43,12729,[1 0]
20120330,0.45,0.45,0.42,0.43,37843,[0 0]
20120402,0.42,0.44,0.42,0.42,30530,[0 0]
20120403,0.41,0.42,0.41,0.42,18696,[1 0]
20120404,0.41,0.42,0.41,0.41,11971,[0 0]
20120405,0.41,0.42,0.41,0.41,16294,[1 0]
20120409,0.42,0.42,0.41,0.42,16810,[1 0]
20120410,0.43,0.43,0.4,0.41,29434,[0 1]
20120411,0.39,0.41,0.38,0.39,20343,[0 1]
20120412,0.4,0.4,0.39,0.39,9442,[0 1]
20120413,0.39,0.4,0.38,0.38,5957,[0 0]
20120416,0.38,0.38,0.37,0.37,8263,[0 0]
20120417,0.37,0.39,0.37,0.38,26964,[1 0]
20120418,0.38,0.4,0.38,0.4,14978,[0 0]
20120419,0.39,0.4,0.38,0.38,9881,[0 0]
20120420,0.39,0.39,0.38,0.38,2206,[1 0]
20120423,0.37,0.37,0.36,0.37,19436,[0 0]
20120424,0.37,0.37,0.36,0.37,16382,[0 0]
20120425,0.37,0.38,0.37,0.38,30606,[1 0]
20120426,0.38,0.4,0.37,0.38,13560,[0 1]
20120427,0.4,0.4,0.37,0.38,19694,[0 0]
20120430,0.37,0.4,0.37,0.38,28358,[0 0]
20120502,0.39,0.4,0.39,0.39,13738,[1 0]
20120503,0.39,0.4,0.38,0.4,105415,[0 1]
20120504,0.4,0.4,0.38,0.38,30279,[0 0]
20120507,0.41,0.41,0.37,0.39,21203,[0 0]
20120508,0.39,0.39,0.37,0.37,14557,[1 0]
20120509,0.38,0.41,0.38,0.39,78843,[1 0]
20120510,0.41,0.44,0.41,0.43,32032,[1 0]
20120511,0.41,0.45,0.41,0.42,28283,[0 1]
20120514,0.43,0.43,0.4,0.4,22659,[0 1]
20120515,0.4,0.42,0.39,0.39,34842,[0 1]
20120516,0.4,0.42,0.39,0.42,23266,[0 1]
20120517,0.42,0.42,0.39,0.39,13592,[0 0]
20120518,0.39,0.42,0.38,0.38,11039,[1 0]
20120521,0.39,0.39,0.39,0.39,19188,[0 1]
20120522,0.39,0.39,0.36,0.37,22292,[0 1]
20120523,0.37,0.39,0.35,0.38,43957,[1 1]
20120524,0.38,0.38,0.35,0.37,38501,[1 0]
20120525,0.4,0.4,0.38,0.39,26257,[0 1]
20120528,0.38,0.39,0.36,0.39,14737,[0 0]
20120529,0.4,0.4,0.36,0.36,10241,[0 1]
20120530,0.36,0.39,0.36,0.39,8451,[0 0]
20120531,0.38,0.39,0.36,0.39,17445,[1 1]
20120601,0.37,0.39,0.35,0.39,23857,[0 0]
20120604,0.36,0.38,0.36,0.36,17558,[1 0]
20120605,0.36,0.39,0.36,0.38,13974,[1 0]
20120606,0.38,0.38,0.36,0.38,7576,[0 0]
20120608,0.36,0.36,0.36,0.36,7920,[0 0]
20120611,0.36,0.37,0.36,0.37,8221,[1 0]
20120612,0.36,0.38,0.36,0.38,13372,[0 1]
20120613,0.38,0.39,0.36,0.37,10280,[0 0]
20120614,0.37,0.38,0.37,0.37,17798,[0 1]
20120615,0.36,0.37,0.36,0.37,6793,[1 0]
20120618,0.36,0.38,0.36,0.38,9029,[1 0]
20120619,0.37,0.38,0.37,0.37,14666,[1 0]
20120620,0.37,0.38,0.37,0.37,9164,[0 1]
20120621,0.39,0.39,0.37,0.37,18295,[0 1]
20120622,0.38,0.4,0.38,0.4,24550,[0 1]
20120625,0.38,0.39,0.38,0.39,5457,[1 0]
20120626,0.38,0.39,0.37,0.37,20358,[0 0]
20120627,0.38,0.39,0.37,0.39,4594,[0 0]
20120628,0.37,0.39,0.36,0.37,12902,[1 0]
20120629,0.37,0.38,0.37,0.38,10735,[0 0]
20120702,0.37,0.38,0.36,0.36,6951,[1 0]
20120703,0.38,0.38,0.37,0.37,9118,[0 1]
20120704,0.37,0.38,0.36,0.36,9592,[0 1]
20120705,0.36,0.37,0.36,0.36,11314,[0 1]
20120706,0.36,0.38,0.36,0.38,13168,[0 0]
20120710,0.37,0.37,0.36,0.36,12477,[0 1]
20120711,0.36,0.39,0.36,0.36,16205,[0 1]
20120712,0.37,0.38,0.35,0.35,9125,[0 0]
20120713,0.36,0.37,0.35,0.37,12002,[1 0]
20120716,0.36,0.36,0.35,0.35,13640,[1 1]
20120717,0.35,0.37,0.34,0.37,10100,[0 0]
20120718,0.36,0.37,0.36,0.37,433,[0 1]
20120719,0.38,0.38,0.36,0.36,18100,[0 1]
20120720,0.37,0.38,0.36,0.36,6731,[1 0]
20120723,0.38,0.38,0.35,0.35,8670,[1 0]
20120724,0.36,0.37,0.35,0.37,7598,[1 1]
20120725,0.35,0.38,0.35,0.35,15136,[0 0]
20120726,0.38,0.38,0.34,0.36,11851,[1 0]
20120727,0.35,0.38,0.35,0.36,13765,[1 1]
20120730,0.38,0.38,0.36,0.37,17461,[0 0]
20120731,0.37,0.38,0.35,0.36,15675,[1 0]
20120801,0.36,0.37,0.36,0.36,14737,[0 0]
20120802,0.37,0.38,0.36,0.38,8383,[1 1]
20120803,0.36,0.37,0.36,0.37,10171,[1 0]
20120806,0.37,0.38,0.37,0.37,14573,[0 1]
20120807,0.38,0.39,0.37,0.37,16548,[0 1]
20120808,0.39,0.39,0.37,0.37,21016,[0 1]
20120809,0.38,0.38,0.37,0.37,19918,[0 0]
20120810,0.38,0.38,0.37,0.37,29818,[1 0]
20120813,0.38,0.38,0.37,0.37,13068,[1 0]
20120814,0.39,0.4,0.36,0.36,29126,[1 1]
20120815,0.38,0.38,0.37,0.37,6290,[1 0]
20120816,0.39,0.39,0.37,0.39,7797,[0 0]
20120817,0.39,0.39,0.37,0.37,9848,[1 0]
20120820,0.38,0.39,0.38,0.38,12491,[0 0]
20120821,0.39,0.39,0.37,0.38,6830,[1 0]
20120822,0.38,0.39,0.38,0.38,18403,[1 0]
20120823,0.38,0.38,0.37,0.37,13757,[0 0]
20120824,0.38,0.38,0.37,0.37,18404,[1 1]
20120827,0.37,0.38,0.37,0.38,6154,[0 1]
20120828,0.38,0.38,0.37,0.37,18334,[1 1]
20120829,0.37,0.38,0.36,0.36,23945,[0 1]
20120830,0.39,0.39,0.36,0.36,10354,[0 1]
20120831,0.38,0.38,0.37,0.38,20616,[1 0]
20120903,0.37,0.37,0.36,0.37,116989,[1 1]
20120904,0.36,0.36,0.35,0.35,18956,[1 0]
20120905,0.36,0.36,0.35,0.36,18137,[0 1]
20120906,0.35,0.35,0.35,0.35,13405,[1 1]
