date,open,max,min,close,volume,y
19980316,2.51,2.51,2.51,2.51,6024000,[0 0]
19980317,2.5,2.5,2.5,2.5,250000,[1 0]
19980319,2.5,2.5,2.5,2.5,250000,[0 0]
19980320,2.61,2.61,2.6,2.6,1561000,[1 1]
19980323,2.6,2.6,2.6,2.6,260000,[0 0]
19980325,2.6,2.6,2.6,2.6,780000,[1 0]
19980326,2.6,2.6,2.6,2.6,260000,[0 0]
19980330,2.79,2.95,2.79,2.95,1974000,[0 0]
19980331,3.1,3.1,3.1,3.1,5580000,[0 0]
19980401,3.0,3.0,3.0,3.0,600000,[0 0]
19980403,3.0,3.0,3.0,3.0,5400000,[0 0]
19980407,3.0,3.1,3.0,3.1,1530000,[0 1]
19980413,3.09,3.1,3.09,3.1,929000,[1 0]
19980414,3.1,3.1,3.1,3.1,310000,[0 0]
19980417,2.9,2.9,2.9,2.9,290000,[0 0]
19980423,2.9,2.91,2.85,2.85,1443000,[1 0]
19980424,2.85,2.85,2.85,2.85,285000,[1 0]
19980427,2.7,2.7,2.7,2.7,2430000,[0 0]
19980429,2.7,2.7,2.7,2.7,1620000,[0 0]
19980430,2.7,2.7,2.7,2.7,1350000,[1 1]
19980515,2.3,2.41,2.3,2.41,5773000,[0 0]
19980518,2.3,2.3,2.29,2.3,1839000,[0 0]
19980519,2.2,2.3,2.2,2.3,8360000,[0 0]
19980521,2.2,2.2,2.2,2.2,220000,[0 0]
19980522,2.3,2.3,2.3,2.3,690000,[1 0]
19980525,2.4,2.4,2.4,2.4,3360000,[0 0]
19980526,2.2,2.2,2.2,2.2,6380000,[0 0]
19980527,2.2,2.2,2.18,2.2,2188000,[0 0]
19980601,2.3,2.3,2.2,2.2,1790000,[0 0]
19980602,2.2,2.2,2.2,2.2,1540000,[0 0]
19980603,2.2,2.2,2.2,2.2,1320000,[1 0]
19980604,2.29,2.29,2.29,2.29,458000,[0 1]
19980605,2.17,2.18,2.17,2.18,2175000,[0 0]
19980608,2.29,2.29,2.29,2.29,229000,[0 0]
19980617,2.1,2.1,2.1,2.1,840000,[0 0]
19980618,2.1,2.1,2.1,2.1,5040000,[0 0]
19980619,2.1,2.1,2.1,2.1,210000,[0 1]
19980623,2.1,2.1,2.1,2.1,210000,[0 0]
19980626,2.0,2.0,2.0,2.0,200000,[0 0]
19980629,2.07,2.07,2.07,2.07,1656000,[1 1]
19980701,2.09,2.09,2.09,2.09,209000,[0 0]
19980703,2.05,2.05,2.0,2.0,4025000,[1 0]
19980706,2.0,2.0,2.0,2.0,200000,[1 0]
19980707,2.0,2.0,2.0,2.0,2000000,[1 0]
19980708,2.0,2.0,2.0,2.0,2600000,[1 0]
19980710,2.0,2.0,2.0,2.0,200000,[0 0]
19980713,2.0,2.0,2.0,2.0,200000,[0 1]
19980714,2.0,2.0,2.0,2.0,400000,[0 1]
19980715,1.99,1.99,1.99,1.99,199000,[1 1]
19980717,2.0,2.0,2.0,2.0,600000,[0 1]
19980727,1.98,1.98,1.98,1.98,990000,[0 1]
19980728,1.95,1.95,1.95,1.95,975000,[1 0]
19980730,1.95,1.95,1.95,1.95,390000,[0 1]
19980731,1.96,1.96,1.92,1.92,2911000,[1 0]
19980811,1.8,1.8,1.8,1.8,900000,[0 0]
19980812,1.8,1.8,1.8,1.8,1620000,[0 0]
19980820,1.75,1.75,1.75,1.75,175000,[0 0]
19980901,1.74,1.74,1.7,1.7,5982000,[0 0]
19980909,1.5,1.5,1.5,1.5,750000,[0 0]
19980910,1.35,1.35,1.35,1.35,135000,[0 0]
