date,open,max,min,close,volume,y
19980323,2.36,2.37,2.36,2.37,198814,[1 1]
19980325,2.41,2.41,2.41,2.41,204850,[0 1]
19980326,2.6,2.6,2.5,2.51,140453,[0 1]
19980330,2.41,2.41,2.41,2.41,13737,[1 0]
19980331,2.71,2.71,2.71,2.71,2168,[1 0]
19980403,2.71,2.71,2.71,2.71,41463,[1 0]
19980406,2.72,2.72,2.72,2.72,5984,[0 0]
19980407,2.72,3.0,2.72,3.0,157000,[0 0]
19980413,3.0,3.0,2.81,2.81,128810,[0 1]
19980415,2.9,2.9,2.9,2.9,114260,[1 0]
19980422,2.85,2.85,2.85,2.85,74100,[0 0]
19980423,2.83,2.95,2.83,2.95,157002,[0 1]
19980424,2.95,2.95,2.95,2.95,29500,[0 0]
19980427,2.75,2.75,2.75,2.75,55000,[0 0]
19980429,2.55,2.55,2.55,2.55,10965,[1 0]
19980430,2.51,2.51,2.51,2.51,12550,[0 0]
19980515,2.25,2.25,2.25,2.25,16425,[1 0]
19980519,2.07,2.07,2.07,2.07,81351,[0 0]
19980521,2.12,2.15,2.12,2.15,109611,[0 0]
19980525,2.4,2.4,2.4,2.4,12240,[0 0]
19980526,2.11,2.11,2.11,2.11,138627,[1 0]
19980527,2.11,2.11,2.1,2.1,131572,[1 0]
19980528,2.07,2.07,2.07,2.07,20700,[1 0]
19980601,2.24,2.24,2.07,2.07,64513,[0 0]
19980602,2.12,2.13,2.12,2.13,166322,[0 0]
19980612,2.1,2.1,2.05,2.05,23725,[0 0]
19980618,2.01,2.01,2.0,2.0,294911,[0 0]
19980630,2.01,2.01,2.0,2.0,50943,[1 1]
19980703,1.97,1.97,1.95,1.96,159501,[0 1]
19980713,1.95,2.1,1.95,2.1,120405,[0 0]
19980715,1.95,1.95,1.95,1.95,39000,[1 0]
19980717,1.92,1.92,1.9,1.9,76357,[1 0]
19980731,1.87,1.87,1.87,1.87,17578,[0 0]
19980803,1.88,1.88,1.88,1.88,20868,[1 0]
19980811,1.88,1.88,1.88,1.88,16732,[0 0]
19980812,1.7,1.8,1.7,1.72,332213,[0 1]
19980819,1.71,1.71,1.7,1.7,139698,[0 1]
19980904,1.41,1.41,1.4,1.4,281,[0 0]
19980911,1.4,1.4,1.4,1.4,11200,[1 0]
19980921,1.25,1.25,1.25,1.25,44625,[1 1]
19980922,1.21,1.21,1.21,1.21,121,[0 1]
19981002,1.4,1.4,1.4,1.4,56000,[0 1]
