date,open,max,min,close,volume,y
19980316,24.5,24.55,24.0,24.55,35902100,[1 1]
19980317,24.6,25.2,24.6,25.2,104928400,[1 1]
19980318,25.0,25.75,25.0,25.75,82125200,[0 0]
19980320,25.75,26.5,25.75,26.3,59561000,[0 0]
19980323,26.3,26.49,26.3,26.49,118649400,[1 0]
19980324,26.48,26.49,26.0,26.0,2869700,[0 1]
19980325,26.0,26.0,26.0,26.0,260000,[0 1]
19980327,25.95,26.0,25.5,25.51,70524600,[1 1]
19980330,25.0,25.0,25.0,25.0,36000000,[0 0]
19980331,25.0,25.1,25.0,25.1,98623000,[0 0]
19980401,25.1,25.1,25.0,25.0,27751000,[0 0]
19980402,24.5,25.0,24.5,24.6,31225000,[0 1]
19980406,25.0,25.8,25.0,25.8,68795100,[0 0]
19980407,25.47,25.5,25.47,25.5,509700,[0 0]
19980408,25.44,26.2,25.4,26.0,101162100,[0 1]
19980413,26.1,26.3,26.1,26.3,18875900,[0 0]
19980414,26.5,27.0,26.5,27.0,92510000,[0 0]
19980415,25.0,27.0,25.0,27.0,147400000,[0 0]
19980416,26.9,27.0,26.8,26.8,158138900,[1 1]
19980417,26.75,26.75,26.7,26.75,145002500,[1 0]
19980420,26.5,26.5,26.5,26.5,169600000,[1 1]
19980422,26.5,26.5,26.0,26.2,40097000,[0 1]
19980423,25.0,25.0,25.0,25.0,250000,[0 0]
19980507,24.95,24.95,24.01,24.01,1977300,[0 1]
19980508,24.02,24.95,24.02,24.95,489700,[0 1]
19980511,24.5,24.9,24.5,24.85,1730500,[0 0]
19980512,24.5,24.6,24.0,24.6,51886400,[1 1]
19980513,24.0,24.5,24.0,24.5,975000,[1 1]
19980514,24.3,24.3,24.3,24.3,243000,[1 0]
19980518,23.0,23.0,22.5,22.51,112899000,[1 0]
19980519,22.5,23.0,22.5,23.0,455000,[0 1]
19980520,23.0,23.0,23.0,23.0,230000,[0 0]
19980521,23.0,23.0,23.0,23.0,32430000,[0 0]
19980525,23.0,23.0,23.0,23.0,460000,[0 0]
19980526,22.45,22.45,21.5,21.5,12305000,[0 1]
19980527,20.8,21.29,20.4,21.0,59483600,[1 0]
19980528,21.0,21.0,21.0,21.0,25200000,[0 0]
19980529,21.1,21.3,21.1,21.3,16249000,[0 0]
19980601,21.3,21.5,21.3,21.5,53529000,[0 1]
19980602,22.0,23.0,22.0,22.1,152267800,[0 0]
19980603,22.0,22.0,21.0,21.0,1730000,[0 0]
19980604,22.5,22.5,22.5,22.5,225000,[1 1]
19980605,21.6,23.2,21.6,23.2,5911000,[0 0]
19980608,22.8,22.8,22.2,22.79,2495900,[0 0]
19980610,22.99,23.0,22.99,23.0,27599800,[1 1]
19980615,20.56,22.2,20.56,22.0,125553600,[1 0]
19980617,22.0,22.0,22.0,22.0,17600000,[0 0]
19980622,21.99,21.99,21.99,21.99,439800,[1 1]
19980623,22.5,22.5,22.5,22.5,675000,[0 0]
19980624,22.5,22.5,22.5,22.5,225000,[0 1]
19980625,22.7,22.7,22.7,22.7,227000,[0 1]
19980629,21.98,21.98,21.98,21.98,439600,[1 0]
19980630,21.5,21.5,20.5,20.5,2070000,[0 0]
19980701,21.0,21.0,20.5,21.0,18415300,[0 0]
19980702,21.79,21.79,21.79,21.79,217900,[1 0]
19980703,22.0,22.1,22.0,22.0,2423000,[1 0]
19980706,22.0,22.5,22.0,22.5,39821000,[0 1]
19980707,22.7,24.0,22.7,24.0,1168000,[0 0]
19980708,24.4,24.4,23.99,24.0,48241100,[1 0]
19980710,23.99,24.5,23.99,24.5,19110900,[0 1]
19980715,24.5,24.5,24.5,24.5,490000,[0 1]
19980716,24.3,24.45,23.45,23.45,7769000,[0 1]
19980717,23.99,23.99,23.99,23.99,1199500,[1 0]
19980720,23.94,23.94,23.94,23.94,718200,[1 1]
19980721,23.23,23.3,23.2,23.3,26067000,[1 1]
19980722,23.2,23.2,23.2,23.2,232000,[1 0]
19980723,23.0,23.0,22.9,23.0,8713000,[0 0]
19980724,22.99,22.99,22.99,22.99,459800,[1 0]
19980727,22.5,22.5,22.5,22.5,2475000,[1 0]
19980728,22.4,22.4,21.99,21.99,2425200,[0 0]
19980729,22.5,22.5,22.1,22.1,1345400,[1 0]
19980730,22.2,22.5,22.2,22.5,1347000,[0 0]
19980803,22.4,22.5,22.3,22.3,4722000,[0 1]
19980805,21.5,21.5,20.5,20.99,15395100,[1 0]
19980818,17.8,18.3,17.7,18.1,22696900,[1 0]
19980819,18.1,18.1,17.7,17.81,8570000,[0 0]
19980820,17.3,17.5,17.2,17.4,13417000,[1 0]
19980821,16.5,16.5,14.78,15.0,62929100,[0 0]
19980824,15.5,15.5,15.49,15.5,4649100,[0 0]
19980825,15.61,15.62,15.5,15.5,2805600,[1 1]
19980826,15.0,15.1,15.0,15.1,603000,[0 1]
19980827,14.6,14.7,14.6,14.7,1171000,[1 0]
19980828,14.5,14.7,14.5,14.65,61015900,[1 0]
19980831,14.98,14.98,14.98,14.98,599200,[0 1]
19980901,14.5,15.5,14.5,15.5,20688900,[0 1]
19980902,15.0,15.0,15.0,15.0,7500000,[1 1]
19980908,14.0,14.0,14.0,14.0,1400000,[1 1]
19980909,13.8,13.8,13.79,13.79,689600,[1 1]
19980910,12.97,12.97,12.0,12.5,12792000,[1 0]
19980911,12.99,13.0,12.5,12.8,119097000,[1 1]
19980914,13.0,14.0,13.0,13.1,23138000,[1 1]
19980915,13.1,15.5,13.1,14.99,269788300,[0 0]
19980916,15.0,15.3,14.3,14.3,472272900,[1 0]
19980917,13.4,14.0,13.0,14.0,40568000,[0 0]
19980918,13.5,13.51,13.5,13.51,15661500,[0 1]
19980921,13.5,14.0,13.0,14.0,1860000,[1 1]
19980923,14.99,14.99,14.5,14.5,1344100,[1 1]
19980924,15.1,15.1,14.4,14.4,226610300,[1 0]
19980925,13.99,13.99,13.99,13.99,559600,[1 0]
19980928,14.01,14.01,13.97,13.98,3779600,[1 1]
19980929,14.0,14.0,13.99,13.99,23784700,[1 0]
19980930,13.0,13.0,12.7,12.7,25375000,[0 0]
19981001,12.0,13.52,12.0,13.2,241301700,[0 0]
19981002,14.0,14.0,14.0,14.0,140000,[0 1]
19981005,13.5,13.5,13.5,13.5,405000,[0 1]
19981006,13.2,13.5,13.2,13.5,11646000,[1 0]
19981007,13.2,13.2,13.2,13.2,72600000,[1 0]
19981008,12.8,13.0,12.8,13.0,2721800,[0 1]
19981009,13.0,13.51,12.98,13.0,7955400,[1 0]
19981013,14.0,14.0,14.0,14.0,140000,[1 0]
19981014,12.7,12.78,12.7,12.7,3811600,[1 1]
19981015,13.0,13.0,13.0,13.0,3510000,[1 1]
19981016,12.98,12.98,12.98,12.98,389400,[0 0]
19981019,13.0,13.0,12.7,12.7,8182500,[0 1]
19981020,12.99,12.99,12.95,12.95,3246700,[0 1]
