date,open,max,min,close,volume,y
20060331,12.61,12.7,12.4,12.5,537379700,[1 0]
20060403,12.8,13.0,12.79,12.8,319914000,[0 0]
20060404,12.8,12.85,12.59,12.7,117262500,[0 0]
20060405,12.7,12.7,12.11,12.5,499368200,[0 0]
20060406,12.3,12.3,12.19,12.3,161923800,[0 1]
20060407,12.3,12.3,11.99,12.2,407955000,[1 0]
20060410,12.1,12.2,11.7,11.9,197097400,[1 1]
20060411,12.0,12.2,11.6,11.9,157364600,[0 1]
20060412,11.9,12.0,11.6,11.9,112924100,[0 1]
20060413,11.6,11.9,11.3,11.5,186203700,[0 0]
20060417,11.6,11.8,11.5,11.74,374183800,[0 0]
20060418,11.99,12.4,11.8,12.0,536470600,[0 0]
20060419,11.99,12.19,11.65,12.0,627198300,[1 0]
20060420,11.93,13.0,11.93,12.75,17390000,[1 0]
20060424,12.75,13.09,12.75,12.97,489852300,[1 1]
20060425,12.9,13.0,12.6,12.78,195354200,[0 0]
20060426,12.9,13.5,12.4,13.35,1032723300,[1 0]
20060427,13.3,13.3,12.74,12.9,153447600,[1 0]
20060428,12.55,13.2,12.55,13.2,840319300,[1 1]
20060502,13.2,13.2,12.8,13.1,94030600,[1 0]
20060503,12.99,13.2,12.7,12.8,76404400,[0 0]
20060504,12.5,12.98,12.3,12.43,507852300,[1 0]
20060505,12.4,12.4,11.3,11.68,861110500,[0 1]
20060518,11.1,11.3,10.6,10.8,666869200,[0 0]
20060519,10.9,11.29,10.0,10.35,403578500,[0 1]
20060522,9.95,10.2,9.6,9.8,85776400,[1 1]
20060523,10.0,10.0,9.41,9.51,354092700,[0 1]
20060524,9.4,9.62,8.8,9.62,662191300,[0 0]
20060525,9.7,10.1,9.4,10.1,13530100,[0 1]
20060526,10.85,10.85,10.25,10.68,65158200,[0 0]
20060529,10.7,11.0,10.6,10.89,40133200,[1 0]
20060530,10.5,10.7,9.6,10.4,81741300,[0 1]
20060531,10.05,10.24,9.52,10.2,175248500,[0 1]
20060601,10.35,10.49,9.9,10.38,45547600,[0 0]
20060602,10.6,10.6,9.85,10.2,79155700,[1 0]
20060605,10.2,10.39,10.09,10.23,9048000,[0 0]
20060606,10.2,10.2,9.8,10.05,36394100,[0 0]
20060607,10.2,10.2,9.01,9.4,669911500,[1 1]
20060608,9.45,9.68,9.1,9.65,83901200,[0 0]
20060609,9.7,10.0,9.38,9.7,10618500,[0 0]
20060612,9.7,9.7,9.11,9.4,20886900,[0 0]
20060613,9.4,9.4,8.61,9.1,98189900,[1 1]
20060614,9.18,9.5,8.99,9.0,29855700,[1 0]
20060616,9.05,9.4,9.05,9.15,231244900,[0 1]
20060619,9.2,9.2,8.94,9.0,125127900,[1 0]
20060620,9.0,9.2,8.5,8.85,72150900,[0 1]
20060621,8.8,9.4,8.79,9.4,129327500,[1 1]
20060622,9.4,9.4,9.05,9.2,31326400,[1 0]
20060623,9.2,9.3,9.05,9.2,41306500,[1 1]
20060626,9.15,9.25,8.81,9.19,221413400,[0 0]
20060627,9.25,9.5,9.2,9.38,24366300,[0 1]
20060628,9.4,9.5,9.1,9.4,43847100,[1 1]
20060629,9.45,9.74,9.3,9.69,70081700,[1 0]
20060630,9.7,9.7,9.05,9.59,27770600,[1 1]
20060703,9.7,9.7,9.25,9.69,80327100,[1 1]
20060704,9.75,9.9,9.55,9.61,38036700,[1 1]
20060705,9.7,9.7,9.31,9.49,64738000,[0 1]
20060706,9.6,9.8,9.3,9.45,32195900,[0 1]
20060707,9.7,9.75,9.25,9.46,16470700,[1 1]
20060710,9.6,9.6,9.2,9.3,42238000,[0 1]
20060711,9.3,9.39,9.15,9.25,33000900,[0 0]
20060712,9.5,9.5,9.16,9.49,278102600,[1 0]
20060713,9.44,9.44,9.15,9.33,26618300,[1 0]
20060714,9.11,9.35,9.05,9.09,68033800,[0 0]
20060717,9.3,9.3,9.1,9.1,26034700,[1 0]
20060718,9.2,9.3,8.85,9.1,234302400,[1 0]
20060719,9.35,9.35,9.05,9.25,147973200,[0 0]
20060720,9.0,9.4,8.84,8.95,225450900,[1 1]
20060721,8.9,9.0,8.75,8.85,58293100,[0 1]
20060724,9.19,9.3,8.64,9.1,57496400,[1 1]
20060725,9.19,9.29,8.8,8.95,674065800,[1 0]
20060726,9.2,9.2,8.65,8.9,26589300,[0 0]
20060727,8.91,9.2,8.64,8.79,405143900,[1 1]
20060728,9.0,9.0,8.61,8.68,561345000,[1 1]
20060731,8.93,8.93,8.5,8.6,576202400,[0 1]
20060801,8.85,8.92,8.5,8.65,150809300,[0 1]
20060802,8.9,9.0,8.6,8.9,182419300,[0 1]
20060803,8.97,9.0,8.75,8.81,85662600,[0 0]
