date,open,max,min,close,volume,y
20110505,2.95,2.95,2.8,2.84,97876800,[0 1]
20110506,2.97,2.97,2.79,2.79,73731800,[0 0]
20110509,2.8,2.9,2.75,2.88,167888400,[1 1]
20110510,2.88,2.89,2.76,2.83,239663900,[0 0]
20110511,2.8,2.82,2.77,2.82,53130900,[1 0]
20110512,2.78,2.87,2.78,2.84,121960100,[0 1]
20110513,2.85,2.86,2.81,2.86,202667800,[0 0]
20110516,2.84,2.84,2.79,2.84,99689000,[1 0]
20110517,2.82,2.86,2.8,2.82,313682300,[1 0]
20110518,2.85,2.87,2.81,2.85,170704500,[1 1]
20110519,2.82,2.83,2.73,2.76,145411200,[0 0]
20110520,2.83,2.83,2.73,2.74,106809800,[0 0]
20110523,2.75,2.78,2.7,2.78,92153900,[0 0]
20110524,2.76,2.76,2.71,2.72,61603500,[0 0]
20110525,2.72,2.74,2.7,2.72,146196200,[0 1]
20110526,2.7,2.84,2.7,2.8,595981400,[0 1]
20110527,2.85,2.85,2.76,2.78,618486300,[0 0]
20110530,2.77,2.8,2.75,2.8,9354700,[1 0]
20110531,2.8,2.83,2.75,2.79,148597600,[1 0]
20110601,2.82,2.82,2.77,2.8,28896600,[0 0]
20110602,2.82,2.84,2.78,2.84,236534100,[0 0]
20110603,2.8,2.82,2.78,2.78,96303700,[0 0]
20110606,2.8,2.82,2.73,2.78,91062400,[0 0]
20110607,2.75,2.79,2.75,2.75,47149100,[0 1]
20110608,2.79,2.79,2.68,2.72,257232000,[0 0]
20110609,2.75,2.75,2.69,2.71,45482500,[0 1]
20110610,2.74,2.74,2.68,2.68,95772000,[0 1]
20110613,2.74,2.74,2.61,2.64,72110200,[0 0]
20110614,2.64,2.67,2.58,2.62,45237500,[0 0]
20110615,2.62,2.62,2.57,2.6,49935600,[0 1]
20110616,2.57,2.65,2.53,2.65,98775900,[0 0]
20110617,2.59,2.63,2.5,2.5,60390700,[0 0]
20110620,2.58,2.62,2.54,2.62,62260700,[0 0]
20110621,2.62,2.65,2.53,2.61,43328000,[0 1]
20110622,2.52,2.59,2.49,2.54,48747600,[1 0]
20110624,2.59,2.6,2.49,2.56,29423000,[1 1]
20110627,2.5,2.55,2.5,2.55,72312200,[1 0]
20110628,2.56,2.6,2.5,2.6,30271100,[1 1]
20110629,2.6,2.64,2.55,2.6,271251200,[1 1]
20110630,2.62,2.64,2.54,2.57,240833500,[0 1]
20110701,2.55,2.59,2.53,2.54,70055000,[1 1]
20110704,2.55,2.56,2.5,2.54,21900300,[1 1]
