date,open,max,min,close,volume,y
20111006,41.23,42.5,40.91,42.5,182135800,[1 1]
20111007,43.8,44.5,43.0,43.5,122686400,[0 1]
20111010,43.5,45.78,43.5,44.4,320261600,[1 1]
20111011,44.46,44.6,41.7,42.59,297212500,[1 1]
20111013,42.59,43.1,42.1,43.05,40484700,[0 0]
20111014,43.99,44.0,43.17,43.27,108605500,[0 1]
20111017,43.94,45.5,42.85,45.5,111553200,[0 1]
20111018,45.47,45.7,44.46,45.7,61019400,[0 0]
20111019,45.69,46.77,44.67,46.29,306311100,[1 0]
20111020,45.09,46.1,45.09,46.1,2755900,[1 0]
20111021,45.99,46.48,44.84,45.9,62783800,[0 1]
20111024,46.98,46.98,45.1,45.1,175797800,[0 1]
20111025,45.45,46.5,45.43,46.49,180836900,[1 0]
20111026,46.49,46.49,45.47,45.47,143481400,[0 1]
20111027,45.26,46.12,45.1,45.5,57729400,[1 1]
20111028,45.6,45.6,44.8,45.44,56777400,[0 0]
20111031,45.01,45.75,45.0,45.2,18079100,[1 1]
20111101,45.0,45.99,44.99,45.99,36088500,[0 1]
20111103,45.9,45.9,45.55,45.6,33763900,[1 0]
20111104,45.9,46.0,45.27,45.99,11891600,[1 1]
20111107,45.35,45.35,44.69,44.84,43984600,[0 0]
20111108,45.2,45.5,44.65,44.65,40506900,[0 1]
20111109,44.61,45.25,44.53,45.25,34943500,[1 1]
20111110,44.71,46.0,44.21,44.65,93353000,[1 0]
20111111,45.0,45.0,44.65,45.0,4046500,[1 0]
20111114,45.1,45.39,44.97,45.34,22604000,[1 0]
20111116,44.78,45.3,44.78,45.0,23877400,[1 1]
20111117,45.14,45.14,44.03,44.31,7574600,[1 1]
20111118,44.03,44.8,44.03,44.8,13774600,[0 0]
20111121,44.02,45.15,44.01,45.15,40477200,[0 1]
20111122,44.42,45.39,44.41,45.23,36046100,[0 1]
20111123,46.55,46.55,44.55,44.8,158435300,[1 0]
20111124,45.75,45.75,43.06,44.44,131329200,[0 0]
20111125,43.23,45.1,43.23,44.86,14186600,[0 1]
20111128,44.9,45.1,44.22,44.98,16599500,[0 1]
20111129,44.5,44.59,44.0,44.1,35753200,[1 1]
20111130,44.31,45.1,44.31,44.5,16980500,[0 1]
20111201,45.8,45.8,44.21,44.94,25986400,[0 0]
20111202,44.94,44.94,44.0,44.19,21677700,[0 1]
20111205,44.6,45.2,44.5,45.0,64645900,[1 1]
20111206,45.49,45.49,44.65,45.19,65354800,[1 1]
20111207,45.12,45.12,44.14,45.0,76928800,[1 1]
20111208,44.56,45.0,44.2,44.3,33453900,[0 0]
