date,open,max,min,close,volume,y
20111006,47.0,48.8,46.96,47.8,9789376,[0 1]
20111007,48.3,48.3,46.37,46.37,6945726,[0 1]
20111010,46.41,49.3,46.41,48.25,9767878,[1 1]
20111011,48.5,49.01,46.72,47.0,11984518,[0 1]
20111013,47.51,48.09,46.91,47.65,8602126,[0 1]
20111014,47.61,49.35,47.61,48.29,8238898,[0 1]
20111017,48.5,49.89,47.5,49.5,9607630,[0 0]
20111018,50.0,50.5,49.03,49.5,11481192,[1 1]
20111019,49.7,50.76,49.42,50.75,13606914,[0 1]
20111020,50.01,50.74,49.3,49.3,6110682,[0 0]
20111021,49.48,50.44,49.31,50.2,6469382,[1 0]
20111024,50.0,50.65,49.84,50.0,9775003,[0 1]
20111025,50.01,50.79,49.51,50.57,10460907,[1 0]
20111026,50.8,50.89,49.8,49.91,6505257,[0 1]
20111027,50.45,50.45,48.3,48.3,19851674,[0 1]
20111028,49.2,49.94,48.36,49.15,6779409,[0 1]
20111031,49.09,50.22,48.96,50.22,7044426,[1 0]
20111101,49.49,49.57,48.6,49.07,14465856,[1 0]
20111103,49.0,49.7,48.72,49.45,8877178,[1 0]
20111104,49.17,49.28,48.64,49.15,15015689,[1 1]
20111107,49.27,49.52,47.51,47.51,14892946,[0 0]
20111108,48.3,49.49,48.18,48.74,13591238,[1 0]
20111109,49.0,49.94,48.13,48.52,10759293,[1 1]
20111110,49.5,49.9,47.74,48.25,11922802,[1 0]
20111111,48.68,49.03,48.06,48.51,7360990,[0 1]
20111114,48.51,49.49,48.09,49.49,6615241,[1 0]
20111116,49.1,49.5,48.34,49.48,9145096,[1 1]
20111117,48.71,49.43,48.0,48.2,6686099,[1 0]
20111118,48.07,48.77,47.41,48.77,4408365,[1 0]
20111121,48.1,48.2,45.0,47.37,7990290,[0 1]
20111122,48.37,48.37,47.51,48.35,5133890,[1 1]
20111123,47.55,48.76,47.5,48.01,5807740,[0 0]
20111124,47.53,48.24,47.03,48.24,5390923,[0 1]
20111125,47.34,49.13,47.01,48.51,6418293,[0 0]
20111128,48.5,49.13,48.16,48.35,6855795,[0 1]
20111129,48.76,48.97,48.1,48.67,7257564,[0 0]
20111130,48.01,49.68,48.01,48.4,11903296,[1 1]
20111201,48.7,49.67,48.39,48.97,15474088,[0 0]
20111202,49.0,49.11,47.34,47.34,12507497,[0 1]
20111205,48.44,49.96,48.19,48.97,13446578,[1 1]
20111206,48.8,49.93,48.8,49.4,8104518,[1 1]
20111207,49.63,49.8,47.86,48.0,11641851,[1 1]
20111208,48.0,48.62,46.95,47.51,9263862,[0 0]
20111209,48.0,48.49,47.15,47.8,10076110,[1 1]
20111212,47.35,48.68,47.25,47.25,10680670,[0 0]
20111213,47.32,48.98,47.32,48.2,7646673,[1 0]
20111214,48.2,49.57,48.06,49.28,11436951,[0 1]
20111215,48.7,49.97,48.6,49.84,14899007,[1 1]
20111216,49.99,50.16,47.55,49.74,12266535,[1 1]
20111219,49.72,49.78,48.6,48.75,9127888,[0 1]
20111220,49.94,50.31,48.81,49.8,13925176,[1 0]
20111221,49.52,50.5,49.52,50.5,9216094,[0 1]
20111222,50.5,50.79,50.0,50.42,12312139,[0 0]
20111223,50.0,51.07,50.0,50.75,11299668,[1 1]
20111226,50.97,52.25,50.73,51.58,11057968,[0 1]
20111227,51.72,53.5,51.72,53.5,14196395,[0 1]
20111228,52.8,52.88,51.46,51.69,8518844,[0 0]
20111229,52.4,52.94,51.32,51.75,9462946,[1 1]
20120112,50.71,51.43,50.11,51.21,6369670,[0 1]
20120113,50.25,50.6,49.3,49.56,9684195,[0 0]
20120116,50.0,50.55,49.73,50.55,5710954,[0 1]
20120117,50.56,51.49,50.2,51.49,7187344,[1 1]
20120118,51.5,52.3,50.41,52.3,9881057,[0 0]
20120119,52.0,52.61,50.86,52.15,9372726,[1 0]
20120120,51.89,52.19,50.7,51.01,10364621,[1 0]
20120123,51.4,51.89,50.37,50.41,7666356,[0 0]
20120124,50.5,50.99,50.37,50.9,4255529,[1 1]
20120126,50.52,50.89,49.36,50.5,12620143,[0 1]
20120127,50.47,50.47,48.7,48.7,13810148,[1 1]
20120130,48.49,49.19,47.82,48.5,9693481,[0 0]
20120131,48.52,48.99,47.52,48.7,15173510,[0 1]
20120201,48.71,49.1,48.01,48.01,15542001,[0 0]
20120202,48.0,48.25,47.28,47.29,17899030,[1 0]
20120203,47.4,48.5,47.31,47.75,10548112,[0 1]
20120206,47.8,48.49,47.02,48.45,18810855,[0 1]
20120207,47.75,48.49,47.5,48.3,12054247,[0 1]
20120208,48.05,49.21,47.4,47.64,21585255,[0 1]
20120209,47.8,48.49,47.37,47.4,11981523,[1 0]
20120210,47.49,48.19,47.33,47.5,9472820,[1 1]
20120213,47.89,48.49,47.66,48.2,7913260,[0 1]
20120214,48.5,48.59,47.81,48.3,7800862,[0 1]
20120215,48.51,48.8,47.86,48.8,16011563,[1 0]
20120216,48.97,50.24,48.97,50.06,25310300,[0 1]
20120217,50.27,51.77,49.96,51.5,22056916,[0 1]
20120222,51.81,51.86,51.21,51.86,13175939,[1 0]
20120223,51.57,51.77,50.58,50.95,9604246,[0 0]
20120224,50.95,51.33,50.5,50.51,12666507,[0 0]
20120227,50.82,51.18,50.5,50.9,6291418,[0 1]
20120228,50.74,51.69,50.71,51.28,10883763,[0 0]
20120229,51.86,52.0,50.0,50.86,24914523,[0 0]
20120301,51.0,51.87,50.8,50.8,28808724,[1 0]
20120302,51.29,51.96,50.8,51.5,16936895,[1 1]
20120305,51.82,52.0,50.81,50.91,22571431,[0 1]
20120306,51.4,51.86,50.55,50.55,8879843,[1 0]
20120307,50.7,51.95,50.5,51.62,8116350,[1 1]
20120308,51.8,53.07,51.8,53.0,16247419,[0 1]
20120309,53.02,54.85,53.02,53.51,16262035,[1 1]
20120312,54.8,55.0,53.59,54.38,17240732,[0 1]
20120313,54.5,55.96,54.5,55.59,47008021,[0 0]
20120314,55.44,55.72,54.28,54.43,17749974,[0 0]
20120315,55.6,55.6,54.0,54.99,15088399,[0 0]
20120316,54.79,55.97,54.79,55.88,16077833,[1 0]
20120319,55.4,56.39,55.4,55.51,18201219,[0 0]
20120320,55.9,56.06,55.0,55.05,14429383,[1 0]
20120321,55.99,56.51,55.2,56.4,15907409,[0 1]
20120322,55.99,56.0,54.11,54.61,19344898,[0 1]
20120323,54.99,55.41,54.01,54.11,14437414,[1 0]
20120326,54.4,55.91,54.4,55.78,8442064,[1 1]
20120327,55.78,56.79,55.2,56.56,19905042,[0 0]
20120328,56.7,56.8,54.31,55.32,15343318,[0 0]
20120329,55.36,56.28,55.36,56.28,14865469,[0 1]
20120330,56.0,57.09,55.07,56.0,25737282,[0 0]
20120402,56.6,56.94,55.78,56.8,29529134,[0 1]
20120403,56.74,56.99,55.78,56.03,21154360,[0 1]
20120404,56.47,56.47,55.56,55.91,14363332,[1 0]
20120405,56.0,56.77,56.0,56.13,14374793,[0 1]
20120409,56.58,56.9,55.8,56.9,11644349,[1 1]
20120410,56.2,56.81,56.07,56.8,13938324,[0 1]
20120411,56.69,57.3,56.41,57.0,18478325,[1 0]
20120424,54.0,55.0,52.9,53.26,12660365,[1 1]
20120425,54.0,54.29,52.91,53.2,11380121,[0 0]
