date,open,max,min,close,volume,y
20101110,20.0,20.0,19.7,19.7,279799600,[1 0]
20101111,19.78,19.9,19.69,19.9,127789000,[0 1]
20101112,19.8,19.85,19.8,19.83,79258800,[1 0]
20101116,19.8,19.8,19.5,19.75,585471100,[0 1]
20101117,19.61,19.93,19.5,19.8,248246500,[1 1]
20101118,19.79,19.9,19.65,19.9,378223100,[0 0]
20101119,19.79,19.8,19.6,19.8,132133000,[1 1]
20101122,19.79,19.79,19.3,19.5,461696100,[0 0]
20101123,19.31,19.77,19.31,19.64,255702200,[1 0]
20101124,19.78,19.9,19.6,19.79,515906100,[1 1]
20101125,19.85,19.85,19.7,19.8,171732300,[0 1]
20101126,19.47,19.7,19.42,19.65,230280600,[0 1]
20101129,19.7,19.8,19.6,19.65,170778700,[0 1]
20101130,19.87,19.87,19.51,19.7,577914400,[0 1]
20101201,19.79,19.79,19.46,19.77,415774400,[0 1]
20101202,19.6,19.75,19.6,19.75,167303800,[0 1]
20101203,19.61,19.7,19.55,19.69,326200700,[1 1]
20101206,19.69,19.78,19.61,19.7,141053700,[0 1]
20101207,19.73,19.74,19.47,19.7,488485600,[0 0]
20101208,19.71,19.99,19.52,19.97,357211500,[0 0]
20101209,19.89,20.23,19.89,20.15,377200900,[1 1]
20101210,20.21,20.21,19.6,19.8,1128768400,[0 1]
20101213,19.95,20.0,19.5,20.0,394015100,[0 1]
20101214,20.06,20.06,19.1,19.9,1004685800,[1 0]
20101228,19.71,20.0,19.71,20.0,22551300,[0 0]
20101229,20.0,20.19,19.91,20.0,35202000,[0 1]
20101230,20.0,20.25,19.7,20.25,453477600,[0 0]
20110103,20.24,20.34,20.1,20.25,129997600,[0 1]
20110104,20.2,20.5,20.1,20.5,194086500,[0 0]
20110105,20.48,20.5,20.31,20.5,278327700,[0 1]
20110106,20.5,20.75,20.29,20.75,90812200,[1 1]
20110107,20.81,20.89,20.5,20.75,176884900,[0 0]
20110110,20.74,20.99,20.65,20.86,258809700,[0 1]
20110111,21.24,21.24,20.82,20.99,126847400,[0 0]
20110112,21.24,21.24,21.0,21.24,277728800,[1 0]
20110113,21.3,21.5,21.08,21.15,36406800,[1 0]
20110114,21.19,21.2,20.97,21.2,38748200,[0 1]
20110117,21.34,21.35,20.54,20.74,216684600,[0 0]
20110118,20.85,20.9,20.5,20.59,198156600,[0 1]
20110119,20.7,20.7,20.35,20.5,436445800,[1 1]
20110120,20.53,20.53,20.3,20.44,615252800,[0 0]
20110121,20.45,20.5,19.87,20.5,453824000,[1 0]
20110124,20.51,21.0,20.45,20.98,69310900,[0 1]
20110126,21.0,21.0,20.68,20.87,197909900,[1 0]
20110127,20.89,20.93,20.54,20.91,284718600,[0 0]
20110128,20.71,20.99,20.53,20.7,271523100,[0 0]
20110131,20.8,20.83,20.7,20.82,184420800,[0 1]
20110201,20.82,20.95,20.55,20.95,183044600,[1 0]
20110202,20.61,20.85,20.46,20.7,269869800,[1 0]
20110203,20.21,20.51,20.1,20.4,279698900,[0 1]
20110204,20.11,20.35,19.82,20.28,214473900,[1 1]
20110207,20.4,20.4,19.85,19.94,347482900,[0 0]
20110208,19.95,20.2,19.83,20.0,259347800,[0 0]
20110209,20.33,20.33,19.8,19.8,242105200,[0 0]
20110210,19.8,19.8,19.45,19.76,288938800,[1 0]
20110211,19.8,19.8,19.2,19.31,263436100,[1 0]
20110214,19.21,19.57,19.04,19.4,91665700,[0 1]
20110215,19.38,19.38,18.75,19.29,255446600,[0 0]
20110216,19.13,19.13,18.89,18.9,315779600,[0 1]
20110217,19.0,19.0,18.66,18.9,606583800,[0 1]
20110218,18.9,19.3,18.89,19.3,2050299700,[1 1]
20110221,19.3,19.74,19.3,19.74,174916000,[0 0]
20110222,19.73,19.8,19.31,19.8,121792600,[1 0]
20110223,19.8,19.8,19.45,19.45,333472400,[1 0]
20110224,19.72,19.72,19.11,19.4,459416500,[0 1]
20110225,19.49,19.59,19.27,19.4,280300100,[1 1]
20110228,19.43,19.68,19.32,19.6,232402700,[1 0]
20110301,19.15,19.6,19.15,19.55,304341800,[0 0]
20110302,19.59,19.73,19.39,19.52,252825900,[0 0]
20110303,19.5,19.6,19.44,19.6,430199900,[1 1]
20110304,19.64,19.65,19.34,19.46,87072000,[0 1]
20110309,19.59,19.59,19.33,19.49,91316600,[0 1]
20110310,19.59,19.59,19.25,19.45,95036700,[0 0]
20110311,19.5,19.5,19.29,19.38,203956900,[0 0]
20110314,19.25,19.47,19.25,19.47,37253900,[0 0]
20110315,19.44,19.44,19.18,19.3,130580600,[1 0]
20110316,19.43,19.43,18.82,19.18,166997500,[1 0]
20110317,19.4,19.4,18.84,19.0,193813100,[1 0]
20110318,19.14,19.19,18.86,19.13,364443100,[1 0]
20110321,19.2,19.34,19.1,19.2,98866700,[1 0]
20110322,19.4,19.6,19.2,19.6,1261453000,[1 0]
20110323,19.6,19.69,19.44,19.55,599150800,[1 1]
20110324,19.6,19.64,19.47,19.55,268138800,[1 0]
20110325,19.61,19.75,19.54,19.7,125812700,[1 1]
20110328,19.78,19.78,19.5,19.55,91666100,[0 1]
20110329,19.71,19.8,19.4,19.5,378951900,[1 0]
20110330,19.41,19.69,19.41,19.68,113713300,[1 1]
20110331,19.75,19.95,19.45,19.95,298189700,[0 0]
20110401,20.0,20.19,19.69,19.95,240469900,[0 1]
20110404,20.0,20.01,19.76,19.94,145418000,[1 1]
20110405,19.85,19.9,19.8,19.9,273443200,[0 1]
20110406,19.81,19.9,19.5,19.86,113555700,[0 0]
20110407,19.85,19.85,19.63,19.78,184237000,[1 1]
20110408,19.9,19.9,19.65,19.65,220131200,[1 1]
20110411,19.69,19.89,19.45,19.7,232001800,[1 0]
20110412,19.68,19.85,19.68,19.8,628524000,[0 0]
