date,open,max,min,close,volume,y
20101110,19.8,19.8,19.8,19.8,53460,[1 0]
20101111,23.21,23.21,19.61,20.1,449640,[0 1]
20101112,19.9,19.9,19.85,19.85,198555,[0 1]
20101116,19.41,19.5,19.41,19.5,149808,[0 1]
20101117,20.0,20.0,19.85,19.93,332488,[0 1]
20101118,19.8,19.9,19.7,19.74,593763,[0 1]
20101119,19.7,21.4,19.67,21.4,729755,[1 0]
20101122,19.7,19.75,19.57,19.57,329122,[1 0]
20101123,17.81,20.0,17.81,20.0,215280,[0 0]
20101124,19.0,20.26,19.0,19.8,626848,[1 0]
20101125,19.85,19.85,19.85,19.85,83290,[0 1]
20101126,19.65,19.7,19.6,19.6,411795,[0 1]
20101129,19.4,19.68,19.0,19.68,518194,[1 1]
20101130,19.5,20.8,19.5,20.8,261970,[0 1]
20101201,19.77,20.85,19.01,19.01,1187290,[1 1]
20101202,19.77,20.05,19.7,19.99,744937,[1 1]
20101203,19.6,19.75,19.6,19.73,361022,[0 1]
20101206,19.69,19.76,19.69,19.71,731049,[1 0]
20101207,19.85,20.85,19.6,19.7,737599,[0 0]
20101208,19.6,20.85,19.6,20.85,317005,[0 1]
20101209,20.0,20.79,20.0,20.77,660975,[1 0]
20101210,20.15,20.15,19.65,19.7,376345,[0 1]
20101213,19.8,20.0,19.8,20.0,290560,[0 1]
20101214,20.0,20.0,19.65,19.65,229475,[0 1]
20101228,19.6,19.95,19.6,19.95,84364,[0 0]
20101229,19.97,19.97,19.97,19.97,25961,[1 0]
20101230,19.8,20.5,19.35,20.5,874165,[1 1]
20110103,19.0,20.35,19.0,20.21,4532529,[0 1]
20110104,20.0,20.25,19.95,20.25,5129347,[1 0]
20110105,20.5,20.5,20.18,20.39,2778284,[0 1]
20110106,19.64,20.5,19.0,20.4,1687439,[0 1]
20110107,20.45,20.55,20.41,20.55,344988,[1 1]
20110110,19.9,21.06,19.9,21.06,1172856,[0 1]
20110111,20.17,21.06,20.17,20.9,787378,[1 0]
20110112,21.06,21.2,20.95,20.95,562772,[0 1]
20110113,21.0,21.45,20.9,21.45,222846,[0 1]
20110114,21.16,21.16,21.16,21.16,56988,[0 1]
20110117,21.0,21.01,20.95,21.01,331518,[1 1]
20110118,20.6,20.6,20.45,20.6,320110,[1 0]
20110119,20.51,20.51,20.4,20.4,202543,[0 1]
20110120,20.06,20.45,20.06,20.45,195666,[0 1]
20110121,20.45,21.98,20.3,21.98,555503,[0 1]
20110124,20.5,20.75,20.5,20.65,306525,[0 0]
20110126,20.95,20.95,20.6,20.6,60090,[1 0]
20110127,20.7,21.9,20.7,21.9,187710,[1 1]
20110128,20.83,20.83,20.83,20.83,35411,[1 0]
20110131,20.8,21.98,20.01,21.98,647580,[0 1]
20110201,20.71,20.71,20.6,20.6,351740,[0 1]
20110202,20.68,20.69,20.65,20.69,280984,[0 1]
20110203,20.69,20.69,19.01,20.12,372096,[1 1]
20110204,19.67,19.96,19.67,19.95,253072,[0 0]
20110207,20.0,20.2,20.0,20.0,447260,[0 0]
20110208,20.01,20.08,19.0,19.0,459537,[1 0]
20110209,19.6,19.6,19.6,19.6,54880,[0 1]
20110210,20.0,20.0,19.73,19.73,450920,[1 0]
20110211,18.97,18.97,18.97,18.97,11382,[0 1]
20110214,19.5,19.5,19.02,19.02,366042,[0 0]
20110215,19.4,19.4,19.4,19.4,54320,[1 1]
20110216,18.59,18.8,18.59,18.8,195036,[0 1]
20110217,19.01,19.48,18.75,18.75,146887,[0 0]
20110218,18.9,20.3,18.9,20.3,342140,[0 0]
20110221,19.1,19.35,19.0,19.3,387928,[1 0]
20110222,19.5,19.5,17.6,19.4,202060,[0 0]
20110223,19.6,19.6,19.45,19.45,78100,[1 1]
20110224,18.86,19.84,18.86,19.84,211193,[0 0]
20110228,19.25,19.25,18.68,18.68,220380,[1 1]
20110301,19.24,19.54,18.48,19.54,543358,[0 1]
20110302,19.54,19.61,18.19,19.61,442696,[1 0]
20110304,19.52,19.55,19.52,19.55,119162,[0 0]
20110309,19.5,19.5,19.5,19.5,118950,[0 0]
20110310,19.57,19.57,19.57,19.57,15656,[0 1]
20110311,19.4,19.4,18.54,18.63,320790,[1 1]
20110316,19.2,19.43,19.2,19.43,109678,[1 0]
20110318,18.9,19.57,17.5,17.5,124880,[0 0]
20110321,19.2,19.2,19.2,19.2,57600,[0 1]
20110322,19.3,20.49,19.1,19.35,243368,[1 0]
20110323,19.84,19.84,19.07,19.51,429902,[0 1]
20110325,19.9,19.9,19.55,19.55,183135,[1 0]
20110328,19.55,19.55,19.55,19.55,3910,[1 0]
20110330,19.4,19.55,19.4,19.55,118847,[1 0]
20110331,19.81,19.81,19.81,19.81,57449,[0 0]
20110401,19.71,19.75,19.49,19.49,551923,[0 1]
20110404,19.92,19.92,19.43,19.8,338496,[0 0]
20110405,19.75,19.75,19.75,19.75,173844,[1 0]
20110406,19.82,20.0,19.82,20.0,79676,[1 0]
20110408,19.66,19.9,19.66,19.86,202580,[1 1]
20110412,19.7,19.7,19.7,19.7,64900,[0 0]
20110414,19.75,19.9,19.75,19.9,67360,[1 1]
