date,open,max,min,close,volume,y
20070613,10.0,10.0,10.0,10.0,200000,[1 0]
20070615,14.99,15.0,14.97,15.0,599600,[1 1]
20070703,10.01,10.01,10.01,10.01,100100,[0 0]
20070706,14.5,14.5,14.5,14.5,145000,[0 0]
20070710,14.9,20.0,14.9,20.0,1949000,[0 1]
20070713,19.9,19.9,19.9,19.9,597000,[0 0]
20070727,12.14,13.5,12.14,13.49,2158300,[1 1]
20070801,13.49,13.49,13.49,13.49,134900,[1 1]
20070813,10.55,10.55,10.55,10.55,105500,[0 1]
20070821,10.04,10.04,10.04,10.04,401600,[0 0]
20070822,10.1,10.1,10.1,10.1,101000,[1 0]
20070911,10.01,10.01,10.01,10.01,100100,[1 1]
20071003,10.01,10.01,10.01,10.01,300300,[1 0]
20071221,10.5,10.5,10.5,10.5,105000,[0 1]
20071227,12.03,12.03,12.03,12.03,120300,[0 0]
20071228,19.9,19.9,19.9,19.9,1393000,[0 0]
20080109,20.0,25.0,19.95,25.0,1049000,[0 1]
20080130,20.0,20.0,20.0,20.0,200000,[1 0]
20080225,17.11,22.5,17.11,22.5,12352000,[0 0]
20080226,22.79,24.49,21.0,21.0,12294000,[0 1]
20080227,19.01,19.01,18.9,18.9,2081200,[1 0]
20080228,20.0,20.3,20.0,20.3,4030000,[0 0]
20080229,20.5,20.5,18.6,20.0,6880900,[1 1]
20080305,20.4,22.0,20.0,22.0,57781500,[1 0]
20080307,21.0,24.0,21.0,22.96,31318000,[1 0]
20080311,23.0,23.0,22.5,23.0,11022500,[1 0]
20080312,22.98,23.0,21.5,22.5,29648400,[1 0]
20080314,19.2,19.8,19.2,19.8,583000,[0 0]
20080317,19.0,20.0,19.0,20.0,580000,[1 1]
20080319,20.0,20.0,20.0,20.0,200000,[0 0]
20080320,19.0,20.0,18.29,19.79,5892700,[1 0]
20080325,21.0,22.0,18.3,19.0,24591400,[0 1]
20080326,18.95,19.6,18.95,19.0,954500,[0 1]
20080327,19.0,19.0,18.99,18.99,15762000,[0 1]
20080328,18.5,19.45,18.0,19.2,21044000,[0 1]
20080331,19.0,20.49,19.0,20.49,3903000,[0 0]
20080401,20.44,20.44,18.0,18.99,12067900,[0 0]
20080402,19.0,19.0,17.5,17.5,17020000,[0 0]
20080403,17.5,17.5,17.0,17.0,5760000,[0 1]
20080404,17.3,18.5,16.5,17.0,14485000,[0 1]
20080407,18.0,19.89,18.0,19.89,11599600,[1 0]
20080409,19.0,20.5,18.99,20.5,18042400,[0 0]
20080410,18.5,20.0,18.5,20.0,22067700,[0 0]
20080411,20.0,20.0,20.0,20.0,400000,[1 0]
20080414,18.99,18.99,18.99,18.99,189900,[1 0]
20080415,19.99,20.5,19.5,20.5,7419900,[0 0]
20080416,20.0,21.49,20.0,21.49,4783300,[1 0]
20080417,21.3,21.89,21.0,21.89,9995900,[1 0]
20080418,21.49,21.5,21.49,21.5,13544900,[0 0]
20080422,21.9,21.9,21.9,21.9,2190000,[1 1]
20080423,21.8,21.8,20.0,21.3,11226000,[0 1]
20080424,21.75,22.0,20.0,22.0,18073900,[0 1]
20080428,21.4,21.5,21.0,21.2,29958000,[0 1]
20080515,21.0,23.0,21.0,23.0,11574500,[0 1]
20080516,22.0,22.05,22.0,22.05,660500,[0 1]
20080520,22.05,22.05,22.05,22.05,2205000,[0 1]
20080523,20.01,21.96,20.01,21.5,7089200,[0 0]
20080526,22.0,22.0,22.0,22.0,2200000,[0 1]
20080529,23.0,24.0,21.8,23.0,45977700,[0 0]
20080530,22.89,22.89,22.89,22.89,2289000,[1 1]
20080602,23.85,25.0,22.0,22.0,27182500,[1 0]
20080603,23.0,23.0,20.01,22.96,44954900,[0 0]
20080604,22.5,22.5,22.5,22.5,225000,[0 0]
20080605,22.5,22.5,22.5,22.5,225000,[1 1]
20080606,24.0,25.0,24.0,25.0,9717500,[1 1]
20080609,24.95,24.95,24.95,24.95,4990000,[1 0]
20080611,25.3,25.99,25.3,25.99,3105000,[0 0]
20080612,25.99,25.99,25.99,25.99,45222600,[0 0]
20080613,26.45,26.45,26.45,26.45,16663500,[0 0]
20080616,26.45,26.45,26.0,26.0,5765000,[0 0]
20080617,26.45,26.45,26.45,26.45,2645000,[1 0]
20080618,26.0,26.0,26.0,26.0,260000,[1 0]
20080619,25.0,26.0,25.0,26.0,6356000,[1 1]
20080626,24.0,26.0,24.0,26.0,755000,[1 1]
20080627,26.0,26.0,26.0,26.0,6500000,[0 0]
20080702,26.0,26.0,26.0,26.0,260000,[0 1]
20080703,22.0,22.0,22.0,22.0,220000,[0 0]
20080708,18.0,21.06,17.2,21.06,9049200,[0 0]
20080710,23.0,23.0,23.0,23.0,230000,[0 1]
20080711,21.0,23.0,21.0,23.0,440000,[1 1]
20080716,23.65,24.3,23.65,24.3,479500,[1 0]
20080717,24.69,25.0,24.69,25.0,1237600,[1 1]
20080718,24.99,25.0,24.99,25.0,7498500,[0 0]
20080729,24.49,24.49,24.49,24.49,4898000,[1 0]
20080731,22.0,22.0,22.0,22.0,220000,[1 0]
20080801,21.2,21.2,20.0,20.0,622000,[1 0]
20080805,22.22,22.22,19.99,19.99,31006800,[1 0]
20080806,23.0,24.0,23.0,23.99,14110000,[1 1]
20080808,20.1,20.1,20.1,20.1,402000,[1 0]
20080812,21.0,21.0,21.0,21.0,2310000,[1 0]
20080821,20.0,21.5,20.0,20.0,21425500,[1 0]
20080827,20.5,20.5,19.0,19.0,6855500,[1 0]
20080828,18.01,18.01,18.01,18.01,1080600,[1 0]
20080829,19.0,19.0,19.0,19.0,1330000,[0 0]
20080901,18.5,18.5,18.5,18.5,5920000,[1 0]
20080903,18.9,19.5,18.9,19.0,9525000,[0 1]
20080904,18.5,18.5,18.5,18.5,6290000,[0 0]
20080905,18.5,18.5,18.5,18.5,9250000,[1 0]
20080909,18.5,18.5,18.5,18.5,1110000,[1 0]
20080910,18.5,21.0,18.5,21.0,1235000,[0 0]
20080911,22.0,22.0,22.0,22.0,2420000,[0 1]
20080912,21.99,22.0,21.99,22.0,2419900,[0 0]
20080915,23.99,23.99,23.99,23.99,239900,[0 0]
20080916,22.99,22.99,22.99,22.99,2299000,[0 0]
20080918,23.0,23.0,23.0,23.0,2300000,[0 1]
20080919,22.0,22.0,22.0,22.0,11000000,[0 1]
20080922,23.3,23.97,23.3,23.97,6094900,[0 1]
20080924,23.97,23.97,21.1,22.0,9494000,[0 0]
20080925,22.0,24.02,22.0,24.02,5113500,[0 0]
20080926,24.0,24.0,24.0,24.0,4800000,[1 0]
20080929,24.5,24.5,24.5,24.5,2450000,[1 0]
20080930,24.79,24.79,24.48,24.48,37367000,[1 0]
20081001,24.5,24.5,24.5,24.5,8820000,[1 1]
20081007,24.49,24.49,24.49,24.49,1224500,[0 0]
20081010,15.0,24.3,15.0,24.29,7769000,[0 0]
20081017,20.0,22.75,20.0,22.75,3047500,[0 0]
20081020,22.8,24.5,22.8,24.5,6086800,[1 0]
20081022,24.5,24.5,24.5,24.5,245000,[1 0]
20081027,20.0,20.01,20.0,20.0,600100,[1 0]
20081104,23.5,23.5,23.5,23.5,235000,[1 0]
20081106,23.48,23.7,23.48,23.7,471800,[0 1]
20081111,23.9,24.0,23.9,24.0,479000,[1 1]
20081124,23.79,23.79,23.79,23.79,5233800,[1 0]
20081201,19.01,19.01,18.8,18.8,5080100,[1 0]
20081203,15.0,15.0,15.0,15.0,25950000,[1 1]
20081204,14.01,14.01,14.01,14.01,1681200,[1 1]
20081209,13.0,13.0,13.0,13.0,130000,[0 0]
20081210,13.5,13.5,13.5,13.5,5940000,[1 1]
20081212,15.0,15.0,15.0,15.0,750000,[0 0]
20081219,16.99,16.99,16.99,16.99,3737800,[0 1]
20081222,17.0,17.0,17.0,17.0,340000,[0 1]
20081226,18.5,18.5,18.5,18.5,185000,[0 0]
20081230,18.49,18.49,18.49,18.49,184900,[0 1]
20090115,18.0,18.0,18.0,18.0,3780000,[0 0]
20090122,18.0,18.0,18.0,18.0,1800000,[0 0]
20090123,18.0,18.0,18.0,18.0,1800000,[0 1]
20090306,17.49,17.49,17.49,17.49,174900,[0 0]
20090330,14.01,14.01,14.01,14.01,840600,[1 0]
20090331,13.0,13.0,13.0,13.0,130000,[0 0]
20090403,13.0,13.0,13.0,13.0,260000,[1 0]
20090406,13.0,13.0,13.0,13.0,130000,[0 1]
20090413,17.95,17.95,17.94,17.94,3947000,[0 1]
20090505,17.99,17.99,16.5,16.94,6597200,[0 1]
20090514,16.94,18.49,16.94,18.49,1648600,[1 0]
20090515,18.31,18.32,18.31,18.32,2014300,[1 1]
20090518,18.31,18.5,18.31,18.5,553100,[0 0]
20090520,18.79,18.79,18.79,18.79,1503200,[1 1]
20090525,18.79,19.5,18.79,19.5,577900,[0 1]
20090616,19.59,19.59,19.59,19.59,195900,[1 1]
20090622,19.39,19.39,19.39,19.39,1551200,[0 0]
20090721,19.19,19.19,19.19,19.19,191900,[0 0]
20090804,19.19,19.39,19.0,19.0,7308500,[1 0]
20090806,22.5,22.5,22.5,22.5,225000,[1 0]
20090807,21.0,21.5,21.0,21.5,3200000,[0 0]
20090818,21.5,21.5,21.5,21.5,1720000,[0 0]
20090821,21.5,21.5,19.01,19.01,5485200,[1 1]
