date,open,max,min,close,volume,y
20041103,7.65,7.65,7.65,7.65,76500,[0 1]
20041029,7.6,7.6,7.6,7.6,608000,[0 1]
20041028,7.61,7.61,7.61,7.61,1902500,[1 0]
20040908,6.9,6.9,6.9,6.9,1380000,[1 1]
20050204,8.06,8.06,8.06,8.06,161200,[1 0]
20050216,8.12,8.12,8.12,8.12,162400,[1 1]
20050610,8.5,8.5,7.5,7.5,6202400,[0 0]
20050617,8.0,8.0,8.0,8.0,80000,[1 1]
20060329,8.15,8.15,8.15,8.15,978000,[0 1]
20060425,8.16,8.16,8.16,8.16,1958400,[0 1]
20060529,8.0,8.0,8.0,8.0,640000,[0 0]
20060616,8.01,8.01,8.01,8.01,720900,[1 0]
20060719,9.1,9.1,9.1,9.1,91000,[1 0]
20060724,9.09,9.09,9.09,9.09,90900,[1 1]
20060725,9.1,10.0,9.1,10.0,291000,[1 1]
20060810,8.8,8.8,8.8,8.8,264000,[1 0]
20060818,9.0,9.0,9.0,9.0,270000,[1 0]
20060824,9.0,9.0,8.9,8.9,179000,[0 0]
20060825,9.01,9.01,9.01,9.01,720800,[0 0]
20060831,9.01,9.01,9.01,9.01,90100,[1 0]
20060906,9.02,9.02,9.02,9.02,1984400,[1 1]
20060911,9.01,9.01,9.0,9.0,180100,[0 0]
20061013,10.5,10.5,10.5,10.5,105000,[0 0]
20061024,11.0,11.0,11.0,11.0,2200000,[1 0]
20061030,11.0,11.0,11.0,11.0,110000,[0 0]
20061107,11.5,11.5,11.5,11.5,115000,[0 0]
20061108,11.21,11.21,11.2,11.2,1905600,[1 0]
20061109,11.3,11.6,11.3,11.6,345000,[0 1]
20061206,12.0,13.0,12.0,13.0,10950000,[1 0]
20070112,14.0,14.0,14.0,14.0,1960000,[1 0]
20070115,18.0,18.0,18.0,18.0,360000,[1 1]
20070116,25.0,25.0,25.0,25.0,500000,[1 1]
20070202,18.0,18.0,18.0,18.0,1800000,[0 1]
20070306,19.97,19.97,19.97,19.97,199700,[0 1]
20070312,19.0,19.0,19.0,19.0,1520000,[0 0]
20070313,18.8,18.8,18.8,18.8,188000,[1 1]
20070412,17.99,17.99,14.5,16.8,1142700,[1 1]
20070413,15.5,15.5,15.0,15.0,305000,[1 1]
20070416,15.0,15.0,15.0,15.0,150000,[0 1]
20070420,15.99,15.99,15.99,15.99,319800,[1 1]
20070423,15.99,15.99,15.9,15.9,318900,[1 0]
20070424,15.99,15.99,15.99,15.99,159900,[0 0]
20070425,16.0,18.0,16.0,18.0,1980000,[1 0]
20070426,18.0,18.0,18.0,18.0,180000,[0 0]
20070427,17.5,17.5,17.5,17.5,525000,[0 0]
20070430,17.5,17.5,17.5,17.5,700000,[0 1]
20070502,17.5,17.5,17.5,17.5,700000,[0 1]
20070503,18.0,18.0,18.0,18.0,180000,[0 0]
20070504,18.0,18.0,18.0,18.0,180000,[1 1]
20070515,17.95,19.98,17.95,18.0,4150300,[1 1]
20070528,17.49,17.5,17.49,17.5,2099800,[0 0]
20070530,17.5,17.5,17.5,17.5,175000,[1 0]
20070601,16.52,16.8,16.35,16.7,1458394100,[1 0]
20070604,16.82,16.94,16.46,16.79,1230758600,[1 0]
20070605,16.92,16.92,16.62,16.7,731185100,[1 1]
20070606,16.6,16.61,16.3,16.31,699712600,[1 0]
20070608,16.0,16.65,15.82,16.65,518733400,[0 1]
