date,open,max,min,close,volume,y
20041122,7.2,7.2,7.2,7.2,36720,[1 0]
20041028,7.61,7.61,7.61,7.61,34245,[1 0]
20040908,6.7,6.7,6.7,6.7,64320,[1 0]
20050610,9.0,9.0,7.66,7.66,90830,[0 0]
20050613,7.5,7.5,7.5,7.5,26250,[0 0]
20060425,8.5,8.5,8.5,8.5,29750,[1 1]
20060426,8.1,8.1,8.1,8.1,24300,[1 0]
20060428,9.16,9.16,8.08,8.08,43640,[1 0]
20060515,12.92,12.92,12.92,12.92,1292,[0 1]
20060602,12.92,12.92,12.92,12.92,2584,[0 0]
20060607,12.0,12.0,12.0,12.0,76800,[0 0]
20060616,8.01,8.01,8.01,8.01,44856,[1 0]
20060719,9.1,9.1,9.1,9.1,14560,[0 1]
20060724,9.2,9.2,9.2,9.2,22080,[0 1]
20060726,10.0,10.0,10.0,10.0,2000,[0 1]
20060810,13.0,13.0,13.0,13.0,1300,[0 0]
20060811,12.99,12.99,12.99,12.99,1299,[0 0]
20060818,12.98,12.98,12.98,12.98,12980,[0 1]
20060831,9.01,9.01,9.01,9.01,63070,[0 1]
20060911,9.01,9.01,9.01,9.01,28832,[0 0]
20061123,14.88,14.88,14.88,14.88,104160,[0 1]
20061204,14.0,14.0,14.0,14.0,25200,[0 0]
20061206,14.0,14.0,14.0,14.0,9800,[1 0]
20070115,29.5,29.5,29.5,29.5,236000,[0 0]
20070116,25.0,25.0,25.0,25.0,12500,[0 0]
20070131,23.0,23.0,23.0,23.0,115000,[1 0]
20070201,23.0,25.0,23.0,25.0,36500,[0 1]
20070202,18.0,18.0,18.0,18.0,180000,[1 0]
20070205,22.0,28.0,22.0,28.0,170544,[1 0]
20070209,17.0,17.0,17.0,17.0,61200,[0 1]
20070306,26.98,26.98,26.98,26.98,26980,[1 1]
20070312,19.9,19.9,19.9,19.9,119400,[1 0]
20070412,18.98,18.98,18.0,18.0,208308,[1 1]
20070417,17.0,17.0,17.0,17.0,59500,[0 0]
20070418,15.55,15.55,15.55,15.55,155500,[1 1]
20070420,15.0,15.01,15.0,15.01,60030,[1 0]
20070423,18.0,18.0,15.99,15.99,175578,[0 1]
20070424,16.1,16.1,15.99,15.99,123180,[0 1]
20070426,18.01,18.01,18.01,18.01,50428,[1 1]
20070502,18.0,18.0,18.0,18.0,18000,[1 0]
20070503,17.9,17.95,17.9,17.95,44760,[0 0]
20070504,15.49,15.49,15.49,15.49,7745,[1 0]
20070507,18.0,18.0,18.0,18.0,90000,[0 0]
20070508,18.0,18.0,18.0,18.0,36000,[1 0]
20070509,16.0,16.2,16.0,16.2,160400,[0 1]
20070511,16.0,19.98,16.0,19.98,126950,[1 1]
20070515,18.0,19.0,18.0,19.0,77700,[1 0]
20070521,18.9,18.9,18.9,18.9,18900,[1 1]
20070523,18.45,18.45,18.45,18.45,9225,[1 1]
20070530,17.5,17.5,17.5,17.5,49000,[1 0]
20070601,16.5,16.83,16.5,16.75,970506,[1 0]
20070604,16.91,17.27,16.6,16.8,1841221,[0 1]
20070605,16.9,16.9,16.51,16.8,2186700,[1 0]
20070606,16.74,16.74,16.35,16.38,2022907,[1 1]
20070608,16.28,16.6,15.97,16.6,2349932,[1 0]
20070611,16.75,16.81,16.53,16.72,2098234,[0 0]
20070612,16.7,16.84,16.55,16.55,1673995,[1 0]
20070613,16.48,17.02,16.48,16.95,2540775,[0 1]
20070614,16.9,17.0,16.8,16.9,843309,[1 1]
20070615,16.7,16.99,16.61,16.76,2433288,[1 1]
20070618,16.99,17.09,16.71,16.81,2246399,[1 0]
20070629,17.59,18.1,17.51,18.1,4400482,[0 1]
20070702,18.16,18.79,18.1,18.79,3857587,[1 1]
20070703,18.7,19.18,18.5,18.8,4465590,[1 1]
20070704,18.75,19.39,18.65,18.7,3959477,[1 1]
20070705,19.0,19.27,18.4,18.85,2987581,[1 1]
20070706,19.05,20.0,19.05,19.8,4306708,[1 0]
20070710,19.8,20.1,19.45,19.6,4293819,[0 0]
20070711,19.6,19.85,19.07,19.19,3426962,[0 1]
20070712,19.64,19.79,19.5,19.5,1479889,[1 0]
20070713,19.46,20.09,19.4,19.8,2867780,[0 0]
20070716,20.15,20.6,19.7,20.32,2673351,[1 1]
20070717,20.29,20.55,20.22,20.3,3197395,[0 1]
20070718,20.82,20.82,20.02,20.02,2149168,[1 0]
20070719,20.21,21.7,20.21,21.6,3458395,[1 1]
20070801,20.8,20.8,20.37,20.55,2064420,[0 1]
20070802,21.0,21.29,20.52,20.75,2528379,[1 1]
20070803,20.7,21.39,20.61,20.8,2932620,[1 0]
20070806,21.0,21.5,20.59,21.49,2989206,[1 0]
20070807,21.7,22.16,21.49,21.85,1925082,[0 0]
20070808,22.0,22.75,21.82,21.82,5410651,[0 0]
20070809,21.6,21.99,20.95,21.59,3077364,[0 0]
20070810,21.0,21.24,20.45,21.01,3508339,[1 0]
20070813,21.0,21.6,21.0,21.25,2001815,[0 0]
20070814,21.35,21.49,20.52,20.73,1645583,[0 0]
20070815,20.3,20.99,19.7,20.0,3784384,[1 0]
20070816,19.79,19.79,17.5,18.9,5415579,[0 1]
20070817,19.5,20.5,18.9,19.65,3074369,[0 1]
20070820,20.51,20.83,18.85,19.3,5608050,[0 1]
20070821,19.9,19.9,18.85,19.17,3863506,[1 1]
20070822,19.49,20.17,19.38,19.82,2410188,[0 0]
20070823,19.99,20.57,19.85,20.21,2746888,[1 0]
20070824,20.0,20.9,20.0,20.5,2423476,[1 1]
20070827,21.0,21.0,20.55,20.8,1846004,[0 0]
20070828,20.5,20.5,19.91,19.99,2422740,[1 1]
20070829,19.87,20.5,19.87,20.3,1285996,[1 1]
20070830,20.5,20.78,20.2,20.48,1197698,[0 1]
20070831,20.3,21.15,20.3,20.5,2827627,[0 1]
20070903,20.81,21.29,20.8,21.2,1505316,[0 1]
20070904,21.2,21.39,21.2,21.36,1967413,[1 0]
20070905,21.3,21.3,20.43,20.8,2105315,[0 0]
20070906,20.85,21.29,20.85,21.0,1403776,[1 0]
20070910,20.99,21.0,20.4,20.45,2351183,[0 0]
20070911,21.05,21.05,20.35,20.4,1854215,[1 1]
20070912,20.9,20.9,20.5,20.5,1697813,[0 0]
20070913,20.6,21.0,20.6,20.9,1497194,[0 0]
20070914,21.0,21.0,20.71,20.9,1467405,[0 1]
20070927,22.0,22.2,21.8,22.01,4057199,[1 0]
20070928,22.0,22.33,21.98,22.3,3472497,[1 0]
20071001,22.3,23.2,22.3,22.76,2998823,[0 0]
20071002,23.2,23.2,22.69,22.69,5352411,[1 1]
20071003,22.95,22.97,22.0,22.39,5022628,[1 1]
20071004,22.1,22.95,22.1,22.3,3027425,[0 1]
20071005,22.97,23.0,22.45,22.45,2865804,[1 0]
20071008,22.8,22.8,22.42,22.45,2818071,[1 1]
20071009,22.84,23.09,22.3,22.3,3709057,[1 0]
20071010,22.68,22.89,22.38,22.38,3969185,[0 0]
20071011,23.0,23.0,22.45,22.6,2575201,[0 0]
20071015,22.8,23.09,22.76,22.81,2823366,[0 1]
20071016,23.0,23.0,22.75,22.97,2777386,[1 1]
20071017,23.0,23.98,23.0,23.69,4265240,[1 1]
20071018,23.85,23.94,23.35,23.94,4012212,[0 0]
20071019,24.0,24.1,23.7,23.7,5273030,[0 1]
20071022,23.85,23.85,22.72,23.6,4188113,[1 1]
20071023,23.91,24.59,23.91,24.1,4769512,[0 0]
20071024,24.45,24.8,24.16,24.6,4242523,[0 0]
20071025,24.8,24.8,24.47,24.72,3698685,[0 1]
20071026,24.72,25.05,24.66,25.02,6253425,[0 1]
20071029,25.0,25.5,24.96,25.26,4377719,[0 0]
20071030,25.5,25.81,25.39,25.69,6411152,[0 0]
20071031,25.7,26.7,25.5,26.4,6324081,[1 0]
20071101,26.49,26.89,26.1,26.51,6308789,[1 0]
20071105,26.7,27.15,26.5,27.1,5798442,[0 1]
20071106,27.5,30.0,27.38,28.2,8606344,[1 1]
20071107,28.49,28.49,26.9,28.2,10864717,[0 1]
20071108,28.2,28.48,26.23,26.3,12886664,[1 0]
20071109,27.24,27.49,25.0,26.22,15222980,[0 1]
20071112,26.95,26.99,24.8,25.48,8546495,[1 0]
20071113,25.24,26.2,24.8,25.65,6497690,[0 0]
20071114,25.78,26.0,24.82,26.0,5206265,[1 1]
20071116,25.39,25.99,25.2,25.2,3629914,[0 0]
