date,open,max,min,close,volume,y
20060619,1.05,1.05,1.05,1.05,11550000,[0 1]
20060620,0.95,0.95,0.95,0.95,541500,[0 0]
20060621,0.95,1.0,0.95,1.0,1505000,[0 0]
20060622,1.0,1.0,0.95,0.95,4853000,[0 1]
20060623,0.95,0.95,0.95,0.95,5595500,[0 1]
20060626,0.95,1.0,0.95,0.95,12481900,[0 0]
20060627,0.95,0.95,0.95,0.95,5310500,[1 0]
20060628,0.95,0.95,0.95,0.95,351500,[0 0]
20060629,0.98,1.0,0.95,1.0,10121600,[0 0]
20060703,1.0,1.0,1.0,1.0,4020000,[0 0]
20060704,1.01,1.04,1.01,1.04,11862800,[1 0]
20060705,1.0,1.0,1.0,1.0,540000,[1 0]
20060706,1.01,1.01,1.0,1.0,1503500,[1 0]
20060707,1.02,1.02,1.02,1.02,20400,[0 0]
20060710,1.0,1.0,1.0,1.0,4400000,[1 1]
20060711,1.0,1.0,1.0,1.0,1670000,[1 1]
20060713,1.02,1.02,1.0,1.0,4638300,[1 1]
20060714,0.98,1.0,0.98,1.0,2759800,[0 0]
20060718,1.0,1.0,1.0,1.0,60000,[1 1]
20060719,1.0,1.01,1.0,1.0,4389800,[0 0]
20060720,1.0,1.01,1.0,1.0,12230400,[1 0]
20060721,1.02,1.04,1.02,1.04,1548000,[0 0]
20060725,0.99,0.99,0.99,0.99,1188000,[0 1]
20060726,0.99,1.0,0.99,1.0,368300,[1 0]
20060727,1.0,1.0,1.0,1.0,1690000,[1 1]
20060728,1.0,1.04,0.99,1.04,784600,[1 0]
20060731,1.03,1.04,1.03,1.04,12895000,[0 1]
20060801,1.0,1.0,1.0,1.0,900000,[0 0]
20060802,1.0,1.0,1.0,1.0,680000,[1 0]
20060803,1.01,1.01,1.01,1.01,1342200,[0 1]
20060804,1.03,1.03,1.03,1.03,494400,[0 1]
20060807,1.04,1.04,1.04,1.04,592800,[0 0]
20060808,1.05,1.05,1.05,1.05,1217900,[0 1]
20060809,1.06,1.06,1.06,1.06,106000,[1 0]
20060810,1.07,1.15,1.07,1.15,11631600,[0 0]
20060811,1.15,1.15,1.09,1.15,442600,[0 1]
20060814,1.1,1.1,1.05,1.06,1355800,[0 1]
20060815,1.07,1.07,1.07,1.07,107000,[0 1]
20060816,1.1,1.1,1.1,1.1,671000,[1 1]
20060817,1.1,1.1,1.1,1.1,44000,[1 1]
20060818,1.09,1.1,1.09,1.09,98400,[1 1]
20060821,1.07,1.1,1.07,1.1,426900,[0 1]
20060822,1.05,1.1,1.05,1.1,10909100,[1 1]
20060824,1.1,1.1,1.1,1.1,154000,[1 0]
20060825,1.1,1.1,1.1,1.1,660000,[1 1]
20060828,1.1,1.1,1.1,1.1,308000,[1 1]
20060829,1.1,1.14,1.1,1.14,1312800,[1 0]
20060830,1.15,1.23,1.14,1.23,3573300,[1 1]
20060831,1.23,1.23,1.15,1.18,775600,[0 0]
20060901,1.21,1.24,1.21,1.24,8761000,[0 0]
20060904,1.23,1.25,1.23,1.25,1572800,[1 0]
20060905,1.27,1.28,1.27,1.28,383000,[0 0]
20060908,1.25,1.28,1.25,1.28,1527500,[0 0]
20060911,1.35,1.35,1.26,1.26,444200,[0 1]
20060913,1.34,1.34,1.25,1.3,2502600,[1 0]
20060914,1.3,1.3,1.25,1.25,590000,[1 0]
20060915,1.25,1.25,1.25,1.25,1775000,[0 1]
20060918,1.29,1.29,1.26,1.26,384000,[0 0]
20060919,1.27,1.28,1.25,1.25,4603600,[1 0]
20060920,1.28,1.28,1.15,1.15,12242600,[0 0]
20060921,1.26,1.27,1.25,1.27,5717100,[1 0]
20060922,1.26,1.26,1.26,1.26,126000,[1 0]
20060927,1.27,1.29,1.27,1.29,422200,[0 1]
20060928,1.28,1.28,1.28,1.28,204800,[0 0]
20061003,1.24,1.28,1.24,1.28,10325600,[1 0]
20061004,1.26,1.26,1.26,1.26,50400,[0 1]
20061006,1.26,1.29,1.26,1.29,1052600,[1 1]
20061009,1.29,1.3,1.29,1.3,894800,[0 0]
20061010,1.3,1.3,1.3,1.3,507000,[0 1]
20061011,1.22,1.3,1.22,1.3,438800,[1 0]
20061013,1.3,1.3,1.25,1.29,1285400,[1 0]
