date,open,max,min,close,volume,y
20060621,1.0,1.0,1.0,1.0,5000,[0 1]
20060623,0.95,1.0,0.9,1.0,11500,[0 0]
20060626,1.0,1.04,1.0,1.04,5076,[0 1]
20060628,0.95,0.95,0.95,0.95,570,[0 0]
20060629,0.95,0.95,0.95,0.95,2375,[1 1]
20060703,0.95,0.95,0.94,0.94,15076,[0 1]
20060704,1.04,1.09,1.04,1.04,74019,[1 0]
20060706,0.94,0.94,0.94,0.94,752,[0 0]
20060710,0.95,0.95,0.94,0.94,5119,[0 1]
20060712,1.0,1.0,1.0,1.0,4500,[1 0]
20060713,1.01,1.01,1.01,1.01,3535,[0 0]
20060714,0.95,0.95,0.94,0.94,3874,[0 0]
20060718,1.01,1.01,1.01,1.01,4545,[0 1]
20060719,1.09,1.09,1.09,1.09,5014,[1 0]
20060720,1.0,1.0,1.0,1.0,4000,[0 0]
20060721,1.0,1.0,1.0,1.0,5400,[1 0]
20060725,0.95,0.95,0.95,0.95,8170,[1 0]
20060726,0.99,1.02,0.94,0.94,11452,[1 1]
20060727,1.04,1.09,0.99,0.99,11586,[1 0]
20060728,0.99,1.09,0.95,1.09,16091,[1 0]
20060731,1.08,1.08,1.08,1.08,204012,[0 1]
20060801,1.0,1.0,1.0,1.0,500,[0 0]
20060802,1.0,1.0,1.0,1.0,5400,[1 1]
20060803,1.05,1.05,1.0,1.0,10635,[1 0]
20060804,1.0,1.0,1.0,1.0,1500,[0 0]
20060808,1.0,1.0,0.95,0.95,5985,[1 0]
20060809,1.04,1.04,1.04,1.04,104,[1 0]
20060810,1.09,1.09,1.09,1.09,33136,[1 1]
20060811,1.09,1.09,1.09,1.09,4796,[0 1]
20060815,1.0,1.0,1.0,1.0,100,[0 1]
20060818,1.0,1.0,1.0,1.0,3800,[0 1]
20060825,1.1,1.1,1.1,1.1,550,[0 1]
20060829,1.1,1.1,1.1,1.1,4950,[1 1]
20060830,1.15,1.15,1.15,1.15,3220,[0 1]
20060831,1.1,1.1,1.1,1.1,220,[1 0]
20060901,1.1,1.22,1.1,1.22,13503,[1 0]
20060904,1.24,1.24,1.24,1.24,496,[1 0]
20060911,1.25,1.25,1.25,1.25,4875,[0 0]
20060912,1.11,1.11,1.11,1.11,2331,[0 0]
20060913,1.25,1.25,1.25,1.25,1125,[1 0]
20060915,1.25,1.25,1.25,1.25,2125,[1 0]
20060919,1.05,1.05,1.05,1.05,9240,[1 0]
20060920,1.05,1.2,1.05,1.2,12735,[0 1]
20060926,1.16,1.2,1.16,1.2,835,[1 0]
20061004,1.09,1.09,1.09,1.09,218,[0 0]
20061005,1.12,1.12,1.11,1.11,7003,[0 1]
20061006,1.24,1.28,1.24,1.28,12006,[1 1]
20061011,1.3,1.3,1.3,1.3,2210,[0 1]
20061013,1.3,1.3,1.3,1.3,780,[0 0]
20061016,1.26,1.29,1.22,1.29,14846,[1 1]
20061018,1.2,1.2,1.2,1.2,3600,[1 0]
20061019,1.25,1.25,1.25,1.25,6375,[0 1]
20061020,1.19,1.19,1.18,1.18,9629,[0 0]
20061023,1.25,1.25,1.25,1.25,6625,[1 0]
20061024,1.25,1.35,1.19,1.19,35605,[1 0]
20061027,1.25,1.4,1.25,1.4,22705,[1 1]
20061030,1.65,1.65,1.65,1.65,7095,[0 1]
20061031,1.72,1.72,1.3,1.3,20166,[0 0]
20061101,1.75,1.75,1.75,1.75,6300,[0 1]
20061103,1.75,1.75,1.75,1.75,2975,[1 1]
20061106,1.87,1.87,1.87,1.87,1870,[1 0]
20061107,1.46,1.46,1.46,1.46,1606,[0 0]
20061113,1.95,1.95,1.95,1.95,11700,[0 1]
20061114,1.84,1.84,1.84,1.84,16192,[0 0]
20061116,1.96,2.0,1.96,2.0,6964,[1 0]
20061117,2.05,2.07,2.05,2.07,8423,[0 1]
20061121,2.2,2.6,2.2,2.6,9130,[0 0]
20061122,2.3,2.3,2.3,2.3,11960,[0 0]
20061123,2.39,2.39,2.3,2.35,40550,[0 1]
20061124,2.6,2.6,2.6,2.6,20540,[0 1]
20061127,2.22,2.22,2.22,2.22,222,[0 1]
20061128,2.25,2.54,2.25,2.54,6234,[0 1]
20061201,2.4,2.4,2.2,2.2,23694,[1 1]
20061204,2.5,2.5,2.5,2.5,2000,[0 0]
20061205,2.2,2.2,2.2,2.2,16500,[0 1]
20061206,2.11,2.11,2.11,2.11,10761,[0 0]
20061207,2.1,2.1,2.01,2.01,12289,[1 1]
20061211,1.91,1.91,1.91,1.91,573,[0 1]
20061212,1.9,1.9,1.8,1.83,20517,[1 1]
20061213,1.76,1.92,1.76,1.92,2096,[1 1]
20061218,1.75,1.89,1.75,1.89,8652,[0 1]
20070104,2.0,2.0,2.0,2.0,19600,[1 1]
20070111,2.03,2.03,1.71,1.71,10900,[0 1]
20070118,1.95,1.95,1.95,1.95,3900,[0 1]
20070122,1.82,1.82,1.82,1.82,5642,[1 1]
20070129,1.85,1.85,1.82,1.82,3476,[0 1]
20070201,1.99,2.0,1.95,2.0,35227,[0 0]
20070216,2.38,2.47,2.28,2.47,35208,[0 1]
20070221,2.39,2.39,2.39,2.39,4780,[0 1]
20070222,2.25,2.25,2.25,2.25,11025,[0 0]
20070223,2.11,2.18,2.11,2.18,22855,[0 0]
20070226,2.25,2.25,2.04,2.04,31733,[1 1]
20070227,2.11,2.11,2.11,2.11,9697,[0 0]
20070301,2.2,2.2,2.2,2.2,220,[0 1]
20070307,2.4,2.4,2.4,2.4,19920,[1 0]
20070308,2.21,2.21,2.21,2.21,6851,[1 1]
20070309,2.21,2.28,2.21,2.28,15147,[0 0]
20070312,2.3,2.3,2.01,2.01,22430,[1 0]
20070314,2.0,2.0,2.0,2.0,3400,[0 0]
20070315,2.18,2.18,2.18,2.18,10900,[1 0]
20070316,2.3,2.3,2.3,2.3,3910,[0 0]
20070319,2.4,2.4,2.32,2.32,4072,[0 1]
20070320,2.32,2.32,2.29,2.29,23047,[0 0]
20070322,2.01,2.01,2.01,2.01,201,[0 1]
20070328,2.35,2.4,2.35,2.4,54940,[1 1]
20070330,2.44,2.44,2.31,2.31,5391,[1 0]
20070402,2.2,2.2,2.15,2.15,18410,[1 0]
20070405,2.35,2.35,2.35,2.35,3525,[0 1]
20070409,2.26,2.26,2.17,2.17,5614,[0 0]
20070410,2.3,2.3,2.3,2.3,2530,[0 1]
20070411,2.3,2.3,2.3,2.3,5060,[0 0]
20070502,2.8,2.8,2.8,2.8,14000,[0 0]
20070503,3.0,3.16,3.0,3.16,46853,[1 0]
20070504,3.15,3.15,3.0,3.0,59854,[0 1]
20070507,3.15,3.58,3.15,3.5,101583,[0 0]
20070508,3.5,3.5,3.5,3.5,1038,[0 1]
20070509,3.5,3.5,3.49,3.49,23425,[1 0]
20070510,3.45,3.45,3.42,3.42,19896,[1 1]
20070511,3.76,3.76,3.76,3.76,46624,[0 0]
20070514,4.62,5.0,4.6,4.85,186591,[0 0]
20070515,5.01,6.0,5.01,5.39,1876695,[1 0]
20070516,5.91,5.95,5.5,5.78,793203,[0 0]
20070517,5.8,5.8,5.23,5.27,615767,[0 0]
20070518,5.45,5.45,4.8,4.82,357533,[1 1]
20070521,4.88,4.99,4.66,4.66,346880,[1 0]
20070522,4.78,4.78,4.35,4.42,351119,[1 1]
20070523,4.35,5.2,4.3,5.1,420741,[0 0]
20070524,5.57,5.57,4.85,5.0,954414,[1 0]
20070525,5.29,5.43,5.0,5.0,422661,[0 1]
20070528,5.27,5.33,5.12,5.28,179498,[0 0]
20070529,5.3,5.3,5.0,5.08,346346,[1 0]
20070530,5.09,5.09,4.89,4.92,195227,[1 0]
20070531,5.07,5.15,5.07,5.15,113488,[0 0]
20070601,5.3,5.3,4.85,4.97,242403,[1 1]
20070604,4.95,4.95,4.9,4.9,119722,[0 1]
20070605,4.99,4.99,4.66,4.66,41233,[0 1]
20070606,4.66,4.66,4.65,4.65,41909,[0 0]
20070608,4.78,4.78,4.6,4.6,103298,[1 1]
20070611,4.72,4.72,4.61,4.7,65947,[1 0]
20070612,4.75,4.75,4.65,4.65,39590,[1 1]
20070613,4.65,4.98,4.65,4.98,24603,[1 1]
20070614,4.65,4.65,4.63,4.63,66930,[0 1]
20070615,4.75,4.76,4.64,4.64,122250,[0 0]
20070618,4.7,4.74,4.58,4.58,162835,[0 1]
20070620,4.6,4.71,4.6,4.7,60646,[0 0]
20070621,4.75,4.75,4.75,4.75,9025,[0 0]
20070622,4.99,4.99,4.96,4.96,82069,[1 1]
20070625,4.91,4.91,4.85,4.85,91877,[0 0]
20070626,4.86,4.86,4.85,4.85,23767,[1 0]
20070628,4.68,4.68,4.68,4.68,13572,[0 0]
20070629,4.75,4.75,4.7,4.7,42587,[0 1]
20070703,4.7,4.7,4.66,4.66,55310,[0 0]
20070704,4.74,4.75,4.62,4.62,73465,[0 1]
20070705,4.5,5.04,4.5,4.71,119790,[0 1]
20070706,5.19,5.75,5.19,5.7,827949,[0 1]
20070710,5.99,5.99,5.06,5.06,297463,[0 1]
20070711,5.99,5.99,5.45,5.49,288934,[1 1]
20070712,5.7,6.16,5.7,5.75,573319,[0 1]
20070713,5.8,6.0,5.8,5.94,176899,[0 1]
20070716,5.97,6.18,5.9,6.1,531838,[1 0]
20070717,6.35,6.8,6.35,6.45,630208,[1 0]
20070718,6.48,6.58,6.25,6.42,540774,[1 0]
20070719,6.46,6.48,6.35,6.45,318664,[0 0]
20070720,6.4,6.51,6.3,6.51,303802,[0 0]
