date,open,max,min,close,volume,y
19980317,0.94,0.94,0.94,0.94,47000,[0 0]
19980323,0.9,0.9,0.9,0.9,180000,[0 0]
19980324,0.85,0.85,0.84,0.84,127000,[0 0]
19980325,0.8,0.8,0.8,0.8,320000,[0 0]
19980331,0.77,0.78,0.77,0.78,443900,[0 1]
19980401,0.76,0.76,0.76,0.76,228000,[1 0]
19980402,0.75,0.75,0.72,0.72,1887000,[0 0]
19980403,0.7,0.7,0.7,0.7,350000,[0 0]
19980407,0.69,0.69,0.67,0.67,696700,[0 1]
19980408,0.65,0.65,0.65,0.65,1267500,[1 1]
19980413,0.65,0.67,0.65,0.67,982000,[1 1]
19980414,0.68,0.71,0.68,0.71,689000,[0 0]
19980415,0.71,0.72,0.71,0.71,313400,[0 0]
19980506,0.64,0.64,0.64,0.64,563200,[1 0]
19980512,0.63,0.63,0.63,0.63,126000,[0 1]
19980515,0.63,0.63,0.6,0.61,892500,[0 0]
19980520,0.6,0.6,0.6,0.6,360000,[0 0]
19980521,0.59,0.59,0.59,0.59,295000,[0 1]
19980602,0.65,0.7,0.61,0.67,8774500,[0 0]
19980603,0.7,0.78,0.7,0.78,1048400,[0 1]
19980604,0.8,0.9,0.8,0.9,3437000,[0 0]
19980605,0.94,1.19,0.94,1.19,4445200,[0 0]
19980608,1.2,1.2,1.16,1.2,2194300,[0 0]
19980609,1.15,1.19,1.11,1.11,1784300,[0 0]
19980612,1.08,1.08,1.05,1.05,429000,[0 0]
19980615,1.0,1.0,1.0,1.0,100000,[0 0]
19980617,1.0,1.0,1.0,1.0,20000,[1 0]
19980622,1.01,1.02,1.01,1.02,438300,[0 0]
19980625,1.01,1.01,1.01,1.01,101000,[1 0]
19980626,1.0,1.01,1.0,1.01,605000,[0 1]
19980630,0.99,1.05,0.99,1.05,3140000,[0 1]
19980710,1.0,1.0,1.0,1.0,1320000,[0 1]
19980713,0.97,0.97,0.97,0.97,1261000,[1 1]
19980715,0.96,0.96,0.94,0.94,574000,[1 1]
19980717,0.92,0.92,0.92,0.92,460000,[1 0]
19980722,0.87,0.91,0.87,0.88,1283700,[0 1]
19980803,0.91,1.0,0.91,1.0,1775900,[0 1]
19980804,1.0,1.08,1.0,1.0,164200,[0 1]
19980807,0.91,0.91,0.86,0.86,258900,[1 1]
19980811,0.85,0.85,0.8,0.8,80500,[0 1]
19980812,0.81,0.81,0.81,0.81,405000,[1 0]
19980813,0.8,0.81,0.8,0.81,16100,[0 0]
19980821,0.81,0.81,0.81,0.81,8100,[0 0]
19980904,0.74,0.79,0.74,0.79,165400,[1 0]
19980910,0.79,0.79,0.79,0.79,7900,[0 1]
19981013,0.78,0.78,0.78,0.78,15600,[1 0]
19981020,0.72,0.72,0.72,0.72,28800,[1 0]
19981106,0.72,0.72,0.72,0.72,14400,[0 0]
19981111,0.69,0.69,0.69,0.69,69000,[0 0]
19981117,0.66,0.66,0.66,0.66,6600,[0 0]
19981203,0.62,0.62,0.56,0.56,30400,[0 0]
19981204,0.54,0.54,0.51,0.51,530200,[0 0]
19981208,0.49,0.49,0.48,0.48,19300,[1 0]
19990106,0.49,0.49,0.49,0.49,98000,[1 1]
19990114,0.48,0.48,0.48,0.48,4800,[0 1]
19990121,0.48,0.48,0.48,0.48,9600,[0 1]
19990201,0.48,0.48,0.48,0.48,48000,[1 0]
19990203,0.48,0.49,0.48,0.49,48900,[0 1]
19990205,0.48,0.48,0.48,0.48,4800,[0 0]
19990208,0.48,0.48,0.48,0.48,4800,[0 0]
19990210,0.55,0.55,0.55,0.55,55000,[0 0]
19990212,0.51,0.51,0.51,0.51,45900,[1 0]
19990218,0.55,0.55,0.55,0.55,55000,[1 0]
19990219,0.55,0.55,0.55,0.55,165000,[0 0]
19990224,0.56,0.56,0.56,0.56,560000,[0 1]
19990226,0.6,0.6,0.6,0.6,60000,[1 0]
19990301,0.61,0.61,0.61,0.61,61000,[1 1]
19990304,0.65,0.65,0.65,0.65,6500,[0 0]
19990305,0.65,0.69,0.65,0.69,127500,[1 0]
19990309,0.71,0.71,0.69,0.7,1682900,[1 0]
19990310,0.7,0.7,0.7,0.7,7000,[1 0]
19990311,0.7,0.7,0.7,0.7,1190000,[0 0]
19990315,0.71,0.71,0.71,0.71,71000,[0 1]
19990316,0.7,0.7,0.7,0.7,7000,[1 0]
19990318,0.73,0.74,0.73,0.74,1253000,[0 1]
19990319,0.73,0.73,0.73,0.73,146000,[0 0]
19990323,0.73,0.75,0.73,0.75,591500,[1 1]
19990330,0.71,0.77,0.71,0.77,318900,[0 0]
19990331,0.77,0.78,0.77,0.78,77900,[1 0]
19990407,0.75,0.75,0.73,0.73,89800,[0 1]
